source,target,weight
0,0,3.0434400000000004
0,1,1.2464899999999999
0,2,0.26198
0,3,0.16685999999999998
0,4,0.19565
0,5,0.43121000000000004
0,6,0.67155
0,7,1.1199299999999999
0,8,0.86208
0,9,0.37999
0,10,0.31621
0,11,0.32382
0,12,0.25845999999999997
0,13,0.26476
0,14,0.24316999999999997
0,15,0.14253
1,0,1.20845
1,1,10.1288
1,2,1.00301
1,3,0.11219000000000001
1,4,0.1425
1,5,0.18904
1,6,0.5172
1,7,1.02111
1,8,1.46645
1,9,0.3499
1,10,0.13343
1,11,0.11537
1,12,0.19032000000000002
1,13,0.19822
1,14,0.11510999999999999
1,15,0.05745
2,0,0.15347
2,1,3.08049
2,2,16.17287
2,3,0.71628
2,4,0.51446
2,5,0.28057
2,6,0.35462
2,7,0.54905
2,8,1.25942
2,9,0.7310300000000001
2,10,0.45943999999999996
2,11,0.09018999999999999
2,12,0.11503
2,13,0.23596999999999999
2,14,0.16008
2,15,0.18880999999999998
3,0,0.09025
3,1,0.34056
3,2,5.07975
3,3,15.3756
3,4,1.0768799999999998
3,5,0.52571
3,6,0.26177
3,7,0.3025
3,8,0.69626
3,9,1.08894
3,10,0.65863
3,11,0.10655
3,12,0.08485
3,13,0.02087
3,14,0.061329999999999996
3,15,0.0532
4,0,0.27539
4,1,0.15677
4,2,0.19175999999999999
4,3,2.3023700000000002
4,4,5.39306
4,5,2.0693599999999996
4,6,1.0929799999999998
4,7,0.9206700000000001
4,8,0.7427
4,9,1.36324
4,10,1.14383
4,11,0.6926
4,12,0.27868000000000004
4,13,0.10778
4,14,0.15904000000000001
4,15,0.1477
5,0,0.08507
5,1,0.13585
5,2,0.12529
5,3,0.67974
5,4,2.63195
5,5,4.72612
5,6,2.64677
5,7,1.51947
5,8,1.51516
5,9,1.26673
5,10,1.2602
5,11,0.8884
5,12,0.51667
5,13,0.08141
5,14,0.08952
5,15,0.03179
6,0,0.63588
6,1,0.37516
6,2,0.4832
6,3,0.16951
6,4,0.92486
6,5,1.8288200000000001
6,6,3.7901300000000004
6,7,1.90556
6,8,1.46943
6,9,0.80479
6,10,0.98208
6,11,0.74662
6,12,0.56723
6,13,0.20307
6,14,0.16366
6,15,0.10305999999999998
7,0,0.8187399999999999
7,1,0.9050799999999999
7,2,0.47935
7,3,0.29231999999999997
7,4,0.68016
7,5,1.56006
7,6,2.54251
7,7,4.8701
7,8,3.28484
7,9,1.7931400000000002
7,10,1.17994
7,11,0.8744299999999999
7,12,0.6712100000000001
7,13,0.56323
7,14,0.24777
7,15,0.12327
8,0,0.7374
8,1,0.68818
8,2,0.72168
8,3,0.50397
8,4,0.8362200000000001
8,5,1.2286
8,6,2.06039
8,7,1.9428599999999998
8,8,3.54523
8,9,1.8809
8,10,1.78275
8,11,0.6534300000000001
8,12,0.534
8,13,0.23473000000000002
8,14,0.26885
8,15,0.07972
9,0,0.16633
9,1,0.4912
9,2,0.3707
9,3,0.75116
9,4,0.6330399999999999
9,5,0.69539
9,6,1.47258
9,7,1.56778
9,8,1.8219
9,9,2.30724
9,10,1.47966
9,11,0.84888
9,12,0.35512
9,13,0.17803
9,14,0.1283
9,15,0.18986
10,0,0.10944000000000001
10,1,0.26885
10,2,0.66942
10,3,0.75212
10,4,0.67755
10,5,1.1801
10,6,0.99815
10,7,1.63481
10,8,1.78075
10,9,1.44077
10,10,1.9078700000000002
10,11,1.19174
10,12,0.56347
10,13,0.20940999999999999
10,14,0.24427
10,15,0.21445999999999998
11,0,0.2193
11,1,0.39171999999999996
11,2,0.5776
11,3,0.15119000000000002
11,4,0.55108
11,5,1.19212
11,6,1.3667200000000002
11,7,1.35978
11,8,1.6833599999999997
11,9,1.41434
11,10,1.80958
11,11,2.56957
11,12,1.06207
11,13,0.36739
11,14,0.34524
11,15,0.19424
12,0,0.23847
12,1,0.1547
12,2,0.16648
12,3,0.34485
12,4,0.5273
12,5,1.0407899999999999
12,6,1.07499
12,7,1.38335
12,8,1.45266
12,9,1.5627799999999998
12,10,1.0324799999999998
12,11,1.39016
12,12,1.5719
12,13,0.78409
12,14,0.51783
12,15,0.3299
13,0,0.13948
13,1,0.14594000000000001
13,2,0.030410000000000003
13,3,0.02805
13,4,0.25568
13,5,0.53755
13,6,1.20458
13,7,0.9995700000000001
13,8,0.77545
13,9,0.6588
13,10,0.73736
13,11,0.62483
13,12,0.907
13,13,2.07288
13,14,0.38101999999999997
13,15,0.26304
14,0,0.04093
14,1,0.08626
14,2,0.20513
14,3,0.17619
14,4,0.11416
14,5,0.3641
14,6,0.40442
14,7,0.51903
14,8,0.89636
14,9,0.55803
14,10,0.39271
14,11,0.43228
14,12,1.1561299999999999
14,13,1.3624399999999999
14,14,1.42812
14,15,0.25108
15,0,0.1079
15,1,0.12997
15,2,0.0
15,3,0.37474
15,4,0.08632000000000001
15,5,0.00016999999999999999
15,6,0.00058
15,7,0.24811
15,8,0.58928
15,9,1.0434299999999999
15,10,0.50446
15,11,1.17561
15,12,0.15125999999999998
15,13,1.64261
15,14,0.55532
15,15,0.00013000000000000002
