"source","target","weight"
1,0,142
1,1,1110142
1,2,3123
1,3,880
1,4,8216
1,5,3599
1,6,952
1,7,1939
1,8,33
1,9,87
1,10,164
1,11,8
1,12,222
1,13,147
1,14,33
1,15,3132
1,16,100
1,17,39
1,18,112
1,19,26
1,20,3
1,21,1
1,22,26
1,23,20
1,24,24
1,26,73
1,27,2
1,28,14
1,29,5
1,33,56
1,34,13
1,35,7
1,36,20
1,37,20
1,38,13
1,40,4
1,45,1
1,46,2
1,47,1
1,48,5
1,49,2
1,50,2
1,58,15
1,96,1094
1,97,32
1,98,34
1,100,2
1,103,58
1,108,145
2,0,13
2,1,4634
2,2,68363
2,3,4798
2,4,41
2,5,110
2,6,1758
2,7,46
2,9,3
2,10,16
2,11,1
2,12,128
2,13,27
2,14,2
2,15,1298
2,16,23
2,17,10
2,18,335
2,19,1
2,21,2
2,22,2
2,23,24
2,24,25
2,26,4
2,27,19
2,28,5
2,29,1
2,33,5
2,34,1
2,35,1
2,36,12
2,37,2
2,40,1
2,48,1
2,49,3
2,50,1
2,96,3342
2,97,3
2,98,10
2,103,56
2,108,48
3,0,94
3,1,769
3,2,4326
3,3,160457
3,4,15
3,5,176
3,6,263
3,7,9
3,8,7
3,9,9
3,10,20
3,11,7
3,12,5955
3,13,174
3,14,1
3,15,12634
3,16,95
3,17,28
3,18,1313
3,19,9
3,20,6
3,21,3
3,22,13
3,23,19
3,24,41
3,25,1
3,26,3
3,27,10
3,28,16
3,29,4
3,33,14
3,34,21
3,35,2
3,36,159
3,37,3
3,39,2
3,40,2
3,46,1
3,48,2
3,50,5
3,52,2
3,58,3
3,96,522
3,97,30
3,98,32
3,99,6
3,100,3
3,103,2227
3,108,280
4,0,29
4,1,12970
4,2,18
4,3,28
4,4,290247
4,5,1944
4,6,219
4,7,10
4,8,116
4,9,840
4,10,123
4,11,4
4,12,6
4,13,12
4,14,6
4,15,128
4,16,4
4,17,2
4,18,14
4,19,17
4,20,3
4,22,4
4,23,4
4,24,2
4,28,1
4,33,6
4,34,4
4,36,3
4,37,2
4,40,1
4,46,8
4,50,2
4,52,9
4,96,14
4,97,1
4,98,5
4,103,3
4,108,8
5,0,7
5,1,9112
5,2,124
5,3,44
5,4,4619
5,5,88296
5,6,3733
5,7,14
5,8,7
5,9,54
5,10,112
5,12,24
5,13,5
5,14,1
5,15,272
5,16,10
5,17,6
5,18,57
5,19,4
5,21,1
5,22,3
5,23,2
5,24,4
5,27,3
5,28,1
5,29,1
5,33,8
5,34,2
5,36,1
5,37,8
5,38,1
5,46,4
5,47,1
5,51,1
5,52,1
5,96,17
5,97,3
5,98,3
5,100,1
5,103,5
5,108,6
6,0,13
6,1,2032
6,2,1338
6,3,334
6,4,225
6,5,2677
6,6,182259
6,7,10
6,8,13
6,9,430
6,10,5048
6,11,15
6,12,70
6,13,27
6,14,3
6,15,2288
6,16,28
6,17,35
6,18,3920
6,19,21
6,20,12
6,21,4
6,23,5
6,24,13
6,25,5
6,26,1
6,27,4
6,28,12
6,29,1
6,33,69
6,34,15
6,35,9
6,36,5
6,37,12
6,38,9
6,40,1
6,41,1
6,45,4
6,46,2
6,47,2
6,48,3
6,49,1
6,50,2
6,51,3
6,58,1
6,93,1
6,96,56
6,97,7
6,98,26
6,99,5
6,103,7
6,108,63
7,0,21
7,1,1024
7,2,16
7,3,11
7,4,5
7,5,5
7,6,43
7,7,65541
7,8,1
7,10,3
7,11,1
7,12,7
7,15,60
7,16,1
7,18,5
7,22,2
7,23,1
7,29,1
7,37,6
7,50,2
7,96,43
7,108,5
8,0,4059
8,1,48
8,3,4
8,4,83
8,5,2
8,6,10
8,8,89585
8,9,1370
8,10,326
8,11,3
8,12,3
8,15,18
8,16,6
8,17,2
8,18,4
8,19,1
8,20,1
8,34,1
8,35,1
8,36,1
8,46,1
8,48,3
8,49,1
8,50,4
8,52,1
8,96,1
8,108,2
9,0,15
9,1,198
9,2,5
9,3,16
9,4,824
9,5,38
9,6,278
9,8,1338
9,9,118714
9,10,5755
9,11,17
9,12,8
9,13,3
9,14,15
9,15,142
9,16,8
9,17,1
9,18,36
9,19,1
9,22,9
9,23,12
9,24,1
9,28,1
9,33,3
9,34,3
9,35,5
9,36,4
9,37,4
9,38,1
9,45,2
9,46,2
9,48,5
9,51,1
9,52,16
9,96,9
9,97,2
9,100,1
9,103,1
9,108,6
10,0,18
10,1,234
10,2,29
10,3,24
10,4,227
10,5,62
10,6,2554
10,7,3
10,8,128
10,9,3029
10,10,402447
10,11,763
10,12,25
10,13,22
10,14,2
10,15,1039
10,16,29
10,17,14
10,18,191
10,19,5
10,20,3
10,21,3
10,22,5
10,23,6
10,24,7
10,27,3
10,28,41
10,29,1
10,33,56
10,34,50
10,35,41
10,36,5
10,37,7
10,38,26
10,39,2
10,40,1
10,45,62
10,46,31
10,47,5
10,48,15
10,49,17
10,50,46
10,51,1
10,52,6
10,53,5
10,58,18
10,96,15
10,97,6
10,98,12
10,99,1
10,100,4
10,103,1
10,108,41
11,0,10
11,1,11
11,2,4
11,3,1
11,4,10
11,6,6
11,8,3
11,9,19
11,10,1879
11,11,92206
11,12,1
11,13,1
11,14,5
11,15,45
11,16,2
11,17,5
11,18,7
11,19,4
11,22,2
11,24,2
11,25,3
11,27,1
11,28,3
11,33,8
11,34,160
11,35,28
11,36,8
11,37,5
11,39,1
11,40,1
11,41,10
11,42,1
11,43,6
11,45,4937
11,46,584
11,47,17
11,48,110
11,49,104
11,50,1171
11,51,1
11,52,10
11,54,6
11,55,3
11,57,5
11,58,2
11,96,3
11,97,1
11,100,16
11,103,2
