"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",6.1958,1.27152,0.26332,0.16686,0.20228,0.59708,0.94344,1.36737,1.04636,0.82623,0.50135,0.59608,0.27037,0.27729,0.24317,0.14253
"2",2.34476,10.52621,1.00988,0.1122,0.18661,0.3381,0.84804,1.33757,1.81533,0.62112,0.43477,0.24824,0.26194,0.25401,0.1237,0.05745
"3",0.15347,3.1775,16.63914,0.73716,0.51988,0.51721,0.55733,0.91781,1.83625,1.31109,0.88975,0.36934,0.1531,0.27563,0.16008,0.18881
"4",0.09025,0.34056,5.20442,16.43909,1.1817,0.58391,0.36254,0.58369,1.03214,1.62792,0.99531,0.43325,0.19867,0.03748,0.06133,0.0532
"5",0.61566,0.15791,0.19176,2.41055,6.00981,2.12673,1.09301,0.97733,0.77935,1.39818,1.20141,0.75083,0.29192,0.12111,0.15904,0.1477
"6",0.08546,0.13585,0.12529,0.67906,2.63812,4.73273,2.64969,1.52005,1.51694,1.26739,1.2602,0.89016,0.5185,0.0833,0.08952,0.03364
"7",0.63827,0.37341,0.46621,0.15906,0.93756,1.87773,3.80228,1.9178,1.47981,0.80949,0.98691,0.74766,0.5683,0.20418,0.16366,0.10306
"8",0.82146,0.90168,0.47745,0.29201,0.68016,1.56548,2.54975,4.88371,3.30457,1.79631,1.1811,0.87562,0.67121,0.56323,0.24777,0.12327
"9",0.73837,0.6757,0.71999,0.48301,0.83622,1.23205,2.06113,1.9503,3.56087,1.89121,1.793,0.6569,0.54164,0.23473,0.26885,0.07972
"10",0.17876,0.47537,0.36909,0.72974,0.63304,0.69993,1.48093,1.58245,1.83023,2.30916,1.48545,0.85344,0.35583,0.17803,0.1283,0.18986
"11",0.11447,0.24278,0.61819,0.72863,0.67755,1.18067,1.00388,1.63842,1.78752,1.45596,1.91994,1.19857,0.56616,0.20941,0.24427,0.21446
"12",0.22791,0.34393,0.48235,0.15055,0.55108,1.19582,1.36672,1.36109,1.69185,1.42749,1.81798,2.57561,1.06821,0.36739,0.34524,0.19424
"13",0.23848,0.15182,0.15894,0.31066,0.52717,1.04079,1.07534,1.3837,1.45301,1.56314,1.03347,1.39115,1.57293,0.78447,0.51783,0.3299
"14",0.13851,0.14109,0.02934,0.02805,0.25568,0.53755,1.20368,0.99957,0.77455,0.65789,0.73736,0.62235,0.90455,2.06884,0.38102,0.26304
"15",0.04093,0.08626,0.20513,0.17619,0.11416,0.3641,0.40442,0.51903,0.89636,0.55803,0.39271,0.43228,1.15613,1.36244,1.42812,0.25108
"16",0.1079,0.12997,0,0.37474,0.08632,0.00017,0.00058,0.24811,0.58928,1.04343,0.50446,1.17561,0.15126,1.64261,0.55532,0.00013
