"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",5.11197,0.86306,0.05777,0,0.01127,0.1739,0.28949,0.26372,0.19537,0.47289,0.19598,0.28744,0.01245,0.01292,0,0
"2",1.7917,8.53607,0.16854,1e-04,0.07278,0.15346,0.34579,0.33108,0.36313,0.28217,0.31317,0.13773,0.07354,0.05648,0.00868,0
"3",0,2.08081,11.41721,0.19287,0.00895,0.2436,0.21186,0.38577,0.60034,0.60344,0.44717,0.28933,0.03909,0.04015,0,0
"4",0,0,3.11415,9.89499,0.17316,0.05996,0.10541,0.29441,0.34987,0.56118,0.35016,0.3389,0.11696,0.01683,0,0
"5",0.54996,0.0368,0,1.16651,1.04424,0.06002,3e-05,0.06025,0.03877,0.03695,0.06082,0.06134,0.01382,0.01371,0,0
"6",0.0043,0,0,0.00157,0.09871,0.01546,0.00706,0.0014,0.00426,0.00159,0,0.00417,0.00425,0.00425,0,0.00415
"7",0.00705,0.00701,0.06661,0.05567,0.04093,0.07241,0.01839,0.01855,0.01561,0.00706,0.00725,0.00156,0.00158,0.0016,0,0
"8",0.00784,0.01409,0.00772,0.00174,0,0.00792,0.01082,0.02036,0.0293,0.0047,0.00172,0.00176,0,0,0,0
"9",0.00328,0.04274,0.00568,0.09091,0,0.00545,0.0012,0.01205,0.02514,0.01657,0.01643,0.00555,0.01203,0,0,0
"10",0.04283,0.05324,0.00531,0.09088,0,0.00723,0.01362,0.02397,0.0135,0.00312,0.00936,0.00734,0.00113,0,0,0
"11",0.01818,0.08379,0.16166,0.09417,0,0.00093,0.00957,0.00603,0.01122,0.02516,0.01997,0.01125,0.00437,0,0,0
"12",0.036,0.13714,0.26888,0.00222,0,0.00642,0,0.00233,0.01501,0.02323,0.01481,0.0106,0.01061,0,0,0
"13",0.00685,0.0049,0.01271,0.06509,0.00491,0,0.00109,0.00111,0.00108,0.00109,0.00301,0.00298,0.00301,0.00108,0,0
"14",0.00018,0.00083,0.00018,0,0,0,0.00018,0,0.00018,0.00018,0,0.00051,5e-04,0.00082,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
