"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0.01727,0.17056,0.35573,0.20069,0.42425,0.29584,0.35345,0.23919,0.16012,0.06546,0.00325,0,0.00015
"6",0,0,0,0.00354,0.18781,0.95932,0.89607,0.73066,0.81816,0.53277,0.33084,0.37132,0.11291,0.00091,0.00051,0.00086
"7",0,0,0,0.01714,0.26039,0.67475,1.00496,0.84664,0.7623,0.34116,0.41985,0.17893,0.06352,0.00149,0,0
"8",0,0,0,0.03923,0.26712,0.56864,1.01563,1.84571,1.91039,1.12909,0.64778,0.42965,0.1194,0.00488,0.00128,0.00099
"9",0,0,0,0.02328,0.26954,0.73353,1.18104,0.96336,1.26004,1.08347,1.17973,0.35057,0.17331,0.00592,0.00101,0.00057
"10",0,0,0,0.079,0.1062,0.39341,0.98536,0.92562,0.91818,0.75278,0.88912,0.49444,0.12609,0.00866,0.002,0.00075
"11",0,0,0,0.08074,0.0768,0.54605,0.46628,1.00145,1.16261,0.90598,0.62147,0.49793,0.08704,0.00278,0.00035,0.00082
"12",0,0,0,0.00166,0.06652,0.24869,0.58862,0.64461,0.92673,0.73954,0.91374,0.7395,0.23929,0.01562,0.00025,0.00023
"13",0,0,0,0.00097,0.01652,0.25861,0.22289,0.54456,0.63028,0.87803,0.46378,0.37162,0.08138,0.00883,0.00037,0.00183
"14",0,0,0,0,0.00173,0.00279,0.02534,0.00331,0.0148,0.02616,0.03626,0.0077,0.00797,0.00156,0.00032,4e-05
"15",0,0,0,6e-05,0,0.0028,0.00196,0.00201,0.00074,0.00457,0.00072,0.00404,0.00041,4e-05,0,4e-05
"16",0,0,0,0,0.00462,0,0,0,0,0.00858,0,0,0,0,0,0
