"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",6.19581,1.27152,0.26332,0.16686,0.20228,0.59708,0.94344,1.36737,1.04636,0.82623,0.50135,0.59608,0.27037,0.27729,0.24317,0.14253
"2",2.34476,10.5262,1.00988,0.1122,0.18661,0.3381,0.84804,1.33757,1.81533,0.62111,0.43477,0.24824,0.26194,0.25401,0.1237,0.05745
"3",0.15347,3.1775,16.63913,0.73716,0.51988,0.51721,0.55733,0.91781,1.83625,1.31109,0.88975,0.36934,0.1531,0.27563,0.16008,0.18881
"4",0.09025,0.34056,5.20442,16.43909,1.1817,0.58391,0.36254,0.58369,1.03214,1.62792,0.99531,0.43325,0.19867,0.03748,0.06133,0.0532
"5",0.61923,0.15815,0.19176,2.4225,6.05988,2.15969,1.11138,1.01656,0.80669,1.43078,1.22369,0.76588,0.298,0.1215,0.15904,0.14772
"6",0.0857,0.13585,0.12529,0.67947,2.66085,4.68592,2.60555,1.48382,1.47652,1.241,1.24376,0.87194,0.51313,0.0835,0.08951,0.03385
"7",0.63902,0.37416,0.47331,0.16657,0.96576,1.85192,3.7543,1.87771,1.44359,0.7933,0.96682,0.73893,0.56531,0.20427,0.16366,0.10306
"8",0.82229,0.90319,0.47827,0.29579,0.70462,1.53807,2.50044,4.79416,3.21276,1.7407,1.1491,0.85446,0.66528,0.56299,0.24773,0.12324
"9",0.73865,0.67939,0.72048,0.49301,0.8609,1.19607,2.00254,1.90346,3.50042,1.8388,1.73579,0.63996,0.53407,0.23444,0.26882,0.0797
"10",0.18246,0.47998,0.36955,0.74484,0.64276,0.68101,1.43314,1.53853,1.78577,2.27202,1.44208,0.82951,0.34967,0.1776,0.12825,0.18984
"11",0.11535,0.24684,0.62602,0.74059,0.68458,1.15358,0.98117,1.58895,1.73029,1.41216,1.89003,1.17436,0.56205,0.20927,0.24426,0.21444
"12",0.22965,0.35056,0.49536,0.15081,0.55717,1.18377,1.33746,1.32917,1.64652,1.39186,1.77328,2.53937,1.05684,0.36662,0.34523,0.19423
"13",0.23881,0.15206,0.15956,0.3139,0.52891,1.02794,1.06432,1.3567,1.42174,1.51956,1.01058,1.37283,1.56903,0.78408,0.51782,0.32986
"14",0.13852,0.14113,0.02935,0.02805,0.25583,0.53741,1.20243,0.9994,0.77383,0.6566,0.73555,0.62198,0.90418,2.0688,0.38102,0.26304
"15",0.04093,0.08626,0.20513,0.1762,0.11416,0.36403,0.40437,0.51898,0.89634,0.55792,0.39269,0.43218,1.15612,1.36244,1.42812,0.25108
"16",0.1079,0.12997,0,0.37474,0.08688,0.00017,0.00058,0.24811,0.58928,1.04321,0.50446,1.17561,0.15126,1.64261,0.55532,0.00013
