"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0.01619,0.15994,0.34681,0.19566,0.41361,0.28842,0.34459,0.23319,0.15611,0.06382,0.00317,0,0.00015
"6",0,0,0,0.00345,0.1831,0.97234,0.90823,0.74058,0.82926,0.54,0.33533,0.37636,0.11445,0.00092,0.00052,0.00086
"7",0,0,0,0.01671,0.25386,0.68391,1.0186,0.85813,0.77264,0.34579,0.42555,0.18136,0.06438,0.00151,0,0
"8",0,0,0,0.03825,0.26042,0.57636,1.02941,1.87076,1.93632,1.14441,0.65657,0.43548,0.12102,0.00495,0.00129,0.001
"9",0,0,0,0.0227,0.26278,0.74349,1.19707,0.97643,1.27714,1.09818,1.19574,0.35533,0.17566,0.006,0.00102,0.00057
"10",0,0,0,0.07702,0.10354,0.39875,0.99873,0.93819,0.93064,0.763,0.90119,0.50116,0.1278,0.00878,0.00202,0.00075
"11",0,0,0,0.07872,0.07487,0.55346,0.47261,1.01504,1.1784,0.91828,0.62991,0.50469,0.08822,0.00282,0.00035,0.00083
"12",0,0,0,0.00162,0.06486,0.25206,0.59661,0.65336,0.9393,0.74958,0.92614,0.74954,0.24254,0.01584,0.00025,0.00023
"13",0,0,0,0.00095,0.01611,0.26212,0.22591,0.55195,0.63884,0.88995,0.47008,0.37667,0.08249,0.00895,0.00038,0.00184
"14",0,0,0,0,0.00168,0.00283,0.02568,0.00335,0.015,0.02651,0.03675,0.0078,0.00808,0.00158,0.00033,4e-05
"15",0,0,0,6e-05,0,0.00282,0.00197,0.00203,0.00074,0.0046,0.00072,0.00407,0.00041,4e-05,0,4e-05
"16",0,0,0,0,0.00448,0,0,0,0,0.00864,0,0,0,0,0,0
