"Laboratory","Facility","Country","City","Sample Population","Sample Sub-Population","Reference Sample Type","Sample Set","Reference Method","Repeats","Blinding","Test Type","Test Format","Use Case","Test Name","Manufacturer","Catalog Number","Lot Number","Index Sample Type","Target","Antigen Used for Detection","RNA Extraction Kit","Estimated LoD","LoD Unit","Higher Cut-off","Lower Cut-off","Ct Value","Days of Sickness","Sample Size","Total Positive","Total Negative","True Positive","True Negative","Sensitivity","Specificity","Link to Publication","DOI","Comments"
"Molecular Virology Unit, Microbiology and Virology Department, Fondazione IRCCS Policlinico San Matteo","Public Health","Italy","Pavia","Symptomatic patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","VivaDiag COVID-19 IgM/IgG Rapid Test","VivaChek Biotech (Hangzhou) Co., Ltd","Not available","Not available","Serum; Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","50","38","12","7","11","18.4","91.7","https://onlinelibrary.wiley.com/doi/10.1002/jmv.25800","10.1002/jmv.25800","To estimate the sensitivity, LFA with IgG and/or IgM bands (including weak signals) were considered as positive results."
"Molecular Virology Unit, Microbiology and Virology Department, Fondazione IRCCS Policlinico San Matteo","Public Health","Italy","Pavia","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","VivaDiag COVID-19 IgM/IgG Rapid Test","VivaChek Biotech (Hangzhou) Co., Ltd","Not available","Not available","Serum; Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","60","30","30","25","20","83.3","66.7","https://onlinelibrary.wiley.com/doi/10.1002/jmv.25800","10.1002/jmv.25800","Serum samples were obtained at a median 7 days (interquartile range, 4‐11) after the first COVID‐19 positive result"
"Ospedale Policlinico Consorziale of Bari","Public Health","Italy","Bari","Symptomatic patients","Asymptomatic; Moderate","Oropharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","SARS-CoV-2 rapid IgG-IgM Viva-DiagTM Test combined antibody test kit","Jiangsu Medomics Medical Technologies","Not available","Not available","Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","190","70","120","21","107","30","89.2","https://www.medrxiv.org/content/10.1101/2020.04.03.20052183v1","10.1101/2020.04.03.20052183","Not available"
"Molecular Virology Unit, Microbiology and Virology Department, Fondazione IRCCS Policlinico San Matteo","Not available","Italy","Pavia","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of past infection","VivaDiag COVID-19 IgM/IgG Rapid Test","VivaChek Biotech (Hangzhou) Co., Ltd","Not available","Not available","Serum; Whole blood","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","60","30","30","24","30","80","100","https://onlinelibrary.wiley.com/doi/10.1002/jmv.25800","10.1002/jmv.25800","Serum samples were obtained at a median 7 days (interquartile range, 4‐11) after the first COVID‐19 positive result."
"Molecular Virology Unit, Microbiology and Virology Department, Fondazione IRCCS Policlinico San Matteo","Not available","Italy","Pavia","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of past infection","VivaDiag COVID-19 IgM/IgG Rapid Test","VivaChek Biotech (Hangzhou) Co., Ltd","Not available","Not available","Serum; Whole blood","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","60","30","30","25","30","83.3","100","https://onlinelibrary.wiley.com/doi/10.1002/jmv.25800","10.1002/jmv.25800","Serum samples were obtained at a median 7 days (interquartile range, 4‐11) after the first COVID‐19 positive result."
"Dipartimento di Medicina Clinica e Sperimentale, University of Catania,","Public Health","Italy","Catania","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs; Bronchial aspirate","Prospectively collected set","RT-PCR","Not available","Not available","Antibody","Rapid diagnostic test (RDT)","Not available","2019-nCoV IgG/IgM Rapid Testing Kit","Beijing Diagreat Biotechnologies Co., Ltd","Not available","Not available","Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","37","23","14","19","13","82.6","92.9","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7177053/pdf/main.pdf","10.1016/j.jinf.2020.04.022","The time from symptoms onset to antibody testing ranged from 3 to 34 days."
"UOC Microbiologia, AUSL della Romagna, Pievesestina di Cesena","Hospital","Italy","Not available","Confirmed COVID-19 patients","Asymptomatic; Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","Clinical examination; Epidemiologic criteria; RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Diagnostic kit for SARS-CoV-2 IgM/IgG Antibody (Colloidal Gold)","Shanghai Kehua Bio-engineering Co., Ltd","R-423-25-C-CE","Not available","Plasma; Serum; Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","Not available","67","Not available","29","Not available","43.3","Not available","Not available","Not available","Control: PCR negative asymptomatic or symptomatic patients"
"UOC Microbiologia, AUSL della Romagna, Pievesestina di Cesena","Hospital","Italy","Not available","Confirmed COVID-19 patients","Asymptomatic; Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","Clinical examination; Epidemiologic criteria; RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Diagnostic kit for SARS-CoV-2 IgM/IgG Antibody (Colloidal Gold)","Shanghai Kehua Bio-engineering Co., Ltd","R-423-25-C-CE","Not available","Plasma; Serum; Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","Not available","31","Not available","28","Not available","90.3","Not available","Not available","Not available","Control: PCR negative asymptomatic or symptomatic patients"
"UOC Microbiologia, AUSL della Romagna, Pievesestina di Cesena","Hospital","Italy","Not available","Confirmed COVID-19 patients","Asymptomatic; Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","Clinical examination; Epidemiologic criteria; RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Diagnostic kit for SARS-CoV-2 IgM/IgG Antibody (Colloidal Gold)","Shanghai Kehua Bio-engineering Co., Ltd","R-423-25-C-CE","Not available","Plasma; Serum; Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","Not available","37","Not available","35","Not available","94.6","Not available","Not available","Not available","Control: PCR negative asymptomatic or symptomatic patients"
"UOC Microbiologia, AUSL della Romagna, Pievesestina di Cesena","Hospital","Italy","Not available","Confirmed COVID-19 patients","Asymptomatic; Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","Clinical examination; Epidemiologic criteria; RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","Diagnostic kit for SARS-CoV-2 IgM/IgG Antibody (Colloidal Gold)","Shanghai Kehua Bio-engineering Co., Ltd","R-423-25-C-CE","Not available","Plasma; Serum; Whole blood","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","407","135","272","92","269","68.1","98.9","Not available","Not available","Control: PCR negative asymptomatic or symptomatic patients"
"National Institute for Infectious Diseases ‘Lazzaro Spallanzani’ IRCC; Not available","Public Health","Italy","Rome","Symptomatic patients","Not available","Nasopharyngeal swabs; Nasal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Molecular","Integrated system","Not available","Simplexa™ COVID-19 Direct RT-PCR Kit","DiaSorin Molecular, LLC","Not available","Not available","Nasopharyngeal swabs","Specimen without RNA extraction","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","278","99","179","99","171","100","95.5","https://reader.elsevier.com/reader/sd/pii/S138665322030158X?token=E8321EF3F282976013F76FA5A1542161F66A72DA794A2EABD1A2107016BE331A2D5214F28B1C6EED052DA93074681304","10.1016/j.jcv.2020.104416","LOD for both target genes: 3.2 (CI: 2.9 to 3.8) log10 copy/mL"
"National Institute for Infectious Diseases (INMI) ""L. Spallanzani” IRCCS","Hospital","Italy","Rome","Symptomatic patients","Not available","Serum","Retrospective set","Immunoassay","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection; Detection of past infection","ENZY-WELL SARS-CoV-2 IgA","Diesse Diagnostica Senese SpA","91402","Not available","Serum","IgA","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","Not available","Not available","Not available","Not available","Not available","58.3","Not available","https://www.medrxiv.org/content/10.1101/2020.05.24.20111682v1.full.pdf","10.1101/2020.05.24.20111682","Cases: Samples from suspected and confirmed cases  Controls: Samples from suspected and pre-pandemic patients"
