origin,destination,flow
1,1,0.9511379310344829
1,2,0.006396551724137931
1,3,0.0012931034482758623
1,4,0.020979310344827584
1,5,0.007620689655172414
1,6,0.0014758620689655174
1,7,0.0035793103448275862
1,8,1.7241379310344828e-05
1,9,0.00025862068965517253
1,10,0.0003793103448275863
1,11,0.0
1,12,0.00023793103448275867
1,13,8.620689655172414e-05
1,14,0.0
1,15,0.0011965517241379314
1,16,0.000206896551724138
1,17,0.00020689655172413795
1,18,0.0004068965517241381
1,19,0.0
1,20,0.0001724137931034483
1,21,0.0
1,22,0.0
1,23,1.7241379310344828e-05
1,24,0.0
1,26,0.0
1,27,1.7241379310344828e-05
1,28,3.4482758620689657e-05
1,30,0.0
1,31,0.0
1,33,3.4482758620689657e-05
1,34,8.620689655172414e-05
1,35,8.620689655172414e-05
1,36,0.0
1,37,8.620689655172414e-05
1,38,1.7241379310344828e-05
1,39,0.0
1,40,0.00010344827586206896
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,1.7241379310344828e-05
1,49,0.0
1,50,0.0
1,51,0.0
1,53,0.0
1,54,0.0
1,55,0.0
1,56,1.7241379310344828e-05
1,58,6.896551724137931e-05
1,60,0.00020689655172413793
1,61,1.7241379310344828e-05
1,62,0.0
1,63,1.7241379310344828e-05
1,64,0.0
1,65,0.0
1,66,0.0
1,67,0.0
1,68,0.0
1,69,0.0
1,70,1.7241379310344828e-05
1,71,6.896551724137931e-05
1,72,1.7241379310344828e-05
1,73,0.0
1,74,1.7241379310344828e-05
1,75,0.0
1,76,0.0
1,78,0.0
1,79,0.0
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,87,0.0
1,89,0.0
1,90,0.0
1,96,0.0031275862068965514
1,97,0.0
1,98,0.0
1,99,0.0
1,103,0.0002931034482758622
1,108,6.896551724137931e-05
1,109,1.7241379310344828e-05
2,1,0.06216206896551724
2,2,0.7352758620689656
2,3,0.0720586206896552
2,4,0.001093103448275862
2,5,0.0012620689655172413
2,6,0.02753448275862069
2,7,0.0012379310344827587
2,8,0.0
2,9,0.0
2,10,0.0
2,12,0.0006103448275862069
2,13,0.00033793103448275864
2,14,0.0
2,15,0.004331034482758621
2,16,0.0005931034482758621
2,17,0.0004517241379310345
2,18,0.0068655172413793104
2,19,0.00014482758620689654
2,20,0.0
2,23,0.00016896551724137932
2,24,0.00015172413793103449
2,26,0.0
2,28,0.0003103448275862069
2,30,0.0
2,33,0.00015172413793103449
2,34,0.0
2,36,0.0
2,37,0.0003068965517241379
2,38,0.0001586206896551724
2,45,0.0001586206896551724
2,48,0.00014827586206896551
2,49,0.0
2,65,0.0
2,70,0.0
2,71,0.0
2,72,0.0
2,93,0.0
2,96,0.07581034482758618
2,97,0.0
2,98,0.00014827586206896551
2,99,0.0
2,103,0.006999999999999999
2,108,0.0015206896551724135
3,1,0.006372413793103449
3,2,0.044534482758620694
3,3,0.8109724137931035
3,4,0.0017931034482758618
3,5,0.00030344827586206897
3,6,0.004837931034482758
3,7,0.00020344827586206895
3,8,0.0
3,9,0.0
3,10,0.0006206896551724137
3,12,0.022627586206896557
3,13,0.0007
3,14,0.00020344827586206895
3,15,0.04448275862068966
3,16,0.0009241379310344827
3,17,0.0003103448275862069
3,18,0.015272413793103451
3,19,0.0
