flow,origin,destination
0.9891,1,1
0.0023,1,2
0.0,1,3
0.0051,1,4
0.0017,1,5
0.0006,1,6
0.0006,1,7
0.0,1,8
0.0,1,9
0.0,1,10
0.0,1,11
0.0,1,12
0.0,1,13
0.0,1,14
0.0,1,15
0.0,1,16
0.0,1,17
0.0,1,18
0.0,1,19
0.0,1,20
0.0,1,21
0.0,1,22
0.0,1,23
0.0,1,24
0.0,1,26
0.0,1,27
0.0,1,28
0.0,1,30
0.0,1,31
0.0,1,33
0.0,1,34
0.0,1,35
0.0,1,36
0.0,1,37
0.0,1,38
0.0,1,39
0.0,1,40
0.0,1,41
0.0,1,42
0.0,1,43
0.0,1,44
0.0,1,45
0.0,1,46
0.0,1,47
0.0,1,48
0.0,1,49
0.0,1,50
0.0,1,51
0.0,1,53
0.0,1,54
0.0,1,55
0.0,1,56
0.0,1,58
0.0006,1,60
0.0,1,61
0.0,1,62
0.0,1,63
0.0,1,64
0.0,1,65
0.0,1,66
0.0,1,67
0.0,1,68
0.0,1,69
0.0,1,70
0.0,1,71
0.0,1,72
0.0,1,73
0.0,1,74
0.0,1,75
0.0,1,76
0.0,1,78
0.0,1,79
0.0,1,80
0.0,1,81
0.0,1,82
0.0,1,83
0.0,1,84
0.0,1,87
0.0,1,89
0.0,1,90
0.0,1,96
0.0,1,97
0.0,1,98
0.0,1,99
0.0,1,103
0.0,1,108
0.0,1,109
0.0273,2,1
0.9126,2,2
0.0437,2,3
0.0,2,4
0.0,2,5
0.0164,2,6
0.0,2,7
0.0,2,8
0.0,2,9
0.0,2,10
0.0,2,12
0.0,2,13
0.0,2,14
0.0,2,15
0.0,2,16
0.0,2,17
0.0,2,18
0.0,2,19
0.0,2,20
0.0,2,23
0.0,2,24
0.0,2,26
0.0,2,28
0.0,2,30
0.0,2,33
0.0,2,34
0.0,2,36
0.0,2,37
0.0,2,38
0.0,2,45
0.0,2,48
0.0,2,49
0.0,2,65
0.0,2,70
0.0,2,71
0.0,2,72
0.0,2,93
0.0,2,96
0.0,2,97
0.0,2,98
0.0,2,99
0.0,2,103
0.0,2,108
0.0,3,1
0.0183,3,2
0.9524,3,3
0.0,3,4
0.0,3,5
0.0,3,6
0.0,3,7
0.0,3,8
0.0,3,9
0.0,3,10
0.0037,3,12
0.0,3,13
0.0,3,14
0.011,3,15
0.0,3,16
0.0,3,17
0.0073,3,18
0.0,3,19
0.0,3,20
0.0,3,21
0.0,3,22
0.0,3,23
0.0,3,24
0.0,3,27
0.0,3,28
0.0,3,30
0.0,3,33
0.0,3,34
0.0,3,35
0.0,3,36
0.0,3,37
0.0,3,39
0.0,3,40
0.0,3,42
0.0,3,45
0.0,3,46
0.0,3,48
0.0,3,58
0.0,3,59
0.0,3,60
0.0,3,61
0.0,3,69
0.0,3,80
0.0,3,82
0.0,3,93
0.0,3,96
0.0,3,97
0.0,3,98
0.0,3,99
0.0073,3,103
0.0,3,108
0.0136,4,1
0.0,4,2
0.0,4,3
0.9778,4,4
0.0074,4,5
0.0012,4,6
0.0,4,7
0.0,4,8
0.0,4,9
0.0,4,10
0.0,4,12
0.0,4,13
0.0,4,14
0.0,4,15
0.0,4,16
0.0,4,17
0.0,4,18
0.0,4,19
0.0,4,20
0.0,4,22
0.0,4,23
0.0,4,24
0.0,4,27
0.0,4,28
0.0,4,29
0.0,4,32
0.0,4,33
0.0,4,34
0.0,4,35
0.0,4,36
0.0,4,37
0.0,4,38
0.0,4,40
0.0,4,42
0.0,4,44
0.0,4,45
0.0,4,47
0.0,4,48
0.0,4,53
0.0,4,54
0.0,4,59
0.0,4,60
0.0,4,63
0.0,4,67
0.0,4,72
0.0,4,87
0.0,4,96
0.0,4,97
0.0,4,98
0.0,4,99
0.0,4,103
