type,country,state/province,epoch,even_id,date,value,restriction
introduction of travel quarantine policies,COM,,1585699200000.0,02cf87e0-bcfe-11ea-b7bb-eeee0af7a662,2020-04-01,na,1
school closure,ZAF,,1584835200000.0,07280ce6-c072-11ea-87f4-eeee0af469a3,2020-03-22,Only schools (primary/secondary) closed,1
entertainment/cultural sector closure,NGA,,1585008000000.0,2ae3ffb2-c0e7-11ea-908e-eeee0af49f8d,2020-03-24,Churches,1
entertainment/cultural sector closure,COL,,1593907200000.0,062dec18-c0ed-11ea-a39b-eeee0af72e81,2020-07-05,"Bars, restaurants, night clubs",1
confinement,PAK,,1588982400000.0,3011b696-c1f0-11ea-a56d-eeee0af45dbb,2020-05-09,Mandatory/advisedfor all the population,1
entertainment/cultural sector closure,CMR,,1622505600000.0,78de17bc-c2bc-11ea-9397-eeee0af6ea14,2021-06-01,na,1
entertainment/cultural sector closure,AUS,,1585094400000.0,93824444-c2c1-11ea-bf59-eeee0af6f646,2020-03-25,Gyms and pools,1
entertainment/cultural sector closure,IND,,1583020800000.0,31cd91bc-c2f9-11ea-9dc2-eeee0af510b7,2020-03-01,Churches,1
confinement,JOR,,1593993600000.0,7f22b534-c4d7-11ea-81fa-eeee0af510b7,2020-07-06,na,0
introduction of travel quarantine policies,MUS,,1579737600000.0,2cf37f82-c4dc-11ea-a55f-eeee0af791a1,2020-01-23,CHN,1
mask wearing,PER,,1584403200000.0,a2a04ec0-c4de-11ea-9f7b-eeee0af791a1,2020-03-17,Recommended,1
confinement,SRB,,1594080000000.0,febf9c3a-c527-11ea-802a-eeee0af791a1,2020-07-07,Mandatory/advisedfor all the population,1
international flight restrictions,MNG,,1583625600000.0,ff9e43ac-c597-11ea-b8bc-eeee0af42abe,2020-03-08,na,1
international flight restrictions,PHL,,1583020800000.0,e8836118-c5c7-11ea-bde9-eeee0af5624e,2020-03-01,na,1
entertainment/cultural sector closure,TWN,,1586649600000.0,ea423128-c603-11ea-858e-eeee0af51bc0,2020-04-12,na,0
economic impact,USA,USA-CA,1584403200000.0,133b409a-c66f-11ea-a77c-eeee0af51bc0,2020-03-17,na,1
school closure,USA,USA-ME,1588982400000.0,9c0344fa-c6b9-11ea-b869-eeee0af69709,2020-05-09,na,1
