type,country,state/province,epoch,even_id,date,value,restriction
entertainment/cultural sector closure,ITA,,1580515200000.0,9a6e4c4a-c4d7-11ea-81dc-eeee0af715ab,2020-02-01,"Museums, theaters, cinema, libraries, festivities",1
school closure,ITA,,1589328000000.0,786bbf96-c4d8-11ea-ac90-eeee0af510b7,2020-05-13,na,1
entertainment/cultural sector closure,ITA,,1582416000000.0,a7495c9c-fc8c-45b0-a09c-3f2b85e29465,2020-02-23,"Bars, restaurants, night clubs",1
school closure,ITA,,1582502400000.0,6195e2f6-32d2-4d32-8001-5dea07f11198,2020-02-24,Universities closed,1
confinement,ITA,,1583798400000.0,33c914bc-a553-4eec-838a-6bda9c109c1e,2020-03-10,na,1
entertainment/cultural sector closure,ITA,,1582329600000.0,340f17cf-dcf8-4f33-925a-5eb1fbbbbe59,2020-02-22,na,1
entertainment/cultural sector closure,ITA,,1589068800000.0,413e610a-1e75-4ba2-b9b9-9acc5c17060d,2020-05-10,Parks and public gardens,1
introduction of travel quarantine policies,ITA,,1582502400000.0,d0fb4ca1-ac50-459a-b34d-455d8352d922,2020-02-24,KOR,1
introduction of travel quarantine policies,ITA,,1582502400000.0,0da4a965-f6b1-4c10-9ce9-7c013d352230,2020-02-24,SGP,1
introduction of travel quarantine policies,ITA,,1582502400000.0,2133129f-f140-4800-9835-ea0e298348f8,2020-02-24,CHN,1
school closure,ITA,,1582934400000.0,8329d02c-2199-4704-9137-b4d85104c458,2020-02-29,Universities closed,1
entertainment/cultural sector closure,ITA,,1583539200000.0,fb0bc5f6-cece-4c48-b1d6-5ebb62712fc9,2020-03-07,"Museums, theaters, cinema, libraries, festivities",1
entertainment/cultural sector closure,ITA,,1582329600000.0,dcf34e76-9be6-46ae-be6a-44abf222e9f0,2020-02-22,Churches,1
entertainment/cultural sector closure,ITA,,1582329600000.0,39be76eb-0b59-4010-bf2f-a995e6892365,2020-02-22,"Museums, theaters, cinema, libraries, festivities",1
school closure,ITA,,1582502400000.0,8afb0d1b-0073-4de7-9fce-bf502a3b4a8e,2020-02-24,Only schools (primary/secondary) closed,1
confinement,ITA,,1582761600000.0,a16b0b61-b1f4-4f0f-bc01-69af474a66b3,2020-02-27,na,1
introduction of travel quarantine policies,ITA,,1582329600000.0,cc25ea21-c084-4125-9711-c68dabf83546,2020-02-22,ROU,1
work restrictions,ITA,,1584748800000.0,d8b9dbe5-da60-45e5-b161-5259544c38e7,2020-03-21,na,1
entertainment/cultural sector closure,ITA,,1582588800000.0,dca5da76-6910-4713-bd67-4200f716f8c5,2020-02-25,"Museums, theaters, cinema, libraries, festivities",1
entertainment/cultural sector closure,ITA,,1582329600000.0,b4c947d3-0afd-43d3-a39d-7a5c1c9d21d1,2020-02-22,Gyms and pools,1
school closure,ITA,,1583712000000.0,33d890ff-e2f4-410a-968e-40bd78adfd4a,2020-03-09,Universities closed,1
entertainment/cultural sector closure,ITA,,1585872000000.0,e1b9c132-26dd-4098-868f-59ec35fcf0c1,2020-04-03,Gyms and pools,1
entertainment/cultural sector closure,ITA,,1583712000000.0,c074e3ad-c976-47a1-9622-d41e915b2e20,2020-03-09,"Museums, theaters, cinema, libraries, festivities",1
entertainment/cultural sector closure,ITA,,1580947200000.0,53518df3-9361-4739-b6bf-860cbd00a855,2020-02-06,Gyms and pools,1
school closure,ITA,,1582416000000.0,ab8f2d10-2b69-4c03-a224-50e88d104312,2020-02-23,Universities closed,1
school closure,ITA,,1583539200000.0,3ae6323a-8f88-4101-b6fa-75bc686d4a5e,2020-03-07,Universities closed,1
school closure,ITA,,1583280000000.0,7809fa02-f326-455f-a05c-1c0362a2444a,2020-03-04,Universities closed,1
confinement,ITA,,1582502400000.0,b4c9c1d4-c092-4fea-8cb5-313ddf4432a7,2020-02-24,na,1
