Entity,Code,Date,"Government Response Stringency Index ((0 to 100, 100 = strictest))"
Italy,ITA,"Jan 1, 2020",0
Italy,ITA,"Jan 2, 2020",0
Italy,ITA,"Jan 3, 2020",0
Italy,ITA,"Jan 4, 2020",0
Italy,ITA,"Jan 5, 2020",0
Italy,ITA,"Jan 6, 2020",0
Italy,ITA,"Jan 7, 2020",0
Italy,ITA,"Jan 8, 2020",0
Italy,ITA,"Jan 9, 2020",0
Italy,ITA,"Jan 10, 2020",0
Italy,ITA,"Jan 11, 2020",0
Italy,ITA,"Jan 12, 2020",0
Italy,ITA,"Jan 13, 2020",0
Italy,ITA,"Jan 14, 2020",0
Italy,ITA,"Jan 15, 2020",0
Italy,ITA,"Jan 16, 2020",0
Italy,ITA,"Jan 17, 2020",0
Italy,ITA,"Jan 18, 2020",0
Italy,ITA,"Jan 19, 2020",0
Italy,ITA,"Jan 20, 2020",0
Italy,ITA,"Jan 21, 2020",0
Italy,ITA,"Jan 22, 2020",0
Italy,ITA,"Jan 23, 2020",2.78
Italy,ITA,"Jan 24, 2020",2.78
Italy,ITA,"Jan 25, 2020",2.78
Italy,ITA,"Jan 26, 2020",2.78
Italy,ITA,"Jan 27, 2020",2.78
Italy,ITA,"Jan 28, 2020",2.78
Italy,ITA,"Jan 29, 2020",2.78
Italy,ITA,"Jan 30, 2020",8.33
Italy,ITA,"Jan 31, 2020",19.44
Italy,ITA,"Feb 1, 2020",19.44
Italy,ITA,"Feb 2, 2020",19.44
Italy,ITA,"Feb 3, 2020",19.44
Italy,ITA,"Feb 4, 2020",19.44
Italy,ITA,"Feb 5, 2020",19.44
Italy,ITA,"Feb 6, 2020",19.44
Italy,ITA,"Feb 7, 2020",19.44
Italy,ITA,"Feb 8, 2020",19.44
Italy,ITA,"Feb 9, 2020",19.44
Italy,ITA,"Feb 10, 2020",19.44
Italy,ITA,"Feb 11, 2020",19.44
Italy,ITA,"Feb 12, 2020",19.44
Italy,ITA,"Feb 13, 2020",19.44
Italy,ITA,"Feb 14, 2020",19.44
Italy,ITA,"Feb 15, 2020",19.44
Italy,ITA,"Feb 16, 2020",19.44
Italy,ITA,"Feb 17, 2020",19.44
Italy,ITA,"Feb 18, 2020",19.44
Italy,ITA,"Feb 19, 2020",19.44
Italy,ITA,"Feb 20, 2020",19.44
Italy,ITA,"Feb 21, 2020",27.78
Italy,ITA,"Feb 22, 2020",37.04
Italy,ITA,"Feb 23, 2020",69.91
Italy,ITA,"Feb 24, 2020",69.91
Italy,ITA,"Feb 25, 2020",69.91
Italy,ITA,"Feb 26, 2020",69.91
Italy,ITA,"Feb 27, 2020",69.91
Italy,ITA,"Feb 28, 2020",69.91
Italy,ITA,"Feb 29, 2020",69.91
Italy,ITA,"Mar 1, 2020",69.91
Italy,ITA,"Mar 2, 2020",69.91
Italy,ITA,"Mar 3, 2020",69.91
Italy,ITA,"Mar 4, 2020",74.54
Italy,ITA,"Mar 5, 2020",74.54
Italy,ITA,"Mar 6, 2020",74.54
Italy,ITA,"Mar 7, 2020",74.54
Italy,ITA,"Mar 8, 2020",74.54
Italy,ITA,"Mar 9, 2020",74.54
Italy,ITA,"Mar 10, 2020",82.41
Italy,ITA,"Mar 11, 2020",85.19
Italy,ITA,"Mar 12, 2020",85.19
Italy,ITA,"Mar 13, 2020",85.19
Italy,ITA,"Mar 14, 2020",85.19
Italy,ITA,"Mar 15, 2020",85.19
Italy,ITA,"Mar 16, 2020",85.19
Italy,ITA,"Mar 17, 2020",85.19
Italy,ITA,"Mar 18, 2020",85.19
Italy,ITA,"Mar 19, 2020",85.19
Italy,ITA,"Mar 20, 2020",91.67
Italy,ITA,"Mar 21, 2020",91.67
Italy,ITA,"Mar 22, 2020",91.67
Italy,ITA,"Mar 23, 2020",91.67
Italy,ITA,"Mar 24, 2020",91.67
Italy,ITA,"Mar 25, 2020",91.67
Italy,ITA,"Mar 26, 2020",91.67
Italy,ITA,"Mar 27, 2020",91.67
Italy,ITA,"Mar 28, 2020",91.67
Italy,ITA,"Mar 29, 2020",91.67
Italy,ITA,"Mar 30, 2020",91.67
Italy,ITA,"Mar 31, 2020",91.67
Italy,ITA,"Apr 1, 2020",91.67
Italy,ITA,"Apr 2, 2020",91.67
Italy,ITA,"Apr 3, 2020",91.67
Italy,ITA,"Apr 4, 2020",91.67
Italy,ITA,"Apr 5, 2020",91.67
Italy,ITA,"Apr 6, 2020",91.67
Italy,ITA,"Apr 7, 2020",91.67
Italy,ITA,"Apr 8, 2020",91.67
Italy,ITA,"Apr 9, 2020",91.67
Italy,ITA,"Apr 10, 2020",87.96
Italy,ITA,"Apr 11, 2020",87.96
Italy,ITA,"Apr 12, 2020",93.52
Italy,ITA,"Apr 13, 2020",93.52
Italy,ITA,"Apr 14, 2020",93.52
Italy,ITA,"Apr 15, 2020",93.52
Italy,ITA,"Apr 16, 2020",93.52
Italy,ITA,"Apr 17, 2020",93.52
Italy,ITA,"Apr 18, 2020",93.52
Italy,ITA,"Apr 19, 2020",93.52
Italy,ITA,"Apr 20, 2020",93.52
