"TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"COUPLE_NCHILD","couples without children","THV","thousands value","2015","2015",4925,,
"COUPLE_NCHILD","couples without children","THV","thousands value","2016","2016",4928,,
"COUPLE_NCHILD","couples without children","THV","thousands value","2017","2017",4966,,
"COUPLE_NCHILD","couples without children","THV","thousands value","2018","2018",4901,,
"COUPLE_NCHILD","couples without children","THV","thousands value","2019","2019",4791,,
"1PARENT_YCHI","one parent with children","THV","thousands value","2015","2015",210,,
"1PARENT_YCHI","one parent with children","THV","thousands value","2016","2016",189,,
"1PARENT_YCHI","one parent with children","THV","thousands value","2017","2017",196,,
"1PARENT_YCHI","one parent with children","THV","thousands value","2018","2018",226,,
"1PARENT_YCHI","one parent with children","THV","thousands value","2019","2019",220,,
"1CORE_YOTHERP","a nucleus with other persons","THV","thousands value","2015","2015",842,,
"1CORE_YOTHERP","a nucleus with other persons","THV","thousands value","2016","2016",820,,
"1CORE_YOTHERP","a nucleus with other persons","THV","thousands value","2017","2017",816,,
"1CORE_YOTHERP","a nucleus with other persons","THV","thousands value","2018","2018",850,,
"1CORE_YOTHERP","a nucleus with other persons","THV","thousands value","2019","2019",863,,
"1PARENT_YCHI","one parent with children","HSC_F","per 100 households with the same characteristics","2015","2015",0.8,,
"1PARENT_YCHI","one parent with children","HSC_F","per 100 households with the same characteristics","2016","2016",0.7,,
"1PARENT_YCHI","one parent with children","HSC_F","per 100 households with the same characteristics","2017","2017",0.8,,
"1PARENT_YCHI","one parent with children","HSC_F","per 100 households with the same characteristics","2018","2018",0.9,,
"1PARENT_YCHI","one parent with children","HSC_F","per 100 households with the same characteristics","2019","2019",0.9,,
"1CORE_YOTHERP","a nucleus with other persons","HSC_F","per 100 households with the same characteristics","2015","2015",3.3,,
"1CORE_YOTHERP","a nucleus with other persons","HSC_F","per 100 households with the same characteristics","2016","2016",3.2,,
"1CORE_YOTHERP","a nucleus with other persons","HSC_F","per 100 households with the same characteristics","2017","2017",3.2,,
"1CORE_YOTHERP","a nucleus with other persons","HSC_F","per 100 households with the same characteristics","2018","2018",3.3,,
"1CORE_YOTHERP","a nucleus with other persons","HSC_F","per 100 households with the same characteristics","2019","2019",3.4,,
"HOUSE_1CORE","households with a nucleus","THV","thousands value","2015","2015",16565,,
"HOUSE_1CORE","households with a nucleus","THV","thousands value","2016","2016",16466,,
"HOUSE_1CORE","households with a nucleus","THV","thousands value","2017","2017",16428,,
"HOUSE_1CORE","households with a nucleus","THV","thousands value","2018","2018",16271,,
"HOUSE_1CORE","households with a nucleus","THV","thousands value","2019","2019",16165,,
"COUP_NCHI","couples without children","HSC_F","per 100 households with the same characteristics","2015","2015",1,,
"COUP_NCHI","couples without children","HSC_F","per 100 households with the same characteristics","2016","2016",1,,
"COUP_NCHI","couples without children","HSC_F","per 100 households with the same characteristics","2017","2017",1.1,,
