"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITF5","Basilicata","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",54.2,,
"ITF5","Basilicata","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",55.3,,
"IT","Italy","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",36.2,,
"IT","Italy","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",37,,
"2","metropolitan area - centre","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.2,,
"2","metropolitan area - centre","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.2,,
"ITD","Nord-est","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",50.4,,
"ITD","Nord-est","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",50.9,,
"ITF6","Calabria","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2018","2018",15.6,,
"ITF6","Calabria","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2019","2019",17.8,,
"ITD","Nord-est","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",1177,,
"ITD","Nord-est","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",1148,,
"6","until 2,000 inhab.","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",38.2,,
"6","until 2,000 inhab.","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",34.1,,
"ITF","Sud","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",27.7,,
"ITF","Sud","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",28,,
"ITG1","Sicilia","AVTYPE_H60OVER_F","female","THV","thousands value","2018","2018",256,,
"ITG1","Sicilia","AVTYPE_H60OVER_F","female","THV","thousands value","2019","2019",262,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",22,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",24,,
"IT","Italy","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",4.8,,
"IT","Italy","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",4.9,,
"ITD2","Provincia Autonoma Trento","AVTYPE_HONEP","one parent","THV","thousands value","2018","2018",19,,
"ITD2","Provincia Autonoma Trento","AVTYPE_HONEP","one parent","THV","thousands value","2019","2019",19,,
"8","10,001 - 50,000 inhab.","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",1117,,
"8","10,001 - 50,000 inhab.","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",1106,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",52.4,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",53.5,,
"ITD3","Veneto","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2018","2018",6,,
"ITD3","Veneto","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2019","2019",5.8,,
"ITCD","Nord","AVTYPE_H60OVER_F","female","THV","thousands value","2018","2018",1635,,
"ITCD","Nord","AVTYPE_H60OVER_F","female","THV","thousands value","2019","2019",1640,,
"ITG","Isole","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",471,,
"ITG","Isole","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",493,,
"ITFG","Mezzogiorno","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",350,,
