ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SPERFICIEAREATOTALE,SPERFICIEAREALIBERA,VOLUME
201819,FGEE82302X,710140317,"2.310,00","4.915,00",7000
201819,COTD00101T,131450925,"4.800,00",-,35000
201819,CTAA08305Q,870550868,"130,00",-,435
201819,MITF11000E,151462103,"19.224,00",-,9068
201819,PGPC01801G,540352633,-,-,-
201819,CSIS06100T,780031081,"17.000,00",-,18600
201819,ALEE818052,61410001,"1.400,00","1.000,00",3360
201819,MORC004013,360300326,"4.944,50","1.650,00",40522.35
201819,CLAA82002B,850180536,"1.537,00","1.120,00",1827.49
201819,PCAA819033,330170066,"500,00",-,1650
201819,VAEE873015,121330068,"7.150,00","4.750,00",18950
201819,CEMM8A4023,610550080,"4.044,00","2.181,00",3464
201819,CAMM8AC04V,1110821831,"1.200,00","600,00",3000
201819,RAIC810006,390140160,"9.628,90","7.393,10",11760
201819,RMPS130006,580321583,"9.537,00","7.497,00",19877
201819,RMPS53000N,581161338,"1.550,00","996,00",5726
201819,NAEE8GG014,630861284,"1.900,00","1.000,00",5674
201819,MIEE8EV01N,1080540722,"4.450,00","1.142,00",11191.6
201819,MTPM00101T,770160677,"5.400,00","2.480,00",17880
201819,SVCT70000G,90290326,"6.350,00",-,11732
201819,RMPS030009,580911706,"5.500,00","2.445,00",19050
201819,BGEE86007R,161441002,"7.898,00","6.396,00",5054
201819,MIMM878019,1080230003,"27.458,00","17.723,00",38506
201819,ALAA81103X,60770001,"5.020,00","200,00",3868
201819,CAAA88301T,920510206,"8.471,00","5.928,00",14039
201819,PISD05001N,500080301,"3.500,00","1.980,00",11623
201819,PSAA80402L,410250100,"1.813,00","1.146,00",6603
201819,LEIC81900G,750230480,"2.650,00","1.200,00",10150
201819,BSMM87501Q,171610603,"12.675,00",-,11297
201819,ANAA848013,420450146,"1.260,00","997,00",789
201819,PGAA825047,540130345,"2.880,00","2.344,00",1193
201819,RMAA8EB01D,580910027,"11.490,00",-,12150
201819,CEEE8AB02C,610681529,-,-,-
201819,GRIC815003,530150001,"16.000,00","13.485,00",14520
201819,PSIS00400V,410070357,"11.559,00","9.108,00",15912
201819,SAPS08000T,650880505,"10.656,00",-,22800
201819,TVTD02401P,260463742,"39.155,00","33.942,00",16524
201819,TAEE861034,730130083,"5.173,00",-,17560
201819,NARC113024,630760002,-,-,-
