Date,Cases
2020-01-30,16
2020-02-01,45
2020-02-02,30
2020-02-03,23
2020-02-04,19
2020-02-05,26
2020-02-06,25
2020-02-07,18
2020-02-08,0
2020-02-09,0
2020-02-10,60
2020-02-11,25
2020-02-12,40
2020-02-13,46
2020-02-14,63
2020-02-15,137
2020-02-16,77
2020-02-17,130
2020-02-18,157
2020-02-19,127
2020-02-20,399
2020-02-21,296
2020-02-22,382
2020-02-23,488
2020-02-24,666
2020-02-25,821
2020-02-26,739
2020-02-27,871
2020-02-28,1201
2020-02-29,1068
2020-03-01,2463
2020-03-02,1922
2020-03-03,2251
2020-03-04,1946
2020-03-05,2633
2020-03-06,2974
2020-03-07,3127
2020-03-08,3662
2020-03-09,4424
2020-03-10,6173
2020-03-11,4224
2020-03-12,4782
2020-03-13,5315
2020-03-14,4692
2020-03-15,5821
2020-03-16,5231
2020-03-17,4366
2020-03-18,4713
2020-03-19,4040
2020-03-20,5982
2020-03-21,3609
2020-03-22,3558
2020-03-23,4184
2020-03-24,3374
2020-03-25,3682
2020-03-26,3106
2020-03-27,3399
2020-03-28,3011
2020-03-29,2297
2020-03-30,3450
2020-03-31,2442
2020-04-01,3869
2020-04-02,2481
2020-04-03,2561
2020-04-04,2170
2020-04-05,1916
2020-04-06,2305
2020-04-07,2103
2020-04-08,1972
2020-04-09,1846
2020-04-10,2534
2020-04-11,1460
2020-04-12,1539
2020-04-13,1397
2020-04-14,1623
2020-04-15,1984
2020-04-16,1482
2020-04-17,1256
2020-04-18,1160
2020-04-19,916
2020-04-20,1726
2020-04-21,1079
2020-04-22,1055
2020-04-23,1083
2020-04-24,938
2020-04-25,795
2020-04-26,599
2020-04-27,978
2020-04-28,751
2020-04-29,823
2020-04-30,773
2020-05-01,600
2020-05-02,417
2020-05-03,331
2020-05-04,546
2020-05-05,527
2020-05-06,474
2020-05-07,442
2020-05-08,425
2020-05-09,238
2020-05-10,312
2020-05-11,326
2020-05-12,383
2020-05-13,313
2020-05-14,279
2020-05-15,275
2020-05-16,181
2020-05-17,151
2020-05-18,245
2020-05-19,202
2020-05-20,234
2020-05-21,170
2020-05-22,156
2020-05-23,93
2020-05-24,65
2020-05-25,166
2020-05-26,142
2020-05-27,169
2020-05-28,127
2020-05-29,121
2020-05-30,97
2020-05-31,46
2020-06-01,151
2020-06-02,46
2020-06-03,100
2020-06-04,98
2020-06-05,116
2020-06-06,78
2020-06-07,54
2020-06-08,103
2020-06-09,101
2020-06-10,98
2020-06-11,74
2020-06-12,100
2020-06-13,52
2020-06-14,69
2020-06-15,90
2020-06-16,71
2020-06-17,67
2020-06-18,69
2020-06-19,58
2020-06-20,53
2020-06-21,45
2020-06-22,67
2020-06-23,54
2020-06-24,70
2020-06-25,65
2020-06-26,81
2020-06-27,62
2020-06-28,41
2020-06-29,86
2020-06-30,61
2020-07-01,89
2020-07-02,73
2020-07-03,57
2020-07-04,73
2020-07-05,59
2020-07-06,80
2020-07-07,77
2020-07-08,80
2020-07-09,75
2020-07-10,89
2020-07-11,68
2020-07-12,70
