"TIME","GEO","UNIT","SEX","AGE","Value"
"2020W28","Belgium","Number","Total","90 years or over","364"
"2020W29","Belgium","Number","Total","90 years or over","407"
"2020W30","Belgium","Number","Total","90 years or over","419"
"2020W31","Belgium","Number","Total","90 years or over","460"
"2020W32","Belgium","Number","Total","90 years or over","438"
"2020W33","Belgium","Number","Total","90 years or over","739"
"2020W34","Belgium","Number","Total","90 years or over","478"
"2020W35","Belgium","Number","Total","90 years or over","406"
"2020W36","Belgium","Number","Total","90 years or over","403"
"2020W37","Belgium","Number","Total","90 years or over","409"
"2020W38","Belgium","Number","Total","90 years or over","455"
"2020W39","Belgium","Number","Total","90 years or over","416"
"2020W40","Belgium","Number","Total","90 years or over",":"
"2020W41","Belgium","Number","Total","90 years or over",":"
"2020W99","Belgium","Number","Total","90 years or over",":"
"2020W28","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","28"
"2020W29","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","34"
"2020W30","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","41"
"2020W31","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","39"
"2020W32","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","22"
"2020W33","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","73"
"2020W34","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","47"
"2020W35","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","28"
"2020W36","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","32"
"2020W37","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","29"
"2020W38","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","29"
"2020W39","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","35"
"2020W40","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over",":"
"2020W41","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over",":"
"2020W99","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over",":"
"2020W28","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","28"
"2020W29","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","34"
"2020W30","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","41"
"2020W31","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","39"
"2020W32","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","22"
"2020W33","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","73"
"2020W34","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","47"
"2020W35","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","28"
"2020W36","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","32"
"2020W37","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","29"
"2020W38","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","29"
"2020W39","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over","35"
"2020W40","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over",":"
"2020W41","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over",":"
"2020W99","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Total","90 years or over",":"
"2020W28","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Total","90 years or over","28"
"2020W29","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Total","90 years or over","34"
"2020W30","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Total","90 years or over","41"
"2020W31","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Total","90 years or over","39"
