"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
0,11166,1,0,0,0,1,0,0,8.954956568460644e-5,0,0,0.0,1
1,11166,1,0,0,0,1,0,0,8.954956568460644e-5,0,0,0.0,1
2,11166,1,0,0,0,1,0,0,8.954956568460644e-5,0,0,0.0,1
3,11166,1,0,0,0,1,0,0,8.954956568460644e-5,0,0,0.0,1
4,11166,1,0,0,0,1,0,0,8.954956568460644e-5,0,0,0.0,1
5,11166,1,0,0,0,1,0,0,8.954956568460644e-5,0,0,0.0,1
6,11166,0,1,0,0,1,0,0,8.954956568460644e-5,0,0,0.0,1
7,11166,0,1,0,0,1,0,0,8.954956568460644e-5,0,0,0.0,1
8,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
9,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
10,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
11,11165,1,0,1,0,2,0,0,0.00017909913136921287,0,0,0.0,1
12,11164,2,0,1,0,3,0,0,0.0002686486970538193,0,0,0.0,1
13,11164,2,0,1,0,3,0,0,0.0002686486970538193,0,0,0.0,1
14,11164,2,0,1,0,3,0,0,0.0002686486970538193,0,0,0.0,1
15,11164,2,0,1,0,3,0,0,0.0002686486970538193,0,0,0.0,1
16,11162,4,0,1,0,5,0,0,0.0004477478284230321,0,0,0.0,1
17,11161,5,0,1,0,6,0,0,0.0005372973941076386,0,0,0.0,1
18,11161,5,0,1,0,6,0,0,0.0005372973941076386,0,0,0.0,1
19,11161,3,1,1,1,6,0,0,0.0005372973941076386,0,0,0.0,1
20,11159,4,1,2,1,8,0,0,0.0007163965254768515,0,0,0.0,1
21,11157,6,1,2,1,10,0,0,0.0008954956568460643,0,0,0.0,1
22,11155,8,1,1,1,11,1,0,0.0009850452225306707,0,0,0.0,1
23,11153,9,1,1,2,13,1,0,0.0011641443538998836,0,0,0.0,1
24,11153,8,2,1,2,13,1,0,0.0011641443538998836,0,0,0.0,1
25,11150,11,2,1,2,16,1,0,0.001432793050953703,0,0,0.0,1
26,11149,12,2,1,2,17,1,0,0.0015223426166383093,0,0,0.0,1
27,11145,16,1,2,2,21,1,0,0.001880540879376735,0,0,0.0,1
28,11142,19,1,2,2,24,1,0,0.0021491895764305545,0,0,0.0,1
29,11141,20,0,3,2,25,1,0,0.002238739142115161,0,0,0.0,1
30,11141,19,1,3,2,25,1,0,0.002238739142115161,0,0,0.0,1
