"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
0,2811,2,0,0,0,2,0,0,0.0007109847138286527,0,0,0.0,1
1,2811,2,0,0,0,2,0,0,0.0007109847138286527,0,0,0.0,1
2,2811,2,0,0,0,2,0,0,0.0007109847138286527,0,0,0.0,1
3,2811,2,0,0,0,2,0,0,0.0007109847138286527,0,0,0.0,1
4,2811,2,0,0,0,2,0,0,0.0007109847138286527,0,0,0.0,1
5,2811,1,1,0,0,2,0,0,0.0007109847138286527,0,0,0.0,1
6,2811,1,1,0,0,2,0,0,0.0007109847138286527,0,0,0.0,1
7,2811,1,1,0,0,2,0,0,0.0007109847138286527,0,0,0.0,1
8,2811,1,0,1,0,2,0,0,0.0007109847138286527,0,0,0.0,1
9,2808,4,0,1,0,5,0,0,0.0017774617845716318,0,0,0.0,1
10,2808,4,0,1,0,5,0,0,0.0017774617845716318,0,0,0.0,1
11,2806,6,0,1,0,7,0,0,0.002488446498400284,0,0,0.0,1
12,2806,6,0,1,0,7,0,0,0.002488446498400284,0,0,0.0,1
13,2805,5,0,1,2,8,0,0,0.0028439388553146107,0,0,0.0,1
14,2802,6,1,1,3,11,0,0,0.0039104159260575895,0,0,0.0,1
15,2801,7,1,1,3,12,0,0,0.004265908282971916,0,0,0.0,1
16,2797,11,1,1,3,16,0,0,0.005687877710629221,0,0,0.0,1
17,2796,12,0,2,3,17,0,0,0.006043370067543548,0,0,0.0,1
18,2792,16,0,1,3,20,1,0,0.007109847138286527,0,0,0.0,1
19,2789,18,0,1,4,23,1,0,0.008176324209029506,0,0,0.0,1
20,2789,18,0,1,4,23,1,0,0.008176324209029506,0,0,0.0,1
21,2787,19,1,1,4,25,1,0,0.008887308922858158,0,0,0.0,1
22,2784,20,3,1,4,28,1,0,0.009953785993601137,0,0,0.0,1
23,2784,18,3,2,4,27,2,0,0.009598293636686812,0,0,0.0,1
24,2780,22,3,2,4,31,2,0,0.011020263064344117,0,0,0.0,1
25,2778,24,3,2,4,33,2,0,0.01173124777817277,0,0,0.0,1
26,2774,24,6,3,4,37,2,0,0.013153217205830075,0,0,0.0,1
27,2773,24,7,3,4,38,2,0,0.0135087095627444,0,0,0.0,1
28,2767,30,7,3,4,44,2,0,0.015641663704230358,0,0,0.0,1
29,2764,32,4,6,5,47,2,0,0.01670814077497334,0,0,0.0,1
30,2759,36,5,6,5,52,2,0,0.01848560255954497,0,0,0.0,1
31,2750,41,5,6,9,61,2,0,0.021685033771773908,0,0,0.0,1
32,2745,44,5,8,9,66,2,0,0.02346249555634554,0,0,0.0,1
33,2736,48,6,8,11,73,4,0,0.025950942054745824,0,0,0.0,1
34,2733,48,6,8,13,75,5,0,0.026661926768574477,0,0,0.0,1
35,2730,46,9,8,13,76,7,0,0.0270174191254888,0,0,0.0,1
36,2726,45,9,10,16,80,7,0,0.028439388553146108,0,0,0.0,1
37,2719,49,7,13,18,87,7,0,0.030927835051546393,0,0,0.0,1
38,2715,51,8,12,18,89,9,0,0.03163881976537505,0,0,0.0,1
39,2712,51,8,13,19,91,10,0,0.0323498044792037,0,0,0.0,1
40,2707,52,10,13,21,96,10,0,0.03412726626377533,0,0,0.0,1
41,2705,50,8,16,24,98,10,0,0.03483825097760398,0,0,0.0,1
42,2700,48,9,16,28,101,12,0,0.03590472804834696,0,0,0.0,1
43,2695,50,11,17,27,105,13,0,0.03732669747600426,0,0,0.0,1
44,2693,48,11,18,28,105,15,0,0.03732669747600426,0,0,0.0,1
45,2689,48,12,18,31,109,15,0,0.03874866690366157,0,0,0.0,1
46,2684,50,11,17,33,111,18,0,0.039459651617490224,0,0,0.0,1
47,2682,48,9,18,35,110,21,0,0.0391041592605759,0,0,0.0,1
48,2679,49,9,17,32,107,27,0,0.038037682189832916,0,0,0.0,1
49,2675,48,11,18,34,111,27,0,0.039459651617490224,0,0,0.0,1
50,2674,44,14,17,35,110,29,0,0.0391041592605759,0,0,0.0,1
51,2669,45,13,19,37,114,30,0,0.0405261286882332,0,0,0.0,1
52,2661,49,14,20,35,118,34,0,0.04194809811589051,0,0,0.0,1
53,2657,47,15,20,38,120,36,0,0.04265908282971916,0,0,0.0,1
54,2649,49,16,22,39,126,38,0,0.04479203697120512,0,0,0.0,1
