"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
0,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
1,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
2,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
3,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
4,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
5,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
6,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
7,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
8,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
9,11165,0,2,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
10,11165,0,1,1,0,2,0,0,0.00017909913136921287,0,0,0.0,1
11,11163,2,1,1,0,4,0,0,0.00035819826273842574,0,0,0.0,1
12,11162,3,1,1,0,5,0,0,0.0004477478284230321,0,0,0.0,1
13,11160,5,1,1,0,7,0,0,0.000626846959792245,0,0,0.0,1
14,11159,6,0,2,0,8,0,0,0.0007163965254768515,0,0,0.0,1
15,11159,6,0,2,0,8,0,0,0.0007163965254768515,0,0,0.0,1
16,11159,5,1,2,0,8,0,0,0.0007163965254768515,0,0,0.0,1
17,11155,8,1,2,1,12,0,0,0.0010745947882152772,0,0,0.0,1
18,11154,9,1,2,1,13,0,0,0.0011641443538998836,0,0,0.0,1
19,11150,13,1,2,1,17,0,0,0.0015223426166383093,0,0,0.0,1
20,11149,13,1,2,2,18,0,0,0.0016118921823229156,0,0,0.0,1
21,11146,15,2,2,2,21,0,0,0.001880540879376735,0,0,0.0,1
22,11145,16,1,3,2,22,0,0,0.0019700904450613414,0,0,0.0,1
23,11137,24,0,4,2,30,0,0,0.002686486970538193,0,0,0.0,1
24,11134,26,0,4,3,33,0,0,0.0029551356675920123,0,0,0.0,1
25,11128,30,1,4,4,39,0,0,0.0034924330616996507,0,0,0.0,1
26,11115,41,3,3,4,51,1,0,0.004567027849914928,0,0,0.0,1
27,11107,48,3,3,5,59,1,0,0.005283424375391779,0,0,0.0,1
28,11100,51,3,4,8,66,1,0,0.0059102713351840246,0,0,0.0,1
29,11088,60,3,6,9,78,1,0,0.006984866123399301,0,0,0.0,1
30,11074,74,2,7,9,92,1,0,0.00823856004298379,0,0,0.0,1
31,11063,85,2,7,9,103,1,0,0.009223605265514462,0,0,0.0,1
32,11054,92,3,7,10,112,1,0,0.01002955135667592,0,0,0.0,1
33,11042,101,4,7,12,124,1,0,0.011104146144891197,0,0,0.0,1
34,11025,113,6,8,14,141,1,0,0.012626488761529506,0,0,0.0,1
35,11012,119,9,4,18,150,5,0,0.013432434852690965,0,0,0.0,1
36,11007,117,10,4,24,155,5,0,0.013880182681113996,0,0,0.0,1
37,10985,132,13,3,26,174,8,0,0.015581624429121518,0,0,0.0,1
38,10963,147,14,6,26,193,11,0,0.01728306617712904,0,0,0.0,1
39,10940,167,15,7,27,216,11,0,0.019342706187874988,1,1,0.9900990099009901,1
40,10921,171,17,10,37,235,11,0,0.02104414793588251,2,1,0.49751243781094534,1
41,10896,186,21,10,41,258,13,0,0.02310378794662846,3,2,0.6644518272425249,1
42,10868,199,23,13,49,284,15,0,0.025432076654428225,4,3,0.7481296758104738,1
43,10838,212,29,16,57,314,15,0,0.028118563624966418,5,4,0.7984031936127745,1
44,10791,246,24,24,67,361,15,0,0.032327393212142924,5,5,0.9980039920159681,1
45,10750,269,32,27,74,402,15,0,0.03599892540521178,6,6,0.9983361064891847,1
46,10699,304,35,31,82,452,16,0,0.04047640368944211,6,6,0.9983361064891847,1
47,10644,341,37,37,92,507,16,0,0.04540162980209546,7,6,0.8559201141226819,1
48,10609,353,42,41,104,540,18,0,0.04835676546968747,8,7,0.8739076154806492,1
49,10548,396,42,46,115,599,20,0,0.053640189845079254,9,8,0.8879023307436182,1
50,10496,432,41,49,123,645,26,0,0.05775946986657115,10,9,0.8991008991008991,1
51,10434,469,44,52,136,701,32,0,0.06277424554490911,11,10,0.9082652134423251,1
52,10377,493,47,58,154,752,38,0,0.06734127339482404,12,11,0.9159034138218152,1
53,10306,533,57,57,169,816,45,0,0.07307244559863885,13,11,0.8455034588777863,1
54,10242,550,72,65,185,872,53,0,0.0780872212769768,14,12,0.8565310492505354,1
55,10194,557,82,72,200,911,62,0,0.08157965433867646,16,14,0.8744534665833853,1
56,10126,584,97,75,214,970,71,0,0.08686307871406823,18,16,0.8883953359244863,1
57,10066,600,103,87,232,1022,79,0,0.09151965612966777,20,18,0.8995502248875562,1
58,10003,606,120,95,254,1075,89,0,0.09626578311095191,21,18,0.8567348881485006,1
59,9940,628,126,107,265,1126,101,0,0.10083281096086684,22,18,0.8178100863243979,1
60,9849,678,126,122,278,1204,114,0,0.10781767708426614,25,21,0.8396641343462614,1
61,9766,723,121,135,298,1277,124,0,0.11435479537924241,28,24,0.8568368439842913,1
62,9704,732,123,151,316,1322,141,0,0.1183845258350497,31,25,0.8061915511125443,1
63,9626,753,135,158,336,1382,159,0,0.12375749977612609,34,26,0.764481034989709,1
64,9551,775,129,169,360,1433,183,0,0.12832452762604102,38,27,0.7103393843725336,1
65,9457,821,139,174,369,1503,207,0,0.13459299722396345,41,28,0.6827603023652768,1
66,9373,846,153,197,372,1568,226,0,0.1404137189934629,45,31,0.6887358364807821,1
67,9285,873,156,217,399,1645,237,0,0.14730903555117758,49,35,0.7141399714344012,1
68,9208,880,150,244,427,1701,258,0,0.15232381122951555,54,39,0.7220885021292354,1
69,9102,921,161,248,444,1774,291,0,0.1588609295244918,59,44,0.7456363328249449,1
70,8996,957,169,259,470,1855,316,0,0.16611444434494493,64,48,0.7498828308076863,1
71,8892,990,182,262,498,1932,343,0,0.17300976090265963,70,53,0.7570347093272389,1
72,8794,1016,186,271,517,1990,383,0,0.1782036357123668,75,55,0.7332355685908545,1
73,8674,1062,192,296,524,2074,419,0,0.18572579922987373,81,60,0.7406493025552401,1
74,8559,1082,195,317,557,2151,457,0,0.19262111578758842,86,63,0.7324729682595047,1
75,8436,1129,195,332,585,2241,490,0,0.200680576699203,92,68,0.7390501032496467,1
76,8326,1140,219,341,618,2318,523,0,0.2075758932569177,97,70,0.7215750953509947,1
77,8210,1180,220,349,644,2393,564,0,0.21429211068326318,102,71,0.6960101950789138,1
78,8077,1227,240,353,656,2476,614,0,0.22172472463508552,108,74,0.6851217479862975,1
79,7936,1281,243,374,669,2567,664,0,0.2298737351123847,115,78,0.6782018954873489,1
80,7811,1313,235,404,691,2643,713,0,0.2366795021044148,121,82,0.6776299479381869,1
81,7682,1325,245,429,721,2720,765,0,0.2435748186621295,127,86,0.6771120384221715,1
82,7559,1363,249,443,733,2788,819,1,0.24966418912868274,135,89,0.6592104288571218,1
83,7438,1396,262,443,749,2850,878,1,0.2552162622011283,142,94,0.6619252165340469,1
84,7323,1403,284,452,768,2907,936,1,0.2603205874451509,149,99,0.6643849406080129,1
85,7201,1404,292,473,802,2971,994,1,0.2660517596489657,158,108,0.6835010442377065,1
86,7055,1435,302,480,842,3059,1051,2,0.2739321214292111,162,108,0.6666255169433986,1
87,6943,1450,306,498,854,3108,1114,2,0.2783200501477568,171,115,0.6724752938424654,1
88,6819,1466,300,539,870,3175,1171,2,0.28431987104862544,180,121,0.6721848786178546,1
89,6695,1459,326,544,896,3225,1245,2,0.2887973493328557,188,127,0.6754959842561566,1
90,6539,1504,335,558,921,3318,1308,2,0.29712545894152415,197,135,0.6852444038373687,1
91,6404,1514,332,583,953,3382,1379,2,0.30285663114533895,207,141,0.6811265156272645,1
92,6275,1520,345,595,977,3437,1453,2,0.3077818572579923,216,148,0.6851534651173558,1
93,6154,1518,347,627,1011,3503,1508,2,0.3136921285931763,224,152,0.6785411365564038,1
94,6025,1516,347,655,1024,3542,1598,2,0.31718456165487596,232,155,0.6680746519546572,1
95,5891,1517,351,685,1026,3579,1695,2,0.3204978955852064,240,159,0.662472396983459,1
96,5764,1519,351,698,1049,3617,1784,2,0.32390077908122145,248,166,0.6693278496834806,1
97,5620,1536,337,720,1079,3672,1873,2,0.32882600519387484,256,169,0.6601304636537636,1
98,5483,1536,345,740,1105,3726,1954,4,0.33366168174084354,267,174,0.6516609864799071,1
99,5341,1549,352,757,1123,3781,2040,5,0.33858690785349693,276,178,0.6449041701387631,1
100,5191,1578,340,785,1133,3836,2135,5,0.34351213396615027,285,183,0.64208273393916,1
101,5070,1575,341,777,1152,3845,2247,5,0.34431808005731174,296,193,0.6520049998310868,1
102,4929,1589,330,787,1167,3873,2360,5,0.3468254678964807,306,202,0.6601091467599098,1
103,4801,1584,350,787,1179,3900,2461,5,0.3492433061699651,316,209,0.6613714755862157,1
104,4691,1572,345,810,1174,3901,2570,5,0.3493328557356497,326,215,0.6594889727308978,1
105,4548,1611,344,804,1165,3924,2690,5,0.35139249574639564,334,217,0.6496811472710398,1
106,4398,1637,337,807,1193,3974,2790,5,0.3558699740306259,342,220,0.6432560451448788,1
107,4277,1605,361,803,1226,3995,2890,5,0.3577505149100027,350,224,0.6399817148081484,1
108,4163,1592,370,795,1236,3993,3006,5,0.3575714157786335,358,230,0.6424401553029245,1
109,4051,1563,376,803,1240,3982,3129,5,0.3565863705561028,366,232,0.6338624627742412,1
110,3934,1563,374,806,1249,3992,3235,6,0.35748186621294886,374,234,0.6256517205422315,1
111,3807,1578,351,814,1259,4002,3352,6,0.3583773618697949,382,237,0.62040260726159,1
112,3697,1549,364,800,1269,3982,3481,7,0.3565863705561028,389,240,0.6169507210611552,1
113,3571,1542,373,806,1262,3983,3605,8,0.3566759201217874,399,248,0.6215383073105938,1
114,3468,1533,359,809,1259,3960,3731,8,0.35461628011104146,408,254,0.622533761427416,1
115,3379,1505,333,826,1259,3923,3857,8,0.351302946180711,418,260,0.6219946891222699,1
116,3276,1480,345,821,1256,3902,3981,8,0.3494224053013343,428,268,0.6261535945421836,1
117,3189,1420,362,823,1276,3881,4089,8,0.34754186442195756,435,272,0.6252729822302936,1
118,3090,1401,352,837,1284,3874,4195,8,0.3469150174621653,443,275,0.620753481862712,1
119,2999,1375,361,839,1287,3862,4298,8,0.34584042267395004,452,280,0.6194553217849162,1
120,2887,1365,362,837,1291,3855,4417,8,0.3452135757141578,460,285,0.6195517488750245,1
121,2793,1331,364,835,1281,3811,4555,8,0.3412733948240351,469,291,0.620455853819748,1
122,2709,1311,362,845,1272,3790,4660,8,0.33939285394465835,479,294,0.6137658921525647,1
123,2607,1265,362,855,1291,3773,4777,10,0.33787051132802004,485,294,0.6061730685965238,1
124,2528,1213,372,841,1286,3712,4917,10,0.3324079878212591,495,299,0.6040282014504758,1
125,2441,1189,376,838,1283,3686,5029,11,0.3300796991134593,506,306,0.6047311317958143,1
126,2365,1171,360,839,1254,3624,5167,11,0.3245276260410137,516,311,0.6027014980329839,1
127,2298,1121,354,856,1257,3588,5270,11,0.3213038416763679,527,317,0.6015066127777462,1
128,2227,1100,335,844,1234,3513,5415,12,0.3145876242500224,536,321,0.598869424077909,1
129,2160,1071,316,834,1224,3445,5550,12,0.3084982537834691,547,327,0.5977952871062686,1
130,2099,1043,308,832,1198,3381,5675,12,0.3027670815796543,558,332,0.5949714162828623,1
131,2040,1006,294,849,1183,3332,5783,12,0.2983791528611086,565,334,0.591139979823366,1
132,1968,987,302,835,1155,3279,5908,12,0.2936330258798245,575,339,0.5895549642614911,1
133,1903,965,304,796,1144,3209,6043,12,0.28736455628190205,581,340,0.5851878625152751,1
