Codice provincia,Età,Totale
1,0,19613
1,1,19729
1,2,20256
1,3,20518
1,4,20268
1,5,20054
1,6,19892
1,7,19811
1,8,19969
1,9,19348
1,10,19096
1,11,19818
1,12,19231
1,13,19192
1,14,18934
1,15,18644
1,16,18371
1,17,18602
1,18,18709
1,19,19218
1,20,19630
1,21,19838
1,22,19773
1,23,20229
1,24,20250
1,25,20889
1,26,21854
1,27,22107
1,28,23077
1,29,24456
1,30,24666
1,31,25503
1,32,27029
1,33,28454
1,34,30346
1,35,31586
1,36,33764
1,37,35410
1,38,35191
1,39,36008
1,40,36610
1,41,36353
1,42,37233
1,43,36983
1,44,36818
1,45,36825
1,46,36562
1,47,36821
1,48,34736
1,49,33396
1,50,33171
1,51,31778
1,52,31574
1,53,30911
1,54,30738
1,55,30653
1,56,29732
1,57,29462
1,58,28349
1,59,28451
1,60,27967
1,61,29083
1,62,29714
1,63,31520
1,64,31091
1,65,30715
1,66,23882
1,67,25386
1,68,25341
1,69,25557
1,70,25517
1,71,28261
1,72,28104
1,73,27269
1,74,24873
1,75,23157
1,76,22974
1,77,21467
1,78,20312
1,79,19476
1,80,18748
2,0,1304
2,1,1357
2,2,1415
2,3,1390
2,4,1493
2,5,1408
2,6,1372
2,7,1354
2,8,1445
2,9,1422
2,10,1380
2,11,1428
2,12,1421
2,13,1440
2,14,1411
2,15,1415
2,16,1418
2,17,1472
2,18,1422
2,19,1459
2,20,1530
2,21,1590
2,22,1538
2,23,1612
2,24,1613
2,25,1604
2,26,1691
2,27,1755
2,28,1759
2,29,1904
2,30,1944
2,31,1895
2,32,1952
2,33,2163
2,34,2202
2,35,2321
2,36,2420
2,37,2435
2,38,2573
2,39,2669
2,40,2708
2,41,2639
2,42,2831
2,43,2753
2,44,2742
2,45,2900
2,46,2991
2,47,2951
2,48,2827
2,49,2750
2,50,2741
2,51,2671
2,52,2546
2,53,2525
2,54,2446
2,55,2476
2,56,2473
2,57,2327
2,58,2322
2,59,2350
2,60,2327
2,61,2395
2,62,2415
2,63,2540
2,64,2421
2,65,2336
2,66,1750
2,67,1922
2,68,1860
2,69,1909
2,70,1980
2,71,2280
2,72,2290
2,73,2179
2,74,2030
2,75,1902
2,76,2049
2,77,1858
2,78,1767
2,79,1810
2,80,1721
3,0,3284
3,1,3303
3,2,3370
3,3,3353
3,4,3507
3,5,3403
3,6,3311
3,7,3223
3,8,3236
3,9,3257
3,10,3166
3,11,3276
3,12,3181
3,13,3171
3,14,3181
3,15,3017
3,16,3109
3,17,3095
3,18,3090
3,19,3285
3,20,3209
3,21,3170
3,22,3354
3,23,3414
3,24,3463
3,25,3541
3,26,3476
3,27,3698
3,28,4018
3,29,4218
3,30,4445
3,31,4393
3,32,4571
3,33,4930
3,34,5187
3,35,5334
3,36,5685
3,37,5894
3,38,5850
3,39,5894
3,40,5972
3,41,5830
3,42,6202
3,43,6027
3,44,6034
3,45,6304
3,46,6176
3,47,6311
