1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
93731,6349,15712,25952,8625,15142,5469,7456,9731,30032,7826,39443,26533,7658,143049,51910,58085,21839,14882,17818,27198,25327,41655,38331,7494,39880,33659,40477,8475,19970,5157,8206,11877,19556,25323,31980,42874,12076,15837,17027,15346,19622,13210,8090,6963,14829,11814,41062,12638,17986,13629,10926,7857,27620,8301,12494,5807,195965,26071,20028,43445,10581,149316,16020,46975,12036,12549,13601,15292,8058,27257,52884,24379,15766,31012,13389,7724,28773,15209,24675,17360,59150,25227,18181,11538,6441,53069,14708,17510,11907,5670,20704,13588,3104,5050,6005,14799,10375,14600,11544,8057,6726,5673,6646,2203,3323,3914
103002,7063,17197,27566,9451,17185,6108,8418,11050,34112,8789,43051,29053,8217,154593,58679,66313,23944,16707,19902,27833,27196,46034,43307,8625,45193,38125,44850,9553,22557,5878,9204,12719,21093,28062,35009,45783,13888,18073,18653,16874,22236,14341,8831,7935,16970,13044,45598,14465,19423,15177,11845,9154,30609,9611,13834,6382,212322,27290,21572,49560,11975,169566,18502,51399,12374,13561,14939,16935,9014,30905,58461,27348,17834,35146,15362,8686,30950,15970,26839,19642,62794,27828,20843,13124,7582,56330,16019,19116,13583,6518,23241,15319,3260,5840,7021,16633,11364,16405,12875,9058,7634,6504,7522,2429,3783,4375
100093,6981,16460,26993,9518,16740,5860,8654,11418,34273,8758,41203,28010,8434,148081,57027,62776,23113,15890,18412,28457,27471,44246,43973,8947,44561,38191,43416,9078,22756,5982,9120,12222,19385,26497,32921,43623,13218,16916,17792,16659,21213,13907,8894,7888,16816,12668,45719,13980,18228,15070,11300,9035,29429,9422,13475,6424,201340,26493,21341,52778,13145,181368,20069,55305,12352,13902,14886,16749,9853,33787,62815,29191,18914,38327,16893,9610,32673,16930,27493,21815,65480,28883,23057,14711,8365,58729,16399,19937,14050,6964,23351,14358,3343,6308,7346,16268,10802,15485,12239,9532,8254,6761,6967,2496,3867,4575
99289,7431,16485,28228,9438,17033,5851,9219,11306,34811,8959,40764,28032,9009,142197,55887,61488,22970,16124,18389,29748,27835,43896,44105,9341,43889,38153,43573,9568,22602,5864,9286,12431,19170,25130,31599,41663,12802,16157,17006,16487,21177,14406,9806,7905,16567,12540,44510,13732,17670,14896,11293,9054,28697,9665,13656,7001,195997,27934,22856,54761,14678,188966,22124,59307,13123,14348,15000,17848,11097,36248,66990,30194,20495,40262,18440,10448,34425,18677,29984,24237,69136,30702,25449,15633,9297,61296,17490,20598,14736,7416,23379,14000,3868,6893,7540,16386,10460,15140,11474,10061,8855,6967,6770,2648,4208,5055
101357,7786,16922,28913,9654,18042,5708,9744,11517,36898,9292,41163,28124,8894,145718,54514,60994,24034,16501,18187,29723,27652,44078,43763,9426,42760,37698,43829,9880,22620,5917,10116,13047,20331,24892,32103,42115,13288,16485,17184,16867,21939,15371,10468,8530,17245,12620,44505,14180,18464,15703,11764,9578,30800,9975,15069,8109,208109,30947,26657,58838,16873,200815,24980,65502,15308,16324,16339,19266,12483,37962,71818,32699,22599,44341,20943,11318,40042,21268,33594,26345,77050,35529,26841,17716,10459,68287,19378,23032,16538,8329,26299,13805,4601,7758,7841,16281,10742,15193,11502,11373,9950,7102,7394,2898,4738,6010
112759,8254,18298,30663,10348,19430,6285,10141,12046,37725,10353,44233,30427,9163,168937,57894,65318,27365,18226,20543,29830,28630,48588,44221,9569,44005,40237,46698,11366,24541,6180,11017,14387,24031,26718,34875,48933,14721,17906,18998,18198,23192,16809,11140,9214,18193,14205,49893,15469,21205,17741,13347,10547,34436,11088,17160,8452,229079,34205,29301,59536,17327,198640,26445,69685,17478,17615,17141,21121,12848,38367,74158,33542,23539,44333,22373,12223,44828,22989,36168,25732,78502,38433,27341,17037,10357,70878,20787,24602,18220,8691,29811,15232,5202,8504,7593,16970,11997,16353,13600,12219,10491,7130,8795,3267,5358,6818
125324,9027,20790,32788,11166,21503,6765,10472,12890,40295,11305,50177,34418,9912,196956,64954,75047,30792,20383,23525,31665,30465,54611,47438,10309,48779,44222,52471,12779,28069,6670,11451,15592,27157,31208,39702,58949,17146,20324,21848,20061,26127,18178,11626,10462,20440,15877,56205,17098,24728,19365,15109,11322,38667,12268,19229,8866,265360,36612,31219,61594,16873,197997,26269,69922,18838,18860,18419,23068,13254,37357,76013,34304,23634,46183,22257,12263,45573,23038,35490,25413,78821,37866,26196,16160,9888,70891,21297,25468,19336,8862,34126,17776,5365,9389,8299,18404,13647,19341,15119,11493,10115,7670,10362,3279,5931,7409
147393,10515,25086,37420,13467,26334,8034,12159,15400,47501,13143,60037,41007,11293,224082,76746,87962,37244,24203,29329,33637,34461,63825,57302,11972,58849,54715,63664,16063,33494,8454,13501,18444,31334,38741,48427,69979,22052,26085,26939,24576,32434,21383,13317,12539,25218,19685,65669,21539,29782,22788,17585,13955,44290,14411,22018,10222,312049,40911,33879,66213,17718,211781,27642,73606,20490,20886,21346,26114,14400,41623,86375,40483,26821,55129,23423,13362,48393,24180,37509,27915,86037,41453,28467,17216,10303,76222,22687,27930,22903,10056,40298,21545,5524,10496,10476,21975,16460,23649,17905,11826,10446,9476,12516,3853,6680,8467
180873,12754,29799,44725,16492,32254,10041,15571,20790,63575,16615,71896,49604,13785,268790,90371,104236,44620,28241,34136,39772,41032,75058,70082,15771,72516,68977,76622,18761,41453,11374,17952,22579,36946,45671,58977,83099,27959,32216,32530,28629,37572,24233,15565,15102,31025,23472,81294,27040,35134,26932,20483,17213,50828,17483,25251,11630,369121,46809,36792,71471,19967,238390,30819,82548,22367,23655,25229,29371,16319,45677,96946,44223,29618,59737,26761,14740,51950,25489,39366,31955,93904,47227,31580,19063,11688,82683,24333,31057,27164,11332,48541,25242,6101,12017,13401,26633,19213,28344,20985,12466,11316,12476,14330,4257,7613,9480
187784,13809,30673,46761,17570,35342,10829,17468,23714,68889,18543,74225,50795,14915,273569,92960,105696,46297,29480,33860,43393,43253,77166,74605,17032,75870,72942,80884,19442,44481,11937,18824,23566,37516,44358,57734,83876,28934,32994,32340,29373,37664,24631,16559,15825,32618,23840,83915,27862,33866,27775,21647,17992,51280,18203,25735,12412,375851,46813,37697,72461,21797,238404,33333,85654,23077,25459,26445,30633,17466,47819,99218,43757,30536,62005,29378,15064,54575,27499,40397,33137,95215,48852,33943,20150,12705,84130,24195,30773,27394,12486,47872,25855,6416,12652,14740,28230,19824,28664,20860,12695,11874,13755,13890,4578,7913,9484
