"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0.46603,0.25096,0.12903,0.01412,0.01068,0.03636,0.33015,0.8229,0.52912,0.05141,0.02118,0.02225,0.03833,0.0354,0.00829,0.02837
"2",0.15019,0.44496,0.29774,0.06216,0.04052,0.03828,0.17998,0.46726,0.9905,0.26475,0.03405,0.04759,0.01847,0.0289,0.01592,0.05222
"3",0.07631,0.43894,2.24161,0.18949,0.08367,0.01962,0.04414,0.22432,0.64443,0.33763,0.17222,0.02291,0.0066,0.0189,0.05069,0.04178
"4",0.02739,0.10139,0.40334,2.26714,0.20157,0.04683,0.02074,0.06891,0.28821,0.68168,0.4838,0.06822,0.00287,0.00309,0.01366,0.01569
"5",0.0082,0.07418,0.06148,0.29381,1.14418,0.11811,0.01812,0,0.04166,0.54593,0.42929,0.25785,0.0392,0.00581,0.00954,0.05907
"6",0.00059,0.027,0.04099,0.0739,0.31466,1.3353,0.13107,0.02263,0.01698,0.12762,0.3504,0.32066,0.25027,0.03952,0.008,0.02019
"7",0.38212,0.29428,0.05162,0.0171,0.01272,0.23985,1.33014,0.17901,0.06357,0.01586,0.05791,0.15353,0.23802,0.07269,0.03243,0.03282
"8",0.56173,0.70198,0.25086,0.06537,0.00213,0.00189,0.13859,1.69919,0.27539,0.03079,0.0058,0.00449,0.11939,0.09514,0.02795,0.00309
"9",0.36534,0.44823,0.49104,0.24361,0.03436,0.00531,0.02863,0.15463,1.33161,0.11549,0.03074,0.01444,0.01552,0.02939,0.01459,0.0316
"10",0.03801,0.2872,0.2144,0.39392,0.22218,0.02486,0.00108,0.04195,0.14842,1.23164,0.16479,0.03818,0.00714,0.00157,0.0107,0.05931
"11",0.02043,0.04444,0.16679,0.38581,0.30681,0.04617,0.01736,0.00234,0.02806,0.1837,0.90905,0.1164,0.00257,0.0021,0.0052,0.10172
"12",0,0.03645,0.04722,0.0052,0.29767,0.21677,0.13812,0.00881,0.03039,0.09591,0.12126,1.06227,0.0652,0.02139,0.00468,0.07293
"13",0.13353,0.03573,0.02821,0.01768,0.08355,0.18589,0.26996,0.13774,0.04116,0.02538,0.04008,0.24028,0.81364,0.09452,0.00991,0.02464
"14",0.07922,0.0497,0.02916,0.01437,0.027,0.06797,0.46023,0.2483,0.07766,0.03496,0.03145,0.10216,0.25727,1.39087,0.07459,0.04388
"15",0.01386,0.04462,0.16375,0.06689,0.11389,0.03831,0.09247,0.26597,0.42566,0.16387,0.04785,0.03309,0.07475,0.08245,1.17764,0.1625
"16",0.1079,0.12996,0,0.25795,1e-05,0,0.00058,0.09922,0.30163,0.0918,0,0.66912,0.00192,0.03462,0.06458,0.00013
