"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0.6178,0.1575,0.07652,0.15274,0.18033,0.38682,0.3238,0.28075,0.32187,0.30193,0.28419,0.28639,0.21959,0.22897,0.23488,0.11416
"2",0.40287,1.54518,0.5436,0.04994,0.07331,0.14636,0.32227,0.53923,0.4617,0.0742,0.08755,0.06292,0.16993,0.16863,0.0991,0.00523
"3",0.07716,0.65775,2.98032,0.3548,0.42726,0.25399,0.30133,0.30772,0.59148,0.37002,0.27036,0.0571,0.10741,0.21658,0.10939,0.14703
"4",0.06286,0.23917,1.68693,4.27696,0.80697,0.47712,0.23639,0.22037,0.39406,0.38506,0.16135,0.02613,0.07884,0.01756,0.04767,0.03751
"5",0.0575,0.04693,0.13028,0.93296,3.65083,1.59287,0.87417,0.49283,0.40308,0.46185,0.47211,0.27152,0.17344,0.09834,0.1495,0.08848
"6",0.08057,0.10885,0.0843,0.60005,2.03694,2.42265,1.61549,0.76536,0.67754,0.60541,0.57896,0.19401,0.15107,0.03862,0.08101,0.00844
"7",0.2491,0.07212,0.34798,0.06915,0.62352,0.89072,1.44879,0.8736,0.63833,0.44541,0.5019,0.41364,0.26518,0.1284,0.13123,0.07024
"8",0.25189,0.18561,0.21887,0.18567,0.41091,0.98703,1.38471,1.31845,1.08949,0.63173,0.5258,0.43972,0.43242,0.46321,0.21854,0.11919
"9",0.36975,0.18473,0.22327,0.12521,0.53232,0.48776,0.85026,0.82026,0.94408,0.67568,0.5661,0.28634,0.34078,0.19942,0.25325,0.04755
"10",0.09792,0.13493,0.14938,0.16594,0.30466,0.27443,0.48087,0.59091,0.75013,0.32162,0.42218,0.31348,0.22147,0.1678,0.1156,0.1298
"11",0.07586,0.11455,0.28974,0.16791,0.29394,0.58752,0.51067,0.6286,0.58563,0.34112,0.36945,0.57299,0.47218,0.20453,0.23872,0.11192
"12",0.19191,0.17034,0.16625,0.14147,0.18689,0.72394,0.63998,0.70534,0.71972,0.56881,0.76817,0.76324,0.75311,0.33038,0.34031,0.12108
"13",0.0981,0.11119,0.11802,0.22692,0.42219,0.59629,0.5814,0.70029,0.78049,0.65864,0.5266,0.77627,0.6749,0.68004,0.50755,0.30343
"14",0.05911,0.09056,0,0.01368,0.22695,0.46679,0.71793,0.74796,0.68191,0.59659,0.66965,0.51198,0.63881,0.67559,0.30611,0.21912
"15",0.02707,0.04164,0.04138,0.10924,0.00027,0.32299,0.30999,0.25105,0.46996,0.38959,0.34414,0.39515,1.08097,1.27995,0.25048,0.08854
"16",0,1e-05,0,0.11679,0.08169,0.00017,0,0.14889,0.28765,0.94305,0.50446,0.50649,0.14934,1.60799,0.49074,0
