"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",5.11198,0.86306,0.05777,0,0.01127,0.1739,0.28949,0.26372,0.19537,0.47289,0.19598,0.28744,0.01245,0.01292,0,0
"2",1.7917,8.53606,0.16854,1e-04,0.07278,0.15346,0.34579,0.33108,0.36313,0.28216,0.31317,0.13773,0.07354,0.05648,0.00868,0
"3",0,2.08081,11.4172,0.19287,0.00895,0.2436,0.21186,0.38577,0.60034,0.60344,0.44717,0.28933,0.03909,0.04015,0,0
"4",0,0,3.11415,9.89499,0.17316,0.05996,0.10541,0.29441,0.34987,0.56118,0.35016,0.3389,0.11696,0.01683,0,0
"5",0.55353,0.03704,0,1.17408,1.05102,0.06041,3e-05,0.06064,0.03902,0.03719,0.06121,0.06173,0.01391,0.0138,0,0
"6",0.00454,0,0,0.00166,0.10424,0.01633,0.00745,0.00148,0.0045,0.00168,0,0.0044,0.00449,0.00449,0,0.00438
"7",0.0078,0.00776,0.07371,0.06161,0.04529,0.08013,0.02035,0.02053,0.01727,0.00782,0.00802,0.00172,0.00175,0.00177,0,0
"8",0.00867,0.0156,0.00854,0.00193,0,0.00877,0.01198,0.02253,0.03243,0.0052,0.00191,0.00195,0,0,0,0
"9",0.00356,0.04643,0.00617,0.09877,0,0.00592,0.00131,0.01309,0.02731,0.018,0.01785,0.00603,0.01307,0,0,0
"10",0.04653,0.05785,0.00577,0.09874,0,0.00786,0.0148,0.02605,0.01467,0.00339,0.01017,0.00798,0.00123,0,0,0
"11",0.01906,0.08785,0.16949,0.09873,0,0.00097,0.01003,0.00633,0.01176,0.02638,0.02094,0.01179,0.00458,0,0,0
"12",0.03774,0.14377,0.28189,0.00233,0,0.00673,0,0.00245,0.01574,0.02435,0.01552,0.01111,0.01113,0,0,0
"13",0.00718,0.00514,0.01333,0.06824,0.00514,0,0.00115,0.00117,0.00113,0.00114,0.00316,0.00312,0.00315,0.00113,0,0
"14",0.00019,0.00087,0.00019,0,0,0,0.00019,0,0.00019,0.00019,0,0.00053,0.00052,0.00086,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
