"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0.02165,0.21385,0.3883,0.21906,0.46309,0.32293,0.38581,0.26108,0.17478,0.07145,0.00355,0,0.00017
"6",0,0,0,0.00386,0.20501,0.91164,0.85154,0.69435,0.7775,0.50629,0.3144,0.35287,0.1073,0.00087,5e-04,0.00084
"7",0,0,0,0.01871,0.28423,0.64122,0.95502,0.80457,0.72442,0.32421,0.39899,0.17004,0.06036,0.00141,0,0
"8",0,0,0,0.04282,0.29158,0.54038,0.96516,1.75399,1.81545,1.07298,0.61559,0.4083,0.11347,0.00464,0.00124,0.00096
"9",0,0,0,0.02542,0.29422,0.69708,1.12234,0.91548,1.19742,1.02963,1.1211,0.33315,0.1647,0.00563,0.00098,0.00055
"10",0,0,0,0.08624,0.11592,0.37386,0.93639,0.87962,0.87255,0.71537,0.84494,0.46987,0.11983,0.00823,0.00195,0.00073
"11",0,0,0,0.08814,0.08383,0.51892,0.44311,0.95168,1.10484,0.86096,0.59059,0.47318,0.08272,0.00264,0.00034,8e-04
"12",0,0,0,0.00181,0.07261,0.23633,0.55936,0.61257,0.88067,0.70279,0.86833,0.70275,0.2274,0.01485,0.00024,0.00022
"13",0,0,0,0.00106,0.01803,0.24576,0.21181,0.5175,0.59896,0.8344,0.44074,0.35316,0.07734,0.00839,0.00036,0.00179
"14",0,0,0,0,0.00188,0.00265,0.02408,0.00314,0.01407,0.02486,0.03445,0.00731,0.00758,0.00148,0.00032,4e-05
"15",0,0,0,7e-05,0,0.00273,0.00191,0.00196,0.00072,0.00446,7e-04,0.00394,4e-04,4e-05,0,4e-05
"16",0,0,0,0,0.00518,0,0,0,0,0.00836,0,0,0,0,0,0
