"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",6.1958,1.27152,0.26332,0.16686,0.20228,0.59708,0.94344,1.36737,1.04636,0.82623,0.50135,0.59608,0.27037,0.27729,0.24317,0.14253
"2",2.34476,10.52621,1.00988,0.1122,0.18661,0.3381,0.84804,1.33757,1.81533,0.62112,0.43477,0.24824,0.26194,0.25401,0.1237,0.05745
"3",0.15347,3.1775,16.63914,0.73716,0.51988,0.51721,0.55733,0.91781,1.83625,1.31109,0.88975,0.36934,0.1531,0.27563,0.16008,0.18881
"4",0.09025,0.34056,5.20442,16.43909,1.1817,0.58391,0.36254,0.58369,1.03214,1.62792,0.99531,0.43325,0.19867,0.03748,0.06133,0.0532
"5",0.61414,0.15781,0.19176,2.40625,5.99631,2.11764,1.08798,0.96652,0.77182,1.38922,1.19524,0.74665,0.29024,0.12099,0.15904,0.1477
"6",0.08522,0.13585,0.12529,0.67889,2.62804,4.74491,2.66146,1.52989,1.52781,1.27454,1.26469,0.89497,0.51981,0.08308,0.08953,0.03341
"7",0.63781,0.37296,0.4619,0.15503,0.92838,1.88221,3.81473,1.9281,1.48914,0.81367,0.99214,0.74999,0.56906,0.2041,0.16366,0.10306
"8",0.82095,0.90077,0.47695,0.29092,0.67346,1.57269,2.56283,4.90745,3.32861,1.81133,1.18978,0.88134,0.67283,0.5633,0.24778,0.12328
"9",0.73818,0.67324,0.71966,0.4772,0.82946,1.2417,2.07709,1.96268,3.57652,1.90496,1.80806,0.66134,0.5433,0.23481,0.26886,0.07972
"10",0.17629,0.47231,0.36878,0.72253,0.63038,0.70486,1.49351,1.59364,1.84192,2.3192,1.49698,0.85974,0.35747,0.17815,0.12832,0.18986
"11",0.11368,0.23917,0.61123,0.72256,0.67562,1.18804,1.0098,1.65175,1.80282,1.46717,1.92752,1.20484,0.56715,0.20945,0.24427,0.21447
"12",0.22636,0.33802,0.47076,0.15042,0.54942,1.19891,1.37471,1.36974,1.70377,1.43653,1.82974,2.58519,1.071,0.36761,0.34524,0.19424
"13",0.23818,0.15161,0.15839,0.30783,0.52655,1.0443,1.07832,1.39105,1.46152,1.57501,1.03964,1.39607,1.57391,0.78454,0.51784,0.32991
"14",0.13851,0.14105,0.02933,0.02805,0.25563,0.53759,1.20401,0.99961,0.77474,0.65824,0.73785,0.62242,0.90464,2.06883,0.38103,0.26304
"15",0.04093,0.08626,0.20513,0.17619,0.11416,0.36412,0.40443,0.51905,0.89636,0.55806,0.39271,0.43231,1.15613,1.36244,1.42812,0.25108
"16",0.1079,0.12997,0,0.37474,0.08618,0.00017,0.00058,0.24811,0.58928,1.04349,0.50446,1.17561,0.15126,1.64261,0.55532,0.00013
