"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",5.11197,0.86306,0.05777,0,0.01127,0.1739,0.28949,0.26372,0.19537,0.47289,0.19598,0.28744,0.01245,0.01292,0,0
"2",1.7917,8.53607,0.16854,1e-04,0.07278,0.15346,0.34579,0.33108,0.36313,0.28217,0.31317,0.13773,0.07354,0.05648,0.00868,0
"3",0,2.08081,11.41721,0.19287,0.00895,0.2436,0.21186,0.38577,0.60034,0.60344,0.44717,0.28933,0.03909,0.04015,0,0
"4",0,0,3.11415,9.89499,0.17316,0.05996,0.10541,0.29441,0.34987,0.56118,0.35016,0.3389,0.11696,0.01683,0,0
"5",0.54844,0.0367,0,1.16329,1.04136,0.05985,3e-05,0.06008,0.03866,0.03685,0.06065,0.06117,0.01378,0.01367,0,0
"6",0.00406,0,0,0.00149,0.09334,0.01462,0.00667,0.00132,0.00403,0.00151,0,0.00394,0.00402,0.00402,0,0.00392
"7",0.00659,0.00656,0.0623,0.05207,0.03828,0.06773,0.0172,0.01736,0.0146,0.00661,0.00678,0.00146,0.00148,0.0015,0,0
"8",0.00733,0.01318,0.00722,0.00163,0,0.00741,0.01012,0.01905,0.02741,0.0044,0.00161,0.00165,0,0,0,0
"9",0.00309,0.04028,0.00535,0.08568,0,0.00514,0.00113,0.01136,0.02369,0.01561,0.01548,0.00523,0.01134,0,0,0
"10",0.04036,0.05018,0.005,0.08565,0,0.00682,0.01283,0.02259,0.01273,0.00294,0.00882,0.00692,0.00106,0,0,0
"11",0.01739,0.08018,0.1547,0.09012,0,0.00089,0.00916,0.00577,0.01073,0.02407,0.01911,0.01076,0.00418,0,0,0
"12",0.03445,0.13123,0.25729,0.00213,0,0.00614,0,0.00223,0.01436,0.02223,0.01417,0.01014,0.01015,0,0,0
"13",0.00655,0.00469,0.01216,0.06228,0.0047,0,0.00105,0.00107,0.00103,0.00104,0.00288,0.00285,0.00288,0.00103,0,0
"14",0.00018,0.00079,0.00017,0,0,0,0.00017,0,0.00017,0.00018,0,0.00048,0.00048,0.00079,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
