Date,Total Cases,Deaths,Recovered
"Feb 19, 2020",3,0,0
"Feb 20, 2020",4,0,0
"Feb 21, 2020",21,1,1
"Feb 22, 2020",79,2,1
"Feb 23, 2020",157,3,1
"Feb 24, 2020",229,7,1
"Feb 25, 2020",322,10,1
"Feb 26, 2020",400,12,3
"Feb 27, 2020",650,17,45
"Feb 28, 2020",888,21,46
"Feb 29, 2020",1128,29,50
"Mar 1, 2020",1694,34,83
"Mar 2, 2020",2036,52,149
"Mar 3, 2020",2502,79,160
"Mar 4, 2020",3089,107,276
"Mar 5, 2020",3858,148,414
"Mar 6, 2020",4636,197,523
"Mar 7, 2020",5883,233,589
"Mar 8, 2020",7375,366,622
"Mar 9, 2020",9172,463,724
"Mar 10, 2020",10149,631,1004
"Mar 11, 2020",12462,827,1045
"Mar 12, 2020",15113,1016,1258
"Mar 13, 2020",17660,1266,1439
"Mar 14, 2020",21157,1441,1966
"Mar 15, 2020",24747,1809,2335
"Mar 16, 2020",27980,2158,2749
"Mar 17, 2020",31506,2503,2941
"Mar 18, 2020",35713,2978,4025
"Mar 19, 2020",41035,3405,4440
"Mar 20, 2020",47021,4032,5129
"Mar 21, 2020",53578,4825,6072
"Mar 22, 2020",59138,5476,7024
"Mar 23, 2020",63927,6077,7432
"Mar 24, 2020",69176,6820,8326
"Mar 25, 2020",74386,7503,9362
"Mar 26, 2020",80539,8165,10361
"Mar 27, 2020",86498,9134,10950
"Mar 28, 2020",92472,10023,12384
"Mar 29, 2020",97689,10779,13030
"Mar 30, 2020",101739,11591,14620
"Mar 31, 2020",105792,12428,15729
"Apr 1, 2020",110574,13155,16847
"Apr 2, 2020",115242,13915,18278
"Apr 3, 2020",119827,14681,19758
"Apr 4, 2020",124632,15362,20996
"Apr 5, 2020",128948,15887,21815
"Apr 6, 2020",132547,16523,22837
"Apr 7, 2020",135586,17127,24392
"Apr 8, 2020",139422,17669,26491
"Apr 9, 2020",143626,18279,28470
"Apr 10, 2020",147577,18849,30455
"Apr 11, 2020",152271,19468,32534
"Apr 12, 2020",156363,19899,34211
"Apr 13, 2020",159516,20465,35435
"Apr 14, 2020",162488,21067,37130
"Apr 15, 2020",165155,21645,38092
"Apr 16, 2020",168941,22170,40164
"Apr 17, 2020",172434,22745,42727
"Apr 18, 2020",175925,23227,44927
"Apr 19, 2020",178972,23660,47055
"Apr 20, 2020",181228,24114,48877
"Apr 21, 2020",183957,24648,51600
"Apr 22, 2020",187327,25085,54543
"Apr 23, 2020",189973,25549,57576
"Apr 24, 2020",192994,25969,60498
"Apr 25, 2020",195351,26384,63120
"Apr 26, 2020",197675,26644,64928
"Apr 27, 2020",199414,26977,66624
"Apr 28, 2020",201505,27359,68941
"Apr 29, 2020",203591,27682,71252
"Apr 30, 2020",205463,27967,75945
"May 1, 2020",207428,28236,78249
"May 2, 2020",209328,28710,79914
"May 3, 2020",210717,28884,81654
"May 4, 2020",211938,29079,82879
"May 5, 2020",213013,29315,85231
"May 6, 2020",214457,29684,93245
"May 7, 2020",215858,29958,96276
"May 8, 2020",217185,30201,99023
"May 9, 2020",218268,30395,103031
"May 10, 2020",219070,30560,105186
"May 11, 2020",219814,30739,106587
"May 12, 2020",221216,30911,109039
"May 13, 2020",222104,31106,112541
"May 14, 2020",223096,31368,115288
"May 15, 2020",223885,31610,120205
"May 16, 2020",224760,31763,122810
"May 17, 2020",225435,31908,125176
"May 18, 2020",225886,32007,127326
"May 19, 2020",226699,32169,129401
"May 20, 2020",227364,32330,132282
"May 21, 2020",228006,32486,134560
"May 22, 2020",228658,32616,136720
"May 23, 2020",229327,32735,138840
"May 24, 2020",229858,32785,140479
"May 25, 2020",230158,32877,141981
"May 26, 2020",230555,32955,144658
"May 27, 2020",231139,33072,147101
"May 28, 2020",231732,33142,150604
"May 29, 2020",232248,33229,152844
"May 30, 2020",232664,33340,155633
"May 31, 2020",233019,33415,157507
"Jun 1, 2020",233197,33475,158355
"Jun 2, 2020",233515,33530,160092
"Jun 3, 2020",233836,33601,160938
"Jun 4, 2020",234013,33689,161895
"Jun 5, 2020",234531,33774,163781
"Jun 6, 2020",234801,33846,165078
"Jun 7, 2020",234998,33899,165837
"Jun 8, 2020",235278,33964,166584
"Jun 9, 2020",235561,34043,168646
"Jun 10, 2020",235763,34114,169939
"Jun 11, 2020",236142,34167,171338
"Jun 12, 2020",236305,34223,173085
"Jun 13, 2020",236651,34301,174865
"Jun 14, 2020",236989,34345,176370
"Jun 15, 2020",237290,34371,177010
"Jun 16, 2020",237500,34405,178526
"Jun 17, 2020",237828,34448,179455
"Jun 18, 2020",238159,34514,180544
"Jun 19, 2020",238011,34561,181907
"Jun 20, 2020",238275,34610,182453
"Jun 21, 2020",238499,34634,182893
"Jun 22, 2020",238720,34657,183426
"Jun 23, 2020",238833,34675,184585
"Jun 24, 2020",239410,34644,186111
"Jun 25, 2020",239706,34678,186725
"Jun 26, 2020",239961,34708,187615
"Jun 27, 2020",240136,34716,188584
"Jun 28, 2020",240310,34738,188891
"Jun 29, 2020",240436,34744,189196
"Jun 30, 2020",240578,34767,190248
"Jul 1, 2020",240760,34788,190717
"Jul 2, 2020",240961,34818,191083
"Jul 3, 2020",241184,34833,191467
"Jul 4, 2020",241419,34854,191944
"Jul 5, 2020",241611,34861,192108
"Jul 6, 2020",241819,34869,192241
"Jul 7, 2020",241956,34899,192815
"Jul 8, 2020",242149,34914,193640
"Jul 9, 2020",242363,34926,193978
"Jul 10, 2020",242639,34938,194273
"Jul 11, 2020",242827,34945,194579
"Jul 12, 2020",243061,34954,194928
"Jul 13, 2020",243230,34967,195106
"Jul 14, 2020",243344,34984,195441
"Jul 15, 2020",243506,34997,196016
"Jul 16, 2020",243736,35017,196246
"Jul 17, 2020",243967,35028,196483
"Jul 18, 2020",244216,35042,196806
"Jul 19, 2020",244434,35045,196949
"Jul 20, 2020",244624,35058,197162
"Jul 21, 2020",244752,35073,197431
"Jul 22, 2020",245032,35082,197628
"Jul 23, 2020",245338,35092,197842
"Jul 24, 2020",245590,35097,198192
"Jul 25, 2020",245864,35102,198320
"Jul 26, 2020",246118,35107,198446
"Jul 27, 2020",246286,35112,198593
"Jul 28, 2020",246488,35123,198756
"Jul 29, 2020",246776,35129,199031
"Jul 30, 2020",247158,35132,199796
"Jul 31, 2020",247537,35141,199974
"Aug 1, 2020",247832,35146,200229
"Aug 2, 2020",248070,35154,200460
"Aug 3, 2020",248229,35166,200589
"Aug 4, 2020",248419,35171,200766
"Aug 5, 2020",248803,35181,200976
"Aug 6, 2020",249204,35187,201323
"Aug 7, 2020",249756,35190,201642
"Aug 8, 2020",250103,35203,201947
"Aug 9, 2020",250566,35205,202098
"Aug 10, 2020",250825,35209,202248
"Aug 11, 2020",251237,35215,202461
"Aug 12, 2020",251713,35225,202697
"Aug 13, 2020",252235,35231,202923
"Aug 14, 2020",252809,35234,203326
"Aug 15, 2020",253438,35392,203640
"Aug 16, 2020",253915,35396,203786
"Aug 17, 2020",254235,35400,203968
"Aug 18, 2020",254636,35405,204142
"Aug 19, 2020",255278,35412,204506
"Aug 20, 2020",256118,35418,204686
"Aug 21, 2020",257065,35427,204960
"Aug 22, 2020",258136,35430,205203
"Aug 23, 2020",259345,35437,205470
"Aug 24, 2020",260298,35441,205662
"Aug 25, 2020",261174,35445,206015
"Aug 26, 2020",262540,35458,206329
"Aug 27, 2020",263949,35463,206554
"Aug 28, 2020",265409,35472,206902
"Aug 29, 2020",266853,35473,207224
"Aug 30, 2020",268218,35477,207536
"Aug 31, 2020",269214,35483,207653
"Sep 1, 2020",270189,35491,207944
"Sep 2, 2020",271515,35497,208201
"Sep 3, 2020",272912,35507,208490
"Sep 4, 2020",274644,35518,209027
"Sep 5, 2020",276337,35533,209610
"Sep 6, 2020",277634,35541,210015
