code,x,y
1.0,377216.922481713,5000174.118176652 
2.0,438311.2075191472,5041479.978089081 
3.0,465200.1353045395,5045628.19263874 
4.0,387693.8267225758,4925820.507902818 
5.0,435743.39139901864,4969641.274943878 
6.0,473418.07522887376,4963910.50196325 
7.0,374503.74385673454,5065346.148559709 
8.0,404300.80515644135,4866604.95753401 
9.0,443302.30251665117,4903357.417042556 
10.0,509707.3419299772,4923818.279498858 
11.0,558408.7825341694,4897328.7195753325 
12.0,482606.67163134384,5072360.763954894 
13.0,511816.2372912236,5086123.909069941 
14.0,570197.0880353841,5127477.945490663 
15.0,509588.68371708563,5034235.814409236 
16.0,561215.0925376567,5071719.366827104 
17.0,602086.6339225173,5061648.034447076 
18.0,502927.0386412761,4995018.211423272 
19.0,578159.9802274199,5007787.126632182 
20.0,638617.1168744692,4998295.465713168 
21.0,684664.441660112,5174303.822277785 
22.0,663764.5650465823,5111212.952681193 
23.0,659356.7492409665,5031248.917187848 
24.0,693994.1489649983,5060766.8972589085 
26.0,750081.3889358205,5076252.665822233 
27.0,769983.4076148372,5044979.75174719 
28.0,719932.9077110809,5025548.779134616 
30.0,820221.6706259621,5127292.928955998 
31.0,847727.1629572136,5086064.703729683 
33.0,548980.1329050288,4968374.637658632 
34.0,582964.0517135349,4946787.170265837 
35.0,623076.1900585889,4940287.757884517 
36.0,650281.8719283553,4933142.3094583675 
37.0,686832.0921914214,4922378.220939878 
38.0,725292.9253009944,4963397.621224253 
39.0,738737.4203693116,4917482.415183177 
40.0,743368.3057234866,4880457.5380853405 
41.0,795925.0101747505,4845108.2808480635 
42.0,835906.396308334,4825162.221533463 
43.0,844477.3216296379,4790562.596421871 
44.0,871954.0014710657,4758447.3487688145 
45.0,580711.4116866221,4900692.994121453 
46.0,615186.9267816001,4873432.916503912 
47.0,648326.3978739082,4869949.314061716 
48.0,684205.5798456961,4854121.4796476485 
49.0,620245.2861172033,4777892.518073862 
50.0,634809.4978846329,4817891.396991039 
51.0,730827.6302760404,4824014.408831907 
53.0,683625.9480406094,4739665.9292453285 
54.0,787628.0711117467,4774190.463620571 
55.0,775998.4505190772,4729042.099756109 
56.0,746418.5023908135,4701195.840836692 
58.0,796216.4470202479,4647405.701191757 
60.0,877998.3274772314,4616986.243879354 
61.0,932686.7002689344,4575728.804127499 
62.0,982023.3069205998,4581368.745251892 
63.0,950404.1952057926,4535215.332850578 
64.0,1011575.5924103035,4553987.291844879 
65.0,1028620.150297508,4495362.606316386 
66.0,880642.1681619129,4671551.000517906 
67.0,887497.3109210631,4732265.998628888 
68.0,910657.1120393376,4698676.411987866 
69.0,945128.5502842909,4674925.794231411 
70.0,980697.6149901124,4632874.071343276 
71.0,1047390.5053885657,4619266.806224034 
72.0,1152900.6318644693,4560153.842158512 
73.0,1194970.6789516718,4520353.61454686 
74.0,1235694.5578015144,4531848.904444095 
75.0,1281994.484722207,4487530.987875306 
76.0,1084012.4572798335,4507728.83986884 
78.0,1129376.0996717697,4405085.14222371 
79.0,1149941.0525699512,4331972.67850502 
80.0,1115675.5564761353,4255771.939964836 
81.0,826250.5998949496,4191265.642774833 
82.0,903565.4708291217,4201295.951328899 
83.0,1021687.2316965467,4226839.277803822 
84.0,899021.6078948618,4152094.418496341 
87.0,1015353.6511788281,4167660.6637780564 
89.0,1036256.4596454175,4120288.288518459 
90.0,496901.6591845715,4510621.216046355 
96.0,429385.3455674138,5048031.772555478 
97.0,529907.5997548894,5083441.436103994 
98.0,545520.4326879303,5008788.848769655 
99.0,776254.7509246627,4870006.266002103 
103.0,449159.4027137217,5104219.2573428275 
108.0,521083.6676816487,5053148.299603989 
109.0,872453.2106423259,4781994.882649186 
93.0,784552.9395235036,5112658.71835289 
59.0,846399.4168976236,4594667.312230392 
29.0,730590.6674750997,4988335.914564449 
32.0,871023.011252439,5070746.344262434 
111.0,495220.63141497655,4364316.856789571 
52.0,699659.8739505925,4784940.535466091 
100.0,667950.2378151875,4868616.805075056 
85.0,949475.7994711997,4146481.681690112 
92.0,509255.4318029862,4339776.855528549 
102.0,1123783.6451618343,4299573.698821055 
110.0,1101743.219962638,4582798.734770944 
25.0,743233.814109465,5133243.433659547 
88.0,1006467.8799407956,4099731.849057492 
95.0,475834.71486016357,4426604.306561263 
77.0,1131515.036798046,4506499.255995681 
86.0,979587.9723630344,4173185.1921231835 
101.0,1186832.9576686297,4366656.091336188 
94.0,937202.4252591394,4624174.067389293 
57.0,826056.664634829,4699159.624540126 
91.0,531425.716811838,4447936.214412763
