,2020-01-18,Origin,Destination
0,0.9276,1,1
1,0.006,1,2
2,0.002,1,3
3,0.0275,1,4
4,0.0095,1,5
5,0.0035,1,6
6,0.0095,1,7
7,0.0005,1,8
8,0.0025,1,9
9,0.001,1,10
10,0.0,1,11
11,0.0,1,12
12,0.0005,1,13
13,0.0,1,14
14,0.002,1,15
15,0.0,1,16
16,0.0,1,17
17,0.0,1,18
18,0.0,1,19
19,0.0,1,20
20,0.0,1,21
21,0.0,1,22
22,0.0,1,23
23,0.0,1,24
24,0.0,1,26
25,0.0,1,27
26,0.0,1,28
27,0.0,1,30
28,0.0,1,31
29,0.0,1,33
30,0.0,1,34
31,0.0005,1,35
32,0.0,1,36
33,0.0,1,37
34,0.0,1,38
35,0.0,1,39
36,0.0,1,40
37,0.0,1,41
38,0.0,1,42
39,0.0,1,43
40,0.0,1,44
41,0.0,1,45
42,0.0,1,46
43,0.0,1,47
44,0.0,1,48
45,0.0,1,49
46,0.0,1,50
47,0.0,1,51
48,0.0,1,53
49,0.0,1,54
50,0.0,1,55
51,0.0,1,56
52,0.0,1,58
53,0.0,1,60
54,0.0,1,61
55,0.0,1,62
56,0.0,1,63
57,0.0,1,64
58,0.0,1,65
59,0.0,1,66
60,0.0,1,67
61,0.0,1,68
62,0.0,1,69
63,0.0,1,70
64,0.0,1,71
65,0.0,1,72
66,0.0,1,73
67,0.0,1,74
68,0.0,1,75
69,0.0,1,76
70,0.0,1,78
71,0.0,1,79
72,0.0,1,80
73,0.0,1,81
74,0.0,1,82
75,0.0,1,83
76,0.0,1,84
77,0.0,1,87
78,0.0,1,89
79,0.0,1,90
80,0.006,1,96
81,0.0005,1,97
82,0.0,1,98
83,0.0,1,99
84,0.0005,1,103
85,0.0005,1,108
86,0.0,1,109
87,0.0732,2,1
88,0.6683,2,2
89,0.1171,2,3
90,0.0,2,4
91,0.0049,2,5
92,0.0244,2,6
93,0.0,2,7
94,0.0,2,8
95,0.0,2,9
96,0.0,2,10
97,0.0,2,12
98,0.0049,2,13
99,0.0,2,14
100,0.0049,2,15
101,0.0,2,16
102,0.0,2,17
103,0.0146,2,18
104,0.0,2,19
105,0.0,2,20
106,0.0,2,23
107,0.0,2,24
108,0.0,2,26
109,0.0,2,28
110,0.0,2,30
111,0.0,2,33
112,0.0,2,34
113,0.0,2,36
114,0.0,2,37
115,0.0,2,38
116,0.0,2,45
117,0.0,2,48
118,0.0,2,49
119,0.0,2,65
120,0.0,2,70
