evid_id,even_id,sent_id,doc_url,crawl_id,crawl_date,text,citation_url,anno_provided_url,fine_grained_location,type,country,date,value,restriction,source_type
c8afbf36-bbba-4653-afce-305517d61a83,9a6e4c4a-c4d7-11ea-81dc-eeee0af715ab,15e82686-c116-11ea-ac12-069b8ffc8dc8_7,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Italy&oldid=966498017,2020-07-08_4fa144b8-c114-11ea-9085-069b8ffc8dc8,2020-07-08,"The Italian Basketball Federation suspended all of its championship games, including Lega Basket Serie A.Istituto Tecnico Economico Enrico Tosi in Varese, Istituto Comprensivo di Pianoro in Bologna and Liceo Attilio Bertolucci in Parma conducted lessons for students online while waiting for the schools to reopen.",https://www.raisport.rai.it/articoli/2020/02/basket-A-A2-maschile-femminile-6592d551-065e-4245-931a-488e53809874.html|https://parma.repubblica.it/cronaca/2020/02/26/news/coronavirus_confinati_si_isolati_no_il_racconto_dei_liceali_di_parma_dalle_loro_camere-249616316/,,ITA,entertainment/cultural sector closure,ITA,2020-02-01,"Museums, theaters, cinema, libraries, festivities",1,O
da9dcd34-91e9-48ab-be5e-8e08008540f0,786bbf96-c4d8-11ea-ac90-eeee0af510b7,15e82686-c116-11ea-ac12-069b8ffc8dc8_10,https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Italy&oldid=966498017,2020-07-08_4fa144b8-c114-11ea-9085-069b8ffc8dc8,2020-07-08,"On 13 May, Education Minister Lucia Azzolina announced schools would remain closed until September.",,,ITA,school closure,ITA,2020-05-13,na,1,W
55851da1-04b9-4753-950d-9d4b1134a15a,a7495c9c-fc8c-45b0-a09c-3f2b85e29465,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_463,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"After the first outbreak in Lombardy and Veneto, the regional governments of Emilia-Romagna, Friuli Venezia Giulia, Liguria, Lombardy, Piedmont, Trentino, and Veneto closed all schools and universities from 23 February to 1 March.",http://www.today.it/attualita/scuole-chiuse-coronavirus-dove-quando.html,,Lombardy|Veneto|Emilia-Romagna|Friuli Venezia Giulia|Liguria|Lombardy|Piedmont|Trentino|Veneto,entertainment/cultural sector closure,ITA,2020-02-23,"Bars, restaurants, night clubs",1,O
ea195879-50d8-445f-a9ab-875803efb51c,a7495c9c-fc8c-45b0-a09c-3f2b85e29465,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_157,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"Universities in Lombardy, Veneto, Trentino Alto-Adige, Piedmont and Emilia-Romagna suspended all activities from 23 February until 1 March.",https://magazine.unibo.it/archivio/2020/coronavirus-sospensione-attivita-didattica-e-misure-precauzionali-contro-la-diffusione-dell2019infezione,,Lombardy|Veneto|Trentino Alto-Adige|Piedmont|Emilia-Romagna,entertainment/cultural sector closure,ITA,2020-02-23,"Bars, restaurants, night clubs",1,O
9d14d785-91c9-473f-9450-29b9fd5a513b,6195e2f6-32d2-4d32-8001-5dea07f11198,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_178,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"Multiple regions in Italy such as Liguria, Trentino Alto Adige, Friuli Venezia Giulia, Abruzzo and Marche decided to close all schools and universities for two days to a week.",,,Italy|Liguria|Trentino Alto Adige|Friuli Venezia Giulia|Abruzzo|Marche,school closure,ITA,2020-02-24,Universities closed,1,W
4b30ee7a-5bd5-4035-878e-f8b061da4a5d,33c914bc-a553-4eec-838a-6bda9c109c1e,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_134,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"Two days later, the government extended the lockdown measures to the whole country.",,,,confinement,ITA,2020-03-10,na,1,W
17a234df-7fc8-404d-83b6-8329fed5e460,340f17cf-dcf8-4f33-925a-5eb1fbbbbe59,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_159,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"The following week, six Serie A matches were initially to be played behind closed doors, but all were later suspended, as were two Coppa Italia matches.",https://www.football-italia.net/150715/official-sampdoria-verona|https://www.football-italia.net/150804/official-napoli-inter-postponed,,Serie A|Coppa Italia,entertainment/cultural sector closure,ITA,2020-02-22,na,1,O
ff53fca8-f5b7-438a-b193-916ea40e7987,413e610a-1e75-4ba2-b9b9-9acc5c17060d,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_168,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"Streets, parks and train stations in multiple cities in Lombardy were left deserted.",https://www.tgcom24.mediaset.it/cronaca/lombardia/foto/coronavirus-milano-deserta-mezzi-pubblici-vuoti-e-mercati-abbandonati_15301555-2020.shtml,,Lombardy,entertainment/cultural sector closure,ITA,2020-05-10,Parks and public gardens,1,O
d403436b-bf00-4e31-9da1-e84d037e5e11,d0fb4ca1-ac50-459a-b34d-455d8352d922,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_311,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"The European Parliament's Director General for Personnel, Kristian Knudsen, requested that staff who had travelled to areas affected by the COVID-19 outbreak, including parts of Italy, China, Singapore and South Korea, to self-quarantine and work from home for 14 days.",https://www.repubblica.it/cronaca/2020/02/26/news/conoravirus_bruxelles_bartolo-249655095/,,The European Parliament'S|Italy|China|Singapore|South Korea,introduction of travel quarantine policies,ITA,2020-02-24,KOR,1,O
30467ee8-f5a5-459c-8d4d-4a9bc0e7a34d,0da4a965-f6b1-4c10-9ce9-7c013d352230,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_311,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"The European Parliament's Director General for Personnel, Kristian Knudsen, requested that staff who had travelled to areas affected by the COVID-19 outbreak, including parts of Italy, China, Singapore and South Korea, to self-quarantine and work from home for 14 days.",https://www.repubblica.it/cronaca/2020/02/26/news/conoravirus_bruxelles_bartolo-249655095/,,The European Parliament'S|Italy|China|Singapore|South Korea,introduction of travel quarantine policies,ITA,2020-02-24,SGP,1,O
