Entity,Code,Date,Stringency Index (OxBSG)
Italy,ITA,2020-01-01,0.0
Italy,ITA,2020-01-02,0.0
Italy,ITA,2020-01-03,0.0
Italy,ITA,2020-01-04,0.0
Italy,ITA,2020-01-05,0.0
Italy,ITA,2020-01-06,0.0
Italy,ITA,2020-01-07,0.0
Italy,ITA,2020-01-08,0.0
Italy,ITA,2020-01-09,0.0
Italy,ITA,2020-01-10,0.0
Italy,ITA,2020-01-11,0.0
Italy,ITA,2020-01-12,0.0
Italy,ITA,2020-01-13,0.0
Italy,ITA,2020-01-14,0.0
Italy,ITA,2020-01-15,0.0
Italy,ITA,2020-01-16,0.0
Italy,ITA,2020-01-17,0.0
Italy,ITA,2020-01-18,0.0
Italy,ITA,2020-01-19,0.0
Italy,ITA,2020-01-20,0.0
Italy,ITA,2020-01-21,0.0
Italy,ITA,2020-01-22,0.0
Italy,ITA,2020-01-23,2.78
Italy,ITA,2020-01-24,2.78
Italy,ITA,2020-01-25,2.78
Italy,ITA,2020-01-26,2.78
Italy,ITA,2020-01-27,2.78
Italy,ITA,2020-01-28,2.78
Italy,ITA,2020-01-29,2.78
Italy,ITA,2020-01-30,8.33
Italy,ITA,2020-01-31,19.44
Italy,ITA,2020-02-01,19.44
Italy,ITA,2020-02-02,19.44
Italy,ITA,2020-02-03,19.44
Italy,ITA,2020-02-04,19.44
Italy,ITA,2020-02-05,19.44
Italy,ITA,2020-02-06,19.44
Italy,ITA,2020-02-07,19.44
Italy,ITA,2020-02-08,19.44
Italy,ITA,2020-02-09,19.44
Italy,ITA,2020-02-10,19.44
Italy,ITA,2020-02-11,19.44
Italy,ITA,2020-02-12,19.44
Italy,ITA,2020-02-13,19.44
Italy,ITA,2020-02-14,19.44
Italy,ITA,2020-02-15,19.44
Italy,ITA,2020-02-16,19.44
Italy,ITA,2020-02-17,19.44
Italy,ITA,2020-02-18,19.44
Italy,ITA,2020-02-19,19.44
Italy,ITA,2020-02-20,19.44
Italy,ITA,2020-02-21,27.78
Italy,ITA,2020-02-22,37.04
Italy,ITA,2020-02-23,69.91
Italy,ITA,2020-02-24,69.91
Italy,ITA,2020-02-25,69.91
Italy,ITA,2020-02-26,69.91
Italy,ITA,2020-02-27,69.91
Italy,ITA,2020-02-28,69.91
Italy,ITA,2020-02-29,69.91
Italy,ITA,2020-03-01,69.91
Italy,ITA,2020-03-02,69.91
Italy,ITA,2020-03-03,69.91
Italy,ITA,2020-03-04,74.54
Italy,ITA,2020-03-05,74.54
Italy,ITA,2020-03-06,74.54
Italy,ITA,2020-03-07,74.54
Italy,ITA,2020-03-08,74.54
Italy,ITA,2020-03-09,74.54
Italy,ITA,2020-03-10,82.41
Italy,ITA,2020-03-11,85.19
Italy,ITA,2020-03-12,85.19
Italy,ITA,2020-03-13,85.19
Italy,ITA,2020-03-14,85.19
Italy,ITA,2020-03-15,85.19
Italy,ITA,2020-03-16,85.19
Italy,ITA,2020-03-17,85.19
Italy,ITA,2020-03-18,85.19
Italy,ITA,2020-03-19,85.19
Italy,ITA,2020-03-20,91.67
Italy,ITA,2020-03-21,91.67
Italy,ITA,2020-03-22,91.67
Italy,ITA,2020-03-23,91.67
Italy,ITA,2020-03-24,91.67
Italy,ITA,2020-03-25,91.67
Italy,ITA,2020-03-26,91.67
Italy,ITA,2020-03-27,91.67
Italy,ITA,2020-03-28,91.67
Italy,ITA,2020-03-29,91.67
Italy,ITA,2020-03-30,91.67
Italy,ITA,2020-03-31,91.67
Italy,ITA,2020-04-01,91.67
Italy,ITA,2020-04-02,91.67
Italy,ITA,2020-04-03,91.67
Italy,ITA,2020-04-04,91.67
Italy,ITA,2020-04-05,91.67
Italy,ITA,2020-04-06,91.67
Italy,ITA,2020-04-07,91.67
Italy,ITA,2020-04-08,91.67
Italy,ITA,2020-04-09,91.67
Italy,ITA,2020-04-10,87.96
Italy,ITA,2020-04-11,87.96
Italy,ITA,2020-04-12,93.52
Italy,ITA,2020-04-13,93.52
Italy,ITA,2020-04-14,93.52
Italy,ITA,2020-04-15,93.52
Italy,ITA,2020-04-16,93.52
Italy,ITA,2020-04-17,93.52
Italy,ITA,2020-04-18,93.52
Italy,ITA,2020-04-19,93.52
Italy,ITA,2020-04-20,93.52
Italy,ITA,2020-04-21,93.52
Italy,ITA,2020-04-22,93.52
Italy,ITA,2020-04-23,93.52
Italy,ITA,2020-04-24,93.52
Italy,ITA,2020-04-25,93.52
Italy,ITA,2020-04-26,93.52
Italy,ITA,2020-04-27,93.52
Italy,ITA,2020-04-28,93.52
Italy,ITA,2020-04-29,93.52
Italy,ITA,2020-04-30,93.52
Italy,ITA,2020-05-01,93.52
Italy,ITA,2020-05-02,93.52
Italy,ITA,2020-05-03,93.52
Italy,ITA,2020-05-04,62.96
Italy,ITA,2020-05-05,62.96
Italy,ITA,2020-05-06,62.96
Italy,ITA,2020-05-07,62.96
Italy,ITA,2020-05-08,62.96
Italy,ITA,2020-05-09,62.96
Italy,ITA,2020-05-10,62.96
Italy,ITA,2020-05-11,62.96
Italy,ITA,2020-05-12,62.96
Italy,ITA,2020-05-13,62.96
Italy,ITA,2020-05-14,62.96
Italy,ITA,2020-05-15,62.96
Italy,ITA,2020-05-16,66.67
Italy,ITA,2020-05-17,66.67
Italy,ITA,2020-05-18,63.89
Italy,ITA,2020-05-19,63.89
Italy,ITA,2020-05-20,63.89
Italy,ITA,2020-05-21,63.89
Italy,ITA,2020-05-22,63.89
Italy,ITA,2020-05-23,63.89
Italy,ITA,2020-05-24,63.89
Italy,ITA,2020-05-25,63.89
Italy,ITA,2020-05-26,63.89
Italy,ITA,2020-05-27,63.89
Italy,ITA,2020-05-28,63.89
Italy,ITA,2020-05-29,63.89
Italy,ITA,2020-05-30,63.89
Italy,ITA,2020-05-31,63.89
Italy,ITA,2020-06-01,63.89
Italy,ITA,2020-06-02,52.78
Italy,ITA,2020-06-03,44.44
Italy,ITA,2020-06-04,44.44
Italy,ITA,2020-06-05,44.44
Italy,ITA,2020-06-06,44.44
Italy,ITA,2020-06-07,44.44
Italy,ITA,2020-06-08,44.44
Italy,ITA,2020-06-09,44.44
Italy,ITA,2020-06-10,44.44
Italy,ITA,2020-06-11,50.0
Italy,ITA,2020-06-12,50.0
Italy,ITA,2020-06-13,50.0
Italy,ITA,2020-06-14,50.0
Italy,ITA,2020-06-15,55.56
Italy,ITA,2020-06-16,55.56
Italy,ITA,2020-06-17,55.56
Italy,ITA,2020-06-18,55.56
Italy,ITA,2020-06-19,55.56
Italy,ITA,2020-06-20,55.56
Italy,ITA,2020-06-21,55.56
Italy,ITA,2020-06-22,55.56
Italy,ITA,2020-06-23,55.56
Italy,ITA,2020-06-24,55.56
Italy,ITA,2020-06-25,55.56
Italy,ITA,2020-06-26,55.56
Italy,ITA,2020-06-27,55.56
Italy,ITA,2020-06-28,55.56
Italy,ITA,2020-06-29,55.56
Italy,ITA,2020-06-30,55.56
Italy,ITA,2020-07-01,55.56
Italy,ITA,2020-07-02,55.56
Italy,ITA,2020-07-03,55.56
Italy,ITA,2020-07-04,55.56
Italy,ITA,2020-07-05,55.56
Italy,ITA,2020-07-06,55.56
Italy,ITA,2020-07-07,55.56
Italy,ITA,2020-07-08,55.56
Italy,ITA,2020-07-09,58.33
Italy,ITA,2020-07-10,58.33
Italy,ITA,2020-07-11,58.33
Italy,ITA,2020-07-12,58.33
Italy,ITA,2020-07-13,58.33
Italy,ITA,2020-07-14,58.33
Italy,ITA,2020-07-15,58.33
Italy,ITA,2020-07-16,58.33
Italy,ITA,2020-07-17,58.33
Italy,ITA,2020-07-18,58.33
Italy,ITA,2020-07-19,58.33
Italy,ITA,2020-07-20,58.33
Italy,ITA,2020-07-21,58.33
Italy,ITA,2020-07-22,58.33
Italy,ITA,2020-07-23,58.33
Italy,ITA,2020-07-24,58.33
Italy,ITA,2020-07-25,58.33
Italy,ITA,2020-07-26,58.33
Italy,ITA,2020-07-27,48.15
Italy,ITA,2020-07-28,48.15
Italy,ITA,2020-07-29,48.15
Italy,ITA,2020-07-30,48.15
Italy,ITA,2020-07-31,48.15
Italy,ITA,2020-08-01,48.15
Italy,ITA,2020-08-02,48.15
Italy,ITA,2020-08-03,48.15
Italy,ITA,2020-08-04,48.15
Italy,ITA,2020-08-05,48.15
Italy,ITA,2020-08-06,48.15
Italy,ITA,2020-08-07,48.15
Italy,ITA,2020-08-08,50.93
Italy,ITA,2020-08-09,50.93
Italy,ITA,2020-08-10,50.93
Italy,ITA,2020-08-11,50.93
Italy,ITA,2020-08-12,50.93
Italy,ITA,2020-08-13,50.93
Italy,ITA,2020-08-14,50.93
Italy,ITA,2020-08-15,50.93
Italy,ITA,2020-08-16,50.93
Italy,ITA,2020-08-17,54.63
