1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
84342,5859,14311,24222,7737,13788,4771,7084,8654,27275,7474,35878,24213,7237,136587,47301,53445,20389,13723,16242,27526,23489,39688,34722,6747,36329,30571,36594,7534,17898,4984,7660,11332,18812,22539,29420,40399,10878,14556,15471,13491,17501,11967,7374,6145,13352,10983,37655,11469,16434,12452,9885,7142,24538,7281,11418,5094,176378,24185,18686,41233,10044,139698,15052,44543,10977,11662,12472,14046,7373,24772,49591,21743,14142,28242,12478,7229,27676,14494,23145,16717,55155,23459,16810,10468,5919,50590,14321,16237,16586,6952,14053,12377,2949,4559,5306,13321,9924,13253,10812,7526,6256,5009,36841,6309,15802,10375
98218,6696,16488,26908,8917,16234,5740,8088,10351,32234,8546,42007,28101,7941,151290,56019,62263,23174,15898,19169,27592,26771,44085,40225,8087,42555,36501,43150,9177,21488,5653,8837,12562,20817,26630,34176,44678,13337,17086,18074,16181,21069,13709,8407,7514,16131,12708,43467,13672,18951,14524,11597,8609,29125,8979,13149,6047,204673,27301,20960,46373,11226,157888,17037,49135,12349,13086,14186,16272,8395,28543,55779,25831,16869,33389,14037,8164,29637,15336,25234,18240,60211,25982,19051,11913,6803,53601,15459,18230,19975,8423,17370,14568,3149,5422,6442,15795,11086,15723,12489,8373,6870,6170,42477,7374,18350,12767
102063,7036,17060,27358,9485,17089,5988,8841,11435,34566,9023,43007,29070,8369,155980,58149,64687,24072,16442,19365,28692,27730,45913,43704,8802,45622,38885,44678,9366,22711,6056,9453,12665,20778,27293,34442,45571,13792,17755,18646,16887,21825,13998,9002,8096,17400,13298,46106,14542,19292,15338,11709,9356,30621,9782,13780,6387,209356,27009,21413,51142,12423,174985,19019,53290,12311,13864,15083,16922,9342,31749,60208,27889,18151,36614,15827,9106,31687,16313,26951,20698,64603,28149,21681,13720,7765,57543,16138,19400,21105,9074,17971,15078,3297,5978,7220,16446,11287,16198,13385,9146,7880,6660,43676,7581,20766,13423
100843,7303,16748,27874,9598,17271,5923,9051,11592,35673,9006,41434,28454,8726,150279,57708,63187,23649,16250,18573,29308,28023,44677,44001,9243,44755,38937,44010,9190,23147,6151,9506,12660,19951,26024,33209,44385,13346,17061,17811,16811,21504,14229,9273,7966,16944,12975,45993,14002,18469,15110,11507,9149,29350,9662,13747,6685,199650,27896,22067,54145,13909,186421,20965,57959,12722,14134,15073,17397,10420,35152,65186,29826,19759,39812,17807,10195,33758,17731,28693,23543,67200,30003,24347,15048,9010,60281,17461,20698,21563,9659,18546,14423,3509,6580,7612,16501,10776,15870,12531,9652,8535,6912,41829,7853,22863,14480
102448,7728,17263,29949,9949,18110,5865,9935,11692,36853,9487,41741,28997,9316,153778,56594,63311,24746,17195,18877,30553,28413,45935,44943,9381,44828,39363,44947,9829,22942,6179,10164,13474,21055,25956,33618,44692,13977,17234,17942,16859,22056,14792,10102,8396,17338,13056,45711,14267,18949,15857,12131,9535,30173,9931,14880,7689,202959,29830,24638,56031,15708,189622,22909,60625,14053,15404,15502,18548,11526,36244,67803,30229,20644,40827,19059,10594,36520,19157,30189,24795,68998,31486,24874,15571,9334,62412,18482,20857,22521,10254,19028,14382,4245,6898,7617,16728,11030,15558,11793,10063,9107,7238,41866,8583,23102,14973
111649,8084,18229,30780,10103,19364,6099,10433,12076,38898,10159,44709,30957,9249,177396,57566,65953,27367,18264,19996,30660,29259,49183,45561,9722,45008,40560,48039,10632,24131,6458,11669,15008,24680,27311,36872,51946,15054,17870,19103,17520,22976,16291,10795,9066,18371,13948,49134,15064,21690,17105,13355,10263,33146,10431,16098,8184,220623,32449,27803,58221,16733,194585,25264,66365,16162,16929,16871,20194,12209,36854,71193,31215,22507,43331,21101,11642,41366,21211,32723,24822,74345,35590,25445,16243,9723,68402,19800,23108,25380,10982,21836,15325,4753,7773,7857,16782,11956,16755,13187,11054,9726,7162,43462,8800,23101,17280
119021,8560,19276,31506,10640,20210,6412,10588,12163,39447,11304,47873,32716,9379,196267,61697,70669,29455,19231,22189,30471,29892,53095,45428,9622,46339,42624,50526,11584,26050,6495,11899,15378,26815,29250,38878,57867,16138,19183,20673,18541,24126,17051,11171,9727,19402,15374,53725,16114,23191,18734,14121,10766,36069,11410,17877,8375,245904,34888,28831,58620,16299,189545,25128,67276,17409,17880,17596,21375,12094,35283,72284,32045,22661,43072,21098,11496,43252,21782,33928,23990,73314,36340,24925,15175,9428,68646,20729,23786,27521,11117,24211,16467,5065,8326,7703,17234,13077,18088,14950,11023,9756,7374,47535,9561,22526,18687
131078,9378,22517,34496,11768,22674,7029,11123,13408,42331,11983,53893,37043,10339,214568,69332,80369,33102,21500,25685,33167,31725,58934,50433,10648,52240,47846,56831,13514,29770,7511,11890,16573,29059,33464,43493,64345,18838,22463,23768,21465,28393,18895,12096,11093,22385,17541,59545,18700,26483,20375,15654,12350,40516,12941,20132,8994,284180,37908,31377,63172,16471,199118,25343,69704,18940,19393,19173,23712,13085,37815,78160,35419,24020,48628,21240,12180,44981,22498,34825,25697,78345,37657,25791,15580,9336,70869,21569,25641,31089,11934,28202,19260,5132,9454,8746,19463,14856,21374,16772,10944,9543,8243,54550,10461,24349,21622
162341,11402,27343,40569,14981,29180,8986,13882,17915,54450,14928,66598,45833,12478,247899,84264,97184,40982,26451,31767,35788,37987,70040,63159,13611,65700,61699,70062,17562,37165,9864,15634,20663,34509,42294,54053,76457,25276,29279,30360,26891,35255,22366,14283,13887,28389,21849,72567,24248,32577,24715,19271,15677,47720,15948,23979,10986,338272,44251,35181,69262,18514,223830,28899,77391,21284,21946,22859,27584,15224,43433,92626,43127,28628,58554,24715,14185,49627,24554,37786,29826,88104,43292,29270,17402,10582,79398,23719,29277,38722,14551,34883,23463,5672,11160,11861,24415,17815,26535,19976,11614,10565,10835,67042,12281,29220,25956
183616,13285,29937,45436,16801,33585,10411,16553,22279,66661,17612,72847,50061,14226,274352,90913,103846,45221,28402,34038,42068,41891,76344,71703,16406,74263,71140,78643,18763,43117,11746,18717,22994,37241,45048,58745,84738,28570,32635,32529,28847,37620,23666,15997,15542,32107,23958,82037,27660,34661,27308,20826,17727,50838,17867,25212,11864,372876,47208,36743,71289,20456,235734,31257,83421,22196,24559,26084,29661,16483,45770,96390,43093,29277,59564,27427,14587,52734,25970,38781,32706,92973,47339,32096,19242,11894,82615,24050,30982,41416,15801,38164,25578,5987,12130,13936,26928,19219,28786,21425,12306,11289,13062,73794,13191,31032,27382
184855,14191,30899,47554,17596,36058,10925,18301,24181,70743,19277,75085,51226,15291,271993,93759,104829,46399,29535,33597,43633,44404,76751,74542,17123,75491,73967,81267,19764,44909,12155,19441,23774,37302,43052,56745,83080,29012,32931,32027,29303,37530,24397,16943,16115,33462,23969,83364,28135,33674,27909,21738,18284,51869,18416,26265,12649,372012,46929,37900,73102,22358,239033,34187,86772,23593,25677,26467,30991,17775,48188,101101,44249,30991,62792,29748,15209,55069,27657,40549,32642,94982,49307,33691,20397,12712,83586,23863,30326,41615,17296,37595,25664,6662,12891,15087,28304,19625,28440,20817,12503,11972,13980,74734,13668,31273,28400
