"ITTER107","Territory","TIPO_DATO14","Data type","SEXISTAT1","Gender","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","80","guests","1","males","2016","2016",132801,,
"IT","Italy","82","guests (per 100,000 resident with the same characteristics)","1","males","2016","2016",451,,
"IT","Italy","80","guests","2","females","2016","2016",244484,,
"IT","Italy","82","guests (per 100,000 resident with the same characteristics)","2","females","2016","2016",785,,
"IT","Italy","80","guests","9","total","2016","2016",377285,,
"IT","Italy","82","guests (per 100,000 resident with the same characteristics)","9","total","2016","2016",622.7,,
"ITC","Nord-ovest","80","guests","1","males","2016","2016",46398,,
"ITC","Nord-ovest","82","guests (per 100,000 resident with the same characteristics)","1","males","2016","2016",592.4,,
"ITC","Nord-ovest","80","guests","2","females","2016","2016",102048,,
"ITC","Nord-ovest","82","guests (per 100,000 resident with the same characteristics)","2","females","2016","2016",1233.7,,
"ITC","Nord-ovest","80","guests","9","total","2016","2016",148446,,
"ITC","Nord-ovest","82","guests (per 100,000 resident with the same characteristics)","9","total","2016","2016",921.8,,
"ITC1","Piemonte","80","guests","1","males","2016","2016",14778,,
"ITC1","Piemonte","82","guests (per 100,000 resident with the same characteristics)","1","males","2016","2016",694,,
"ITC1","Piemonte","80","guests","2","females","2016","2016",33398,,
"ITC1","Piemonte","82","guests (per 100,000 resident with the same characteristics)","2","females","2016","2016",1475.7,,
"ITC1","Piemonte","80","guests","9","total","2016","2016",48176,,
"ITC1","Piemonte","82","guests (per 100,000 resident with the same characteristics)","9","total","2016","2016",1096.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","80","guests","1","males","2016","2016",463,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","82","guests (per 100,000 resident with the same characteristics)","1","males","2016","2016",747.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","80","guests","2","females","2016","2016",784,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","82","guests (per 100,000 resident with the same characteristics)","2","females","2016","2016",1207.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","80","guests","9","total","2016","2016",1247,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","82","guests (per 100,000 resident with the same characteristics)","9","total","2016","2016",982.8,,
"ITC3","Liguria","80","guests","1","males","2016","2016",5728,,
"ITC3","Liguria","82","guests (per 100,000 resident with the same characteristics)","1","males","2016","2016",767.5,,
"ITC3","Liguria","80","guests","2","females","2016","2016",10811,,
"ITC3","Liguria","82","guests (per 100,000 resident with the same characteristics)","2","females","2016","2016",1320.1,,
"ITC3","Liguria","80","guests","9","total","2016","2016",16540,,
"ITC3","Liguria","82","guests (per 100,000 resident with the same characteristics)","9","total","2016","2016",1056.6,,
"ITC4","Lombardia","80","guests","1","males","2016","2016",25429,,
"ITC4","Lombardia","82","guests (per 100,000 resident with the same characteristics)","1","males","2016","2016",519.5,,
"ITC4","Lombardia","80","guests","2","females","2016","2016",57055,,
"ITC4","Lombardia","82","guests (per 100,000 resident with the same characteristics)","2","females","2016","2016",1113.3,,
"ITC4","Lombardia","80","guests","9","total","2016","2016",82483,,
"ITC4","Lombardia","82","guests (per 100,000 resident with the same characteristics)","9","total","2016","2016",823.3,,
"ITD","Nord-est","80","guests","1","males","2016","2016",33280,,
"ITD","Nord-est","82","guests (per 100,000 resident with the same characteristics)","1","males","2016","2016",587.5,,
"ITD","Nord-est","80","guests","2","females","2016","2016",66562,,
"ITD","Nord-est","82","guests (per 100,000 resident with the same characteristics)","2","females","2016","2016",1114.4,,
"ITD","Nord-est","80","guests","9","total","2016","2016",99842,,
"ITD","Nord-est","82","guests (per 100,000 resident with the same characteristics)","9","total","2016","2016",858,,
"ITDA","Trentino Alto Adige / Südtirol","80","guests","1","males","2016","2016",5485,,
"ITDA","Trentino Alto Adige / Südtirol","82","guests (per 100,000 resident with the same characteristics)","1","males","2016","2016",1049.6,,
"ITDA","Trentino Alto Adige / Südtirol","80","guests","2","females","2016","2016",7873,,
"ITDA","Trentino Alto Adige / Südtirol","82","guests (per 100,000 resident with the same characteristics)","2","females","2016","2016",1457.3,,
"ITDA","Trentino Alto Adige / Südtirol","80","guests","9","total","2016","2016",13358,,
"ITDA","Trentino Alto Adige / Südtirol","82","guests (per 100,000 resident with the same characteristics)","9","total","2016","2016",1256.8,,
"ITD1","Provincia Autonoma Bolzano / Bozen","80","guests","1","males","2016","2016",3050,,
"ITD1","Provincia Autonoma Bolzano / Bozen","82","guests (per 100,000 resident with the same characteristics)","1","males","2016","2016",1177.8,,
"ITD1","Provincia Autonoma Bolzano / Bozen","80","guests","2","females","2016","2016",3449,,
"ITD1","Provincia Autonoma Bolzano / Bozen","82","guests (per 100,000 resident with the same characteristics)","2","females","2016","2016",1300,,
"ITD1","Provincia Autonoma Bolzano / Bozen","80","guests","9","total","2016","2016",6499,,
"ITD1","Provincia Autonoma Bolzano / Bozen","82","guests (per 100,000 resident with the same characteristics)","9","total","2016","2016",1239.7,,
