"TIME","GEO","UNIT","SEX","AGE","Value"
"2020W28","Belgium","Number","Males","90 years or over","110"
"2020W29","Belgium","Number","Males","90 years or over","118"
"2020W30","Belgium","Number","Males","90 years or over","140"
"2020W31","Belgium","Number","Males","90 years or over","136"
"2020W32","Belgium","Number","Males","90 years or over","151"
"2020W33","Belgium","Number","Males","90 years or over","201"
"2020W34","Belgium","Number","Males","90 years or over","153"
"2020W35","Belgium","Number","Males","90 years or over","128"
"2020W36","Belgium","Number","Males","90 years or over","119"
"2020W37","Belgium","Number","Males","90 years or over","139"
"2020W38","Belgium","Number","Males","90 years or over","136"
"2020W39","Belgium","Number","Males","90 years or over","121"
"2020W40","Belgium","Number","Males","90 years or over",":"
"2020W41","Belgium","Number","Males","90 years or over",":"
"2020W99","Belgium","Number","Males","90 years or over",":"
"2020W28","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","8"
"2020W29","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","8"
"2020W30","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","16"
"2020W31","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","7"
"2020W32","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","7"
"2020W33","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","18"
"2020W34","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","13"
"2020W35","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","10"
"2020W36","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","6"
"2020W37","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","11"
"2020W38","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","9"
"2020W39","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","11"
"2020W40","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over",":"
"2020W41","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over",":"
"2020W99","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over",":"
"2020W28","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","8"
"2020W29","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","8"
"2020W30","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","16"
"2020W31","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","7"
"2020W32","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","7"
"2020W33","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","18"
"2020W34","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","13"
"2020W35","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","10"
"2020W36","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","6"
"2020W37","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","11"
"2020W38","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","9"
"2020W39","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over","11"
"2020W40","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over",":"
"2020W41","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over",":"
"2020W99","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number","Males","90 years or over",":"
"2020W28","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","8"
"2020W29","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","8"
"2020W30","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","16"
"2020W31","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","7"
"2020W32","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","7"
"2020W33","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","18"
"2020W34","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","13"
"2020W35","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","10"
"2020W36","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","6"
"2020W37","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","11"
"2020W38","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","9"
"2020W39","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over","11"
"2020W40","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over",":"
"2020W41","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over",":"
"2020W99","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Males","90 years or over",":"
"2020W28","Vlaams Gewest","Number","Males","90 years or over","71"
"2020W29","Vlaams Gewest","Number","Males","90 years or over","72"
"2020W30","Vlaams Gewest","Number","Males","90 years or over","79"
"2020W31","Vlaams Gewest","Number","Males","90 years or over","88"
"2020W32","Vlaams Gewest","Number","Males","90 years or over","97"
"2020W33","Vlaams Gewest","Number","Males","90 years or over","122"
"2020W34","Vlaams Gewest","Number","Males","90 years or over","99"
"2020W35","Vlaams Gewest","Number","Males","90 years or over","73"
"2020W36","Vlaams Gewest","Number","Males","90 years or over","75"
"2020W37","Vlaams Gewest","Number","Males","90 years or over","86"
"2020W38","Vlaams Gewest","Number","Males","90 years or over","85"
"2020W39","Vlaams Gewest","Number","Males","90 years or over","74"
"2020W40","Vlaams Gewest","Number","Males","90 years or over",":"
"2020W41","Vlaams Gewest","Number","Males","90 years or over",":"
"2020W99","Vlaams Gewest","Number","Males","90 years or over",":"
"2020W28","Prov. Antwerpen","Number","Males","90 years or over","20"
"2020W29","Prov. Antwerpen","Number","Males","90 years or over","15"
"2020W30","Prov. Antwerpen","Number","Males","90 years or over","20"
"2020W31","Prov. Antwerpen","Number","Males","90 years or over","32"
"2020W32","Prov. Antwerpen","Number","Males","90 years or over","25"
"2020W33","Prov. Antwerpen","Number","Males","90 years or over","32"
"2020W34","Prov. Antwerpen","Number","Males","90 years or over","37"
"2020W35","Prov. Antwerpen","Number","Males","90 years or over","23"
"2020W36","Prov. Antwerpen","Number","Males","90 years or over","23"
"2020W37","Prov. Antwerpen","Number","Males","90 years or over","21"
"2020W38","Prov. Antwerpen","Number","Males","90 years or over","30"
"2020W39","Prov. Antwerpen","Number","Males","90 years or over","23"
"2020W40","Prov. Antwerpen","Number","Males","90 years or over",":"
"2020W41","Prov. Antwerpen","Number","Males","90 years or over",":"
"2020W99","Prov. Antwerpen","Number","Males","90 years or over",":"
"2020W28","Arr. Antwerpen","Number","Males","90 years or over","13"
"2020W29","Arr. Antwerpen","Number","Males","90 years or over","10"
"2020W30","Arr. Antwerpen","Number","Males","90 years or over","11"
"2020W31","Arr. Antwerpen","Number","Males","90 years or over","19"
"2020W32","Arr. Antwerpen","Number","Males","90 years or over","16"
"2020W33","Arr. Antwerpen","Number","Males","90 years or over","23"
"2020W34","Arr. Antwerpen","Number","Males","90 years or over","23"
"2020W35","Arr. Antwerpen","Number","Males","90 years or over","9"
"2020W36","Arr. Antwerpen","Number","Males","90 years or over","11"
"2020W37","Arr. Antwerpen","Number","Males","90 years or over","11"
"2020W38","Arr. Antwerpen","Number","Males","90 years or over","20"
"2020W39","Arr. Antwerpen","Number","Males","90 years or over","13"
"2020W40","Arr. Antwerpen","Number","Males","90 years or over",":"
"2020W41","Arr. Antwerpen","Number","Males","90 years or over",":"
"2020W99","Arr. Antwerpen","Number","Males","90 years or over",":"
"2020W28","Arr. Mechelen","Number","Males","90 years or over","3"
"2020W29","Arr. Mechelen","Number","Males","90 years or over","0"
"2020W30","Arr. Mechelen","Number","Males","90 years or over","1"
"2020W31","Arr. Mechelen","Number","Males","90 years or over","6"
"2020W32","Arr. Mechelen","Number","Males","90 years or over","6"
"2020W33","Arr. Mechelen","Number","Males","90 years or over","5"
"2020W34","Arr. Mechelen","Number","Males","90 years or over","11"
"2020W35","Arr. Mechelen","Number","Males","90 years or over","9"
"2020W36","Arr. Mechelen","Number","Males","90 years or over","6"
"2020W37","Arr. Mechelen","Number","Males","90 years or over","6"
"2020W38","Arr. Mechelen","Number","Males","90 years or over","7"
"2020W39","Arr. Mechelen","Number","Males","90 years or over","4"
"2020W40","Arr. Mechelen","Number","Males","90 years or over",":"
"2020W41","Arr. Mechelen","Number","Males","90 years or over",":"
"2020W99","Arr. Mechelen","Number","Males","90 years or over",":"
"2020W28","Arr. Turnhout","Number","Males","90 years or over","4"
"2020W29","Arr. Turnhout","Number","Males","90 years or over","5"
"2020W30","Arr. Turnhout","Number","Males","90 years or over","8"
"2020W31","Arr. Turnhout","Number","Males","90 years or over","7"
"2020W32","Arr. Turnhout","Number","Males","90 years or over","3"
"2020W33","Arr. Turnhout","Number","Males","90 years or over","4"
"2020W34","Arr. Turnhout","Number","Males","90 years or over","3"
"2020W35","Arr. Turnhout","Number","Males","90 years or over","5"
"2020W36","Arr. Turnhout","Number","Males","90 years or over","6"
"2020W37","Arr. Turnhout","Number","Males","90 years or over","4"
"2020W38","Arr. Turnhout","Number","Males","90 years or over","3"
"2020W39","Arr. Turnhout","Number","Males","90 years or over","6"
"2020W40","Arr. Turnhout","Number","Males","90 years or over",":"
"2020W41","Arr. Turnhout","Number","Males","90 years or over",":"
"2020W99","Arr. Turnhout","Number","Males","90 years or over",":"
"2020W28","Prov. Limburg (BE)","Number","Males","90 years or over","9"
"2020W29","Prov. Limburg (BE)","Number","Males","90 years or over","10"
"2020W30","Prov. Limburg (BE)","Number","Males","90 years or over","5"
"2020W31","Prov. Limburg (BE)","Number","Males","90 years or over","7"
"2020W32","Prov. Limburg (BE)","Number","Males","90 years or over","11"
"2020W33","Prov. Limburg (BE)","Number","Males","90 years or over","10"
"2020W34","Prov. Limburg (BE)","Number","Males","90 years or over","8"
"2020W35","Prov. Limburg (BE)","Number","Males","90 years or over","4"
"2020W36","Prov. Limburg (BE)","Number","Males","90 years or over","7"
"2020W37","Prov. Limburg (BE)","Number","Males","90 years or over","13"
"2020W38","Prov. Limburg (BE)","Number","Males","90 years or over","6"
"2020W39","Prov. Limburg (BE)","Number","Males","90 years or over","11"
"2020W40","Prov. Limburg (BE)","Number","Males","90 years or over",":"
"2020W41","Prov. Limburg (BE)","Number","Males","90 years or over",":"
"2020W99","Prov. Limburg (BE)","Number","Males","90 years or over",":"
"2020W28","Arr. Hasselt","Number","Males","90 years or over","5"
"2020W29","Arr. Hasselt","Number","Males","90 years or over","3"
"2020W30","Arr. Hasselt","Number","Males","90 years or over","2"
"2020W31","Arr. Hasselt","Number","Males","90 years or over","3"
"2020W32","Arr. Hasselt","Number","Males","90 years or over","3"
"2020W33","Arr. Hasselt","Number","Males","90 years or over","2"
"2020W34","Arr. Hasselt","Number","Males","90 years or over","6"
"2020W35","Arr. Hasselt","Number","Males","90 years or over","3"
"2020W36","Arr. Hasselt","Number","Males","90 years or over","4"
"2020W37","Arr. Hasselt","Number","Males","90 years or over","6"
"2020W38","Arr. Hasselt","Number","Males","90 years or over","3"
"2020W39","Arr. Hasselt","Number","Males","90 years or over","6"
"2020W40","Arr. Hasselt","Number","Males","90 years or over",":"
"2020W41","Arr. Hasselt","Number","Males","90 years or over",":"
"2020W99","Arr. Hasselt","Number","Males","90 years or over",":"
"2020W28","Arr. Maaseik","Number","Males","90 years or over","2"
"2020W29","Arr. Maaseik","Number","Males","90 years or over","6"
