"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
0,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
1,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
2,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
3,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
4,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
5,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
6,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
7,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
8,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
9,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
10,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
11,18589,1,0,0,1,2,0,0,0.00010757893604432252,0,0,0.0,1
12,18588,2,0,0,1,3,0,0,0.00016136840406648378,0,0,0.0,1
13,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
14,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
15,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
16,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
17,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
18,18586,4,0,0,1,5,0,0,0.0002689473401108063,0,0,0.0,1
19,18586,2,0,0,3,5,0,0,0.0002689473401108063,0,0,0.0,1
20,18586,2,0,0,3,5,0,0,0.0002689473401108063,0,0,0.0,1
21,18584,4,0,0,3,7,0,0,0.00037652627615512884,0,0,0.0,1
22,18582,6,0,0,3,9,0,0,0.00048410521219945134,0,0,0.0,1
23,18579,9,0,0,3,12,0,0,0.0006454736162659351,0,0,0.0,1
24,18577,10,1,0,3,14,0,0,0.0007530525523102577,0,0,0.0,1
25,18577,10,1,0,3,14,0,0,0.0007530525523102577,0,0,0.0,1
26,18576,11,1,0,3,15,0,0,0.0008068420203324189,0,0,0.0,1
27,18576,10,2,0,2,14,1,0,0.0007530525523102577,0,0,0.0,1
28,18576,9,3,0,2,14,1,0,0.0007530525523102577,0,0,0.0,1
29,18573,12,3,0,1,16,2,0,0.0008606314883545801,0,0,0.0,1
30,18573,12,3,0,1,16,2,0,0.0008606314883545801,0,0,0.0,1
31,18571,13,3,0,2,18,2,0,0.0009682104243989027,0,0,0.0,1
32,18570,14,3,0,2,19,2,0,0.001021999892421064,0,0,0.0,1
33,18569,15,3,0,2,20,2,0,0.0010757893604432251,0,0,0.0,1
34,18567,14,1,3,4,22,2,0,0.0011833682964875478,0,0,0.0,1
35,18557,22,1,3,6,32,2,0,0.0017212629767091603,0,0,0.0,1
36,18552,27,1,3,6,37,2,0,0.0019902103168199666,0,0,0.0,1
37,18549,29,1,4,6,40,2,0,0.0021515787208864503,0,0,0.0,1
38,18543,34,2,3,6,45,3,0,0.002420526060997257,0,0,0.0,1
39,18540,36,3,3,5,47,4,0,0.0025281049970415793,1,1,0.9900990099009901,1
40,18535,40,3,3,6,52,4,0,0.0027970523371523854,2,2,0.9950248756218907,1
41,18527,47,3,2,7,59,5,0,0.0031735786133075144,3,2,0.6644518272425249,1
42,18521,48,4,2,11,65,5,0,0.0034963154214404817,3,3,0.9966777408637875,1
43,18513,54,5,3,11,73,5,0,0.003926631165617772,4,3,0.7481296758104738,1
44,18505,57,6,5,13,81,5,0,0.004356946909795062,5,4,0.7984031936127745,1
45,18496,60,9,6,14,89,6,0,0.004787262653972352,6,5,0.831946755407654,1
46,18479,72,11,7,16,106,6,0,0.005701683610349093,7,6,0.8559201141226819,1
47,18463,82,13,8,17,120,8,0,0.006454736162659351,8,7,0.8739076154806492,1
48,18448,93,15,9,18,135,8,0,0.0072615781829917705,9,7,0.7769145394006659,1
49,18430,107,14,12,20,153,8,0,0.008229788607390673,10,7,0.6993006993006993,1
50,18408,120,14,14,27,175,8,0,0.009413156903878221,11,8,0.7266121707538601,1
51,18374,148,15,17,28,208,9,0,0.011188209348609542,11,8,0.7266121707538601,1
52,18349,168,15,19,31,233,9,0,0.012532946049163574,12,9,0.7493755203996669,1
53,18323,184,17,20,37,258,10,0,0.013877682749717605,13,10,0.7686395080707148,1
54,18296,196,21,21,44,282,13,0,0.015168629982249476,15,11,0.7328447701532312,1
55,18253,231,17,25,50,323,15,0,0.017373998171158086,17,11,0.6466784244562022,1
56,18209,259,23,27,56,365,17,0,0.01963315582808886,19,12,0.6312467122567069,1
57,18160,293,24,31,66,414,17,0,0.02226883976117476,19,13,0.6838506049447659,1
58,18105,334,25,32,74,465,21,0,0.025012102630304987,22,17,0.7723761926397091,1
59,18053,368,26,37,85,516,22,0,0.02775536549943521,26,21,0.8073817762399077,1
60,17993,407,33,38,95,573,25,0,0.030821365176698402,30,24,0.7997334221926025,1
61,17934,453,33,42,100,628,29,0,0.03377978591791727,32,25,0.781005935645111,1
62,17872,488,45,45,106,684,35,0,0.036791996127158305,36,29,0.8053318522632602,1
63,17805,520,53,48,126,747,39,0,0.04018073261255446,40,32,0.7998000499875032,1
64,17751,533,65,50,147,795,45,0,0.0427626270776182,44,34,0.7725516927970916,1
65,17674,567,77,53,169,866,51,0,0.046581679307191655,48,34,0.7081857946261196,1
66,17607,588,83,65,193,929,55,0,0.04997041579258781,53,41,0.7734389737785324,1
67,17518,642,85,79,208,1014,59,0,0.054542520574471516,59,44,0.7456363328249449,1
68,17412,707,93,92,218,1110,69,0,0.059706309504599,63,47,0.7459133470877639,1
69,17329,742,99,100,245,1186,76,0,0.06379430907428325,70,53,0.7570347093272389,1
70,17223,793,108,118,265,1284,84,0,0.06906567694045505,77,59,0.7661342682768472,1
