"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
0,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
1,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
2,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
3,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
4,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
5,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
6,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
7,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
8,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
9,7947,1,0,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
10,7947,0,1,0,0,1,0,0,0.00012581781580271766,0,0,0.0,1
11,7946,1,1,0,0,2,0,0,0.0002516356316054353,0,0,0.0,1
12,7946,1,1,0,0,2,0,0,0.0002516356316054353,0,0,0.0,1
13,7946,1,1,0,0,2,0,0,0.0002516356316054353,0,0,0.0,1
14,7946,1,1,0,0,2,0,0,0.0002516356316054353,0,0,0.0,1
15,7946,1,1,0,0,2,0,0,0.0002516356316054353,0,0,0.0,1
16,7945,2,1,0,0,3,0,0,0.000377453447408153,0,0,0.0,1
17,7945,1,2,0,0,3,0,0,0.000377453447408153,0,0,0.0,1
18,7943,3,1,1,0,5,0,0,0.0006290890790135883,0,0,0.0,1
19,7943,3,1,1,0,5,0,0,0.0006290890790135883,0,0,0.0,1
20,7942,4,1,1,0,6,0,0,0.000754906894816306,0,0,0.0,1
21,7941,5,1,1,0,7,0,0,0.0008807247106190236,0,0,0.0,1
22,7941,5,1,1,0,7,0,0,0.0008807247106190236,0,0,0.0,1
23,7939,7,0,2,0,9,0,0,0.001132360342224459,0,0,0.0,1
24,7939,6,0,3,0,9,0,0,0.001132360342224459,0,0,0.0,1
25,7935,10,0,3,0,13,0,0,0.0016356316054353297,0,0,0.0,1
26,7934,11,0,2,0,13,1,0,0.0016356316054353297,0,0,0.0,1
27,7934,11,0,2,0,13,1,0,0.0016356316054353297,0,0,0.0,1
28,7933,12,0,2,0,14,1,0,0.0017614494212380473,0,0,0.0,1
29,7933,12,0,2,0,14,1,0,0.0017614494212380473,0,0,0.0,1
30,7932,9,3,2,1,15,1,0,0.001887267237040765,0,0,0.0,1
31,7931,10,3,2,1,16,1,0,0.0020130850528434826,0,0,0.0,1
32,7929,12,3,2,1,18,1,0,0.002264720684448918,0,0,0.0,1
33,7928,12,2,1,2,17,3,0,0.0021389028686462004,0,0,0.0,1
34,7928,12,2,1,2,17,3,0,0.0021389028686462004,0,0,0.0,1
35,7928,10,3,1,3,17,3,0,0.0021389028686462004,0,0,0.0,1
36,7928,10,3,1,3,17,3,0,0.0021389028686462004,0,0,0.0,1
37,7928,9,4,1,3,17,3,0,0.0021389028686462004,0,0,0.0,1
38,7928,8,3,2,4,17,3,0,0.0021389028686462004,0,0,0.0,1
39,7928,7,4,2,4,17,3,0,0.0021389028686462004,0,0,0.0,1
40,7928,7,2,4,4,17,3,0,0.0021389028686462004,0,0,0.0,1
41,7928,7,1,5,4,17,3,0,0.0021389028686462004,0,0,0.0,1
42,7928,7,1,5,4,17,3,0,0.0021389028686462004,0,0,0.0,1
43,7928,7,1,5,4,17,3,0,0.0021389028686462004,0,0,0.0,1
44,7928,7,1,3,3,14,6,0,0.0017614494212380473,0,0,0.0,1
45,7928,6,1,4,3,14,6,0,0.0017614494212380473,0,0,0.0,1
46,7928,6,0,5,3,14,6,0,0.0017614494212380473,0,0,0.0,1
47,7928,6,0,5,3,14,6,0,0.0017614494212380473,0,0,0.0,1
48,7927,6,1,5,3,15,6,0,0.001887267237040765,0,0,0.0,1
49,7926,4,2,4,5,15,7,0,0.001887267237040765,0,0,0.0,1
50,7926,4,1,4,5,14,8,0,0.0017614494212380473,0,0,0.0,1
51,7926,4,1,4,5,14,8,0,0.0017614494212380473,1,1,0.9900990099009901,1
52,7926,4,1,4,5,14,8,0,0.0017614494212380473,2,2,0.9950248756218907,1
53,7926,3,1,4,6,14,8,0,0.0017614494212380473,3,3,0.9966777408637875,1
54,7926,3,1,3,6,13,9,0,0.0016356316054353297,4,3,0.7481296758104738,1
55,7926,3,1,2,6,12,10,0,0.001509813789632612,4,3,0.7481296758104738,1
56,7926,3,1,2,6,12,10,0,0.001509813789632612,5,3,0.5988023952095809,1
57,7926,1,2,2,7,12,10,0,0.001509813789632612,6,3,0.49916805324459235,1
58,7926,1,2,1,7,11,11,0,0.0013839959738298944,8,3,0.37453183520599254,1
59,7926,1,1,2,7,11,11,0,0.0013839959738298944,10,3,0.2997002997002997,1
60,7926,1,1,2,6,10,12,0,0.0012581781580271766,12,4,0.33305578684429643,1
61,7926,1,1,2,6,10,12,0,0.0012581781580271766,14,4,0.28551034975017847,1
62,7926,1,0,3,6,10,12,0,0.0012581781580271766,16,4,0.24984384759525294,1
63,7926,1,0,3,4,8,14,0,0.0010065425264217413,18,5,0.277623542476402,1
64,7926,1,0,3,4,8,14,0,0.0010065425264217413,21,5,0.23798191337458352,1
65,7925,2,0,3,4,9,14,0,0.001132360342224459,23,4,0.1738374619730552,1
66,7925,2,0,3,4,9,14,0,0.001132360342224459,25,3,0.11995201919232307,1
67,7925,1,0,3,5,9,14,0,0.001132360342224459,26,4,0.15378700499807765,1
68,7925,1,0,3,5,9,14,0,0.001132360342224459,28,4,0.14280614066404854,1
69,7925,1,0,3,5,9,14,0,0.001132360342224459,32,4,0.12496094970321775,1
70,7925,1,0,3,5,9,14,0,0.001132360342224459,36,4,0.11108025548458762,1
71,7925,1,0,3,5,9,14,0,0.001132360342224459,40,5,0.12496875781054737,1
72,7925,1,0,3,4,8,15,0,0.0010065425264217413,44,6,0.136332651670075,1
73,7925,1,0,3,4,8,15,0,0.0010065425264217413,48,7,0.14580295771714227,1
74,7925,1,0,3,2,6,17,0,0.000754906894816306,51,7,0.13722799451088022,1
75,7925,1,0,3,2,6,17,0,0.000754906894816306,55,7,0.12724959098345756,1
76,7925,1,0,2,2,5,18,0,0.0006290890790135883,59,7,0.11862396204033215,1
77,7925,1,0,2,2,5,18,0,0.0006290890790135883,63,6,0.09522298047928901,1
78,7925,1,0,2,2,5,18,0,0.0006290890790135883,67,7,0.10446202059394119,1
79,7925,1,0,1,2,4,19,0,0.0005032712632108706,72,7,0.0972087210109707,1
80,7925,1,0,0,2,3,20,0,0.000377453447408153,77,7,0.09089728606674458,1
81,7924,2,0,0,2,4,20,0,0.0005032712632108706,80,5,0.06249218847644044,1
82,7924,2,0,0,2,4,20,0,0.0005032712632108706,85,5,0.058816609810610515,1
83,7924,1,0,0,3,4,20,0,0.0005032712632108706,89,6,0.06740815638692281,1
84,7924,1,0,0,3,4,20,0,0.0005032712632108706,95,6,0.06315124723713293,1
85,7924,1,0,0,3,4,20,0,0.0005032712632108706,100,6,0.059994000599940006,1
86,7924,1,0,0,3,4,20,0,0.0005032712632108706,106,6,0.05659843410998962,1
87,7924,1,0,0,2,3,21,0,0.000377453447408153,112,5,0.04463887152932774,1
88,7924,1,0,0,2,3,21,0,0.000377453447408153,116,4,0.0344797862253254,1
89,7924,1,0,0,2,3,21,0,0.000377453447408153,121,4,0.03305511941161887,1
90,7924,1,0,0,2,3,21,0,0.000377453447408153,127,4,0.03149358318242658,1
91,7924,1,0,0,2,3,21,0,0.000377453447408153,134,5,0.03731064845907022,1
92,7923,2,0,0,2,4,21,0,0.0005032712632108706,139,4,0.02877490827997986,1
93,7923,2,0,0,2,4,21,0,0.0005032712632108706,146,4,0.02739538387781659,1
94,7923,2,0,0,2,4,21,0,0.0005032712632108706,152,4,0.026314058285639104,1
95,7923,2,0,0,2,4,21,0,0.0005032712632108706,159,7,0.044022388529023335,1
96,7923,1,0,0,3,4,21,0,0.0005032712632108706,167,7,0.04191365786479852,1
97,7923,1,0,0,3,4,21,0,0.0005032712632108706,174,6,0.03448077696684099,1
98,7923,1,0,0,3,4,21,0,0.0005032712632108706,182,7,0.03845942530630185,1
99,7923,1,0,0,2,3,22,0,0.000377453447408153,188,6,0.031913196106590075,1
100,7923,1,0,0,2,3,22,0,0.000377453447408153,195,5,0.025639710784062356,1
101,7923,1,0,0,2,3,22,0,0.000377453447408153,202,5,0.024751249938121875,1
102,7923,1,0,0,2,3,22,0,0.000377453447408153,209,5,0.023922300368403426,1
103,7923,1,0,0,2,3,22,0,0.000377453447408153,217,5,0.023040412884198887,1
104,7923,1,0,0,2,3,22,0,0.000377453447408153,225,5,0.02222123461179503,1
105,7923,0,0,0,3,3,22,0,0.000377453447408153,232,4,0.017240636179475022,1
106,7923,0,0,0,3,3,22,0,0.000377453447408153,240,4,0.0166659722511562,1
107,7923,0,0,0,3,3,22,0,0.000377453447408153,247,4,0.016193676369377758,1
108,7923,0,0,0,3,3,22,0,0.000377453447408153,253,5,0.01976206474052409,1
109,7923,0,0,0,3,3,22,0,0.000377453447408153,258,2,0.007751637533428937,1
110,7923,0,0,0,3,3,22,0,0.000377453447408153,266,2,0.007518514341566107,1
111,7923,0,0,0,3,3,22,0,0.000377453447408153,271,4,0.014759602966680196,1
112,7923,0,0,0,3,3,22,0,0.000377453447408153,278,4,0.014387971655695839,1
113,7923,0,0,0,3,3,22,0,0.000377453447408153,286,4,0.013985524981644,1
114,7923,0,0,0,2,2,23,0,0.0002516356316054353,293,4,0.013651411214634313,1
115,7923,0,0,0,2,2,23,0,0.0002516356316054353,301,4,0.013288595063286935,1
116,7923,0,0,0,2,2,23,0,0.0002516356316054353,310,4,0.012902809586787523,1
117,7923,0,0,0,1,1,24,0,0.00012581781580271766,319,4,0.01253879188740165,1
118,7923,0,0,0,1,1,24,0,0.00012581781580271766,327,4,0.012232041833583071,1
119,7923,0,0,0,1,1,24,0,0.00012581781580271766,335,4,0.011939942091280858,1
120,7923,0,0,0,1,1,24,0,0.00012581781580271766,344,5,0.014534461207523037,1
121,7923,0,0,0,1,1,24,0,0.00012581781580271766,353,6,0.016996685646298974,1
122,7923,0,0,0,1,1,24,0,0.00012581781580271766,361,6,0.01662003822608792,1
123,7923,0,0,0,1,1,24,0,0.00012581781580271766,369,6,0.016259721958754504,1
124,7923,0,0,0,1,1,24,0,0.00012581781580271766,375,7,0.01866616890216261,1
125,7923,0,0,0,1,1,24,0,0.00012581781580271766,382,5,0.013088662600455487,1
126,7923,0,0,0,1,1,24,0,0.00012581781580271766,390,4,0.010256147278274915,1
127,7923,0,0,0,1,1,24,0,0.00012581781580271766,397,5,0.012594141205511196,1
128,7923,0,0,0,1,1,24,0,0.00012581781580271766,405,5,0.012345374188291647,1
129,7923,0,0,0,1,1,24,0,0.00012581781580271766,413,6,0.014527493281034358,1
130,7923,0,0,0,1,1,24,0,0.00012581781580271766,422,6,0.014217672567000782,1
131,7923,0,0,0,1,1,24,0,0.00012581781580271766,431,7,0.016240922484397114,1
132,7923,0,0,0,1,1,24,0,0.00012581781580271766,439,7,0.015944967085032232,1
133,7923,0,0,0,1,1,24,0,0.00012581781580271766,448,7,0.015624651235463494,1
134,7923,0,0,0,1,1,24,0,0.00012581781580271766,455,7,0.015384277268631459,1
135,7923,0,0,0,1,1,24,0,0.00012581781580271766,462,7,0.01515118720374018,1
136,7923,0,0,0,1,1,24,0,0.00012581781580271766,469,9,0.019189356303703546,1
137,7923,0,0,0,0,0,25,0,0.0,477,9,0.01886752898262091,1
138,7923,0,0,0,0,0,25,0,0.0,483,8,0.016562804082731208,1
139,7923,0,0,0,0,0,25,0,0.0,490,9,0.018366972102610152,1
140,7923,0,0,0,0,0,25,0,0.0,496,9,0.01814479546783331,1
141,7923,0,0,0,0,0,25,0,0.0,502,8,0.015935937531124877,1
142,7923,0,0,0,0,0,25,0,0.0,509,8,0.015716783560244398,1
143,7923,0,0,0,0,0,25,0,0.0,514,8,0.015563899535028502,1
144,7923,0,0,0,0,0,25,0,0.0,521,8,0.015354791654670736,1
145,7923,0,0,0,0,0,25,0,0.0,526,7,0.013307731792171252,1
146,7923,0,0,0,0,0,25,0,0.0,533,8,0.015009099266430273,1
147,7923,0,0,0,0,0,25,0,0.0,540,8,0.01481454047147275,1
148,7923,0,0,0,0,0,25,0,0.0,547,7,0.012796841008391072,1
149,7923,0,0,0,0,0,25,0,0.0,553,7,0.012657998951194373,1
150,7923,0,0,0,0,0,25,0,0.0,557,4,0.0071811996193964205,1
151,7923,0,0,0,0,0,25,0,0.0,564,4,0.007092072835588022,1
152,7923,0,0,0,0,0,25,0,0.0,569,5,0.008787191789247993,1
153,7923,0,0,0,0,0,25,0,0.0,575,4,0.006956400758247683,1
154,7923,0,0,0,0,0,25,0,0.0,583,4,0.0068609457813759624,1
155,7923,0,0,0,0,0,25,0,0.0,589,4,0.006791056179012241,1
156,7923,0,0,0,0,0,25,0,0.0,595,4,0.006722576091158132,1
157,7923,0,0,0,0,0,25,0,0.0,601,3,0.004991597477579408,1
158,7923,0,0,0,0,0,25,0,0.0,608,3,0.0049341293728721565,1
159,7923,0,0,0,0,0,25,0,0.0,613,3,0.004893884275949821,1
160,7923,0,0,0,0,0,25,0,0.0,617,3,0.004862157825643021,1
161,7923,0,0,0,0,0,25,0,0.0,623,4,0.006420442689523443,1
162,7923,0,0,0,0,0,25,0,0.0,629,4,0.006359199376798461,1
163,7923,0,0,0,0,0,25,0,0.0,634,3,0.00473178656488068,1
164,7923,0,0,0,0,0,25,0,0.0,641,3,0.004680114194786353,1
165,7923,0,0,0,0,0,25,0,0.0,647,5,0.007727855829121652,1
166,7923,0,0,0,0,0,25,0,0.0,651,4,0.0061442988586964875,1
167,7923,0,0,0,0,0,25,0,0.0,657,5,0.00761023424301,1
168,7923,0,0,0,0,0,25,0,0.0,662,5,0.007552756000664643,1
169,7923,0,0,0,0,0,25,0,0.0,668,6,0.00898190146854089,1
170,7923,0,0,0,0,0,25,0,0.0,675,6,0.008888757203596984,1
171,7923,0,0,0,0,0,25,0,0.0,682,6,0.008797524962977083,1
172,7923,0,0,0,0,0,25,0,0.0,688,6,0.008720803476693652,1
173,7923,0,0,0,0,0,25,0,0.0,694,6,0.008645408567599891,1
174,7923,0,0,0,0,0,25,0,0.0,698,5,0.00716322115729001,1
175,7923,0,0,0,0,0,25,0,0.0,702,4,0.005697924530989587,1
176,7923,0,0,0,0,0,25,0,0.0,707,5,0.007072035756212783,1
177,7923,0,0,0,0,0,25,0,0.0,712,5,0.0070223732812741396,1
178,7923,0,0,0,0,0,25,0,0.0,717,5,0.006973403439282576,1
179,7923,0,0,0,0,0,25,0,0.0,720,4,0.005555478396133387,1
180,7923,0,0,0,0,0,25,0,0.0,726,4,0.005509565983939615,1
181,7923,0,0,0,0,0,25,0,0.0,728,4,0.005494430021565638,1
182,7923,0,0,0,0,0,25,0,0.0,734,4,0.005449517036552636,1
183,7923,0,0,0,0,0,25,0,0.0,736,3,0.00407603157565794,1
184,7923,0,0,0,0,0,25,0,0.0,742,3,0.00404307219579251,1
185,7923,0,0,0,0,0,25,0,0.0,747,4,0.005354680660232126,1
