"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
0,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
1,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
2,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
3,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
4,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
5,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
6,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
7,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
8,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
9,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
10,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,1
11,18589,1,0,0,1,2,0,0,0.00010757893604432252,0,0,0.0,1
12,18588,2,0,0,1,3,0,0,0.00016136840406648378,0,0,0.0,1
13,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
14,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
15,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
16,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
17,18587,3,0,0,1,4,0,0,0.00021515787208864503,0,0,0.0,1
18,18586,4,0,0,1,5,0,0,0.0002689473401108063,0,0,0.0,1
19,18586,2,0,0,3,5,0,0,0.0002689473401108063,0,0,0.0,1
20,18586,2,0,0,3,5,0,0,0.0002689473401108063,0,0,0.0,1
21,18584,4,0,0,3,7,0,0,0.00037652627615512884,0,0,0.0,1
22,18582,6,0,0,3,9,0,0,0.00048410521219945134,0,0,0.0,1
23,18579,9,0,0,3,12,0,0,0.0006454736162659351,0,0,0.0,1
24,18577,10,1,0,3,14,0,0,0.0007530525523102577,0,0,0.0,1
25,18577,10,1,0,3,14,0,0,0.0007530525523102577,0,0,0.0,1
26,18576,11,1,0,3,15,0,0,0.0008068420203324189,0,0,0.0,1
27,18576,10,2,0,2,14,1,0,0.0007530525523102577,0,0,0.0,1
28,18576,9,3,0,2,14,1,0,0.0007530525523102577,0,0,0.0,1
29,18573,12,3,0,1,16,2,0,0.0008606314883545801,0,0,0.0,1
30,18573,12,3,0,1,16,2,0,0.0008606314883545801,0,0,0.0,1
31,18571,13,3,0,2,18,2,0,0.0009682104243989027,0,0,0.0,1
32,18570,14,3,0,2,19,2,0,0.001021999892421064,0,0,0.0,1
33,18569,15,3,0,2,20,2,0,0.0010757893604432251,0,0,0.0,1
34,18569,12,3,2,3,20,2,0,0.0010757893604432251,0,0,0.0,1
35,18569,10,3,2,5,20,2,0,0.0010757893604432251,0,0,0.0,1
36,18568,11,3,2,5,21,2,0,0.0011295788284653866,0,0,0.0,1
37,18568,10,3,3,5,21,2,0,0.0011295788284653866,0,0,0.0,1
38,18568,9,3,3,6,21,2,0,0.0011295788284653866,0,0,0.0,1
39,18568,8,3,3,6,20,3,0,0.0010757893604432251,1,1,0.9900990099009901,1
40,18566,10,2,4,6,22,3,0,0.0011833682964875478,2,1,0.49751243781094534,1
41,18565,11,2,4,6,23,3,0,0.001237157764509709,3,2,0.6644518272425249,1
42,18562,11,3,4,8,26,3,0,0.0013985261685761927,4,2,0.49875311720698257,1
43,18561,12,3,4,8,27,3,0,0.0014523156365983541,4,3,0.7481296758104738,1
44,18558,13,4,4,9,30,3,0,0.0016136840406648378,4,3,0.7481296758104738,1
45,18556,13,5,4,8,30,5,0,0.0016136840406648378,4,4,0.9975062344139651,1
46,18552,16,5,4,9,34,5,0,0.001828841912753483,5,4,0.7984031936127745,1
47,18546,22,5,3,9,39,6,0,0.002097789252864289,5,5,0.9980039920159681,1
48,18542,23,7,3,10,43,6,0,0.0023129471249529344,6,5,0.831946755407654,1
49,18542,20,7,2,13,42,7,0,0.002259157656930773,7,5,0.7132667617689016,1
50,18542,19,5,4,13,41,8,0,0.0022053681889086115,8,5,0.6242197253433208,1
51,18537,21,3,7,15,46,8,0,0.002474315529019418,9,5,0.5549389567147613,1
52,18533,23,3,7,16,49,9,0,0.0026356839330859017,9,6,0.6659267480577137,1
53,18530,22,6,7,15,50,11,0,0.002689473401108063,11,8,0.7266121707538601,1
54,18527,24,7,7,15,53,11,0,0.0028508418051745466,13,9,0.6917755572636434,1
55,18525,26,4,10,15,55,11,0,0.0029584207412188695,13,8,0.6149116064565718,1
56,18516,34,5,7,15,61,14,0,0.003281157549351837,16,10,0.6246096189881324,1
57,18515,29,7,7,19,62,14,0,0.003334947017373998,16,9,0.5621486570893192,1
58,18509,34,6,8,19,67,15,0,0.0036038943574848046,19,10,0.5260389268805892,1
59,18507,35,7,8,19,69,15,0,0.003711473293529127,21,11,0.5235602094240838,1
60,18500,38,6,10,20,74,17,0,0.003980420633639933,22,13,0.5906406179009541,1
61,18492,44,7,8,19,78,21,0,0.004195578505728578,25,14,0.5597760895641744,1
62,18487,46,9,8,19,82,22,0,0.004410736377817223,29,14,0.48259220958290244,1
63,18483,45,9,10,22,86,22,0,0.004625894249905869,32,15,0.46860356138706655,1
64,18478,44,10,13,24,91,22,0,0.004894841590016675,38,18,0.47355958958168903,1
65,18471,46,11,14,24,95,25,0,0.00510999946210532,44,18,0.40899795501022496,1
66,18465,51,9,16,25,101,25,0,0.005432736270238287,47,21,0.4467134652201659,1
67,18459,51,9,17,25,102,30,0,0.005486525738260448,51,22,0.4312879827484807,1
68,18451,57,8,19,26,110,30,0,0.005916841482437739,57,24,0.42097877565339414,1
69,18441,64,10,18,26,118,32,0,0.006347157226615029,62,26,0.41928721174004197,1
70,18433,68,10,18,29,125,33,0,0.006723683502770157,68,26,0.3822967210704308,1
