"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
0,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
1,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
2,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
3,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
4,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
5,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
6,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
7,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
8,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
9,11165,0,2,0,0,2,0,0,0.00017909913136921287,0,0,0.0,1
10,11165,0,1,1,0,2,0,0,0.00017909913136921287,0,0,0.0,1
11,11163,2,1,1,0,4,0,0,0.00035819826273842574,0,0,0.0,1
12,11162,3,1,1,0,5,0,0,0.0004477478284230321,0,0,0.0,1
13,11160,5,1,1,0,7,0,0,0.000626846959792245,0,0,0.0,1
14,11159,6,0,2,0,8,0,0,0.0007163965254768515,0,0,0.0,1
15,11159,6,0,2,0,8,0,0,0.0007163965254768515,0,0,0.0,1
16,11159,5,1,2,0,8,0,0,0.0007163965254768515,0,0,0.0,1
17,11155,8,1,2,1,12,0,0,0.0010745947882152772,0,0,0.0,1
18,11154,9,1,2,1,13,0,0,0.0011641443538998836,0,0,0.0,1
19,11150,13,1,2,1,17,0,0,0.0015223426166383093,0,0,0.0,1
20,11149,13,1,2,2,18,0,0,0.0016118921823229156,0,0,0.0,1
21,11146,15,2,2,2,21,0,0,0.001880540879376735,0,0,0.0,1
22,11145,16,1,3,2,22,0,0,0.0019700904450613414,0,0,0.0,1
23,11137,24,0,4,2,30,0,0,0.002686486970538193,0,0,0.0,1
24,11134,26,0,4,3,33,0,0,0.0029551356675920123,0,0,0.0,1
25,11128,30,1,4,4,39,0,0,0.0034924330616996507,0,0,0.0,1
26,11115,41,3,3,4,51,1,0,0.004567027849914928,0,0,0.0,1
27,11107,48,3,3,5,59,1,0,0.005283424375391779,0,0,0.0,1
28,11100,51,3,4,8,66,1,0,0.0059102713351840246,0,0,0.0,1
29,11088,60,3,6,9,78,1,0,0.006984866123399301,0,0,0.0,1
30,11074,74,2,7,9,92,1,0,0.00823856004298379,0,0,0.0,1
31,11063,85,2,7,9,103,1,0,0.009223605265514462,0,0,0.0,1
32,11054,92,3,7,10,112,1,0,0.01002955135667592,0,0,0.0,1
33,11042,101,4,7,12,124,1,0,0.011104146144891197,0,0,0.0,1
34,11038,100,6,8,14,128,1,0,0.011462344407629624,0,0,0.0,1
35,11035,96,10,4,17,127,5,0,0.011372794841945016,0,0,0.0,1
36,11031,94,8,6,23,131,5,0,0.011730993104683443,0,0,0.0,1
37,11027,92,12,5,23,132,8,0,0.011820542670368049,0,0,0.0,1
38,11025,87,16,5,24,132,10,0,0.011820542670368049,0,0,0.0,1
39,11020,90,15,6,25,136,11,0,0.012178740933106474,1,1,0.9900990099009901,1
40,11010,89,15,9,33,146,11,0,0.01307423658995254,2,2,0.9950248756218907,1
41,11001,92,15,12,35,154,12,0,0.01379063311542939,3,3,0.9966777408637875,1
42,10992,89,20,14,38,161,14,0,0.014417480075221634,4,4,0.9975062344139651,1
43,10980,93,19,19,42,173,14,0,0.015492074863436912,5,5,0.9980039920159681,1
44,10968,97,20,22,45,184,15,0,0.01647712008596758,6,5,0.831946755407654,1
45,10956,102,21,23,49,195,16,0,0.017462165308498253,7,5,0.7132667617689016,1
46,10941,109,21,27,53,210,16,0,0.01880540879376735,7,5,0.7132667617689016,1
47,10927,114,22,30,56,222,18,0,0.01988000358198263,8,6,0.7490636704119851,1
48,10910,125,21,31,60,237,20,0,0.021223247067251722,9,7,0.7769145394006659,1
49,10894,134,20,33,66,253,20,0,0.022656040118205427,10,8,0.7992007992007992,1
50,10886,130,21,37,67,255,26,0,0.02283513924957464,11,9,0.8174386920980926,1
51,10870,137,23,38,70,268,29,0,0.023999283603474524,12,9,0.7493755203996669,1
52,10855,143,23,39,70,275,37,0,0.02462613056326677,13,10,0.7686395080707148,1
53,10837,152,25,37,73,287,43,0,0.025700725351482046,14,11,0.7851534618129907,1
54,10828,149,26,39,75,289,50,0,0.025879824482851258,15,11,0.7328447701532312,1
55,10814,147,30,39,84,300,53,0,0.02686486970538193,17,12,0.7054673721340388,1
56,10807,144,29,40,89,302,58,0,0.027043968836751142,19,13,0.6838506049447659,1
57,10792,148,28,42,92,310,65,0,0.027760365362227993,20,12,0.5997001499250374,1
58,10775,158,27,43,93,321,71,0,0.028745410584758664,22,14,0.6360745115856429,1
59,10758,169,26,42,96,333,76,0,0.02982000537297394,24,16,0.6663890045814244,1
60,10734,182,22,50,100,354,79,0,0.03170054625235068,27,18,0.6664198445020363,1
61,10717,187,21,53,105,366,84,0,0.032775141040565954,29,19,0.6549465701482247,1
62,10699,188,25,55,105,373,95,0,0.0334019880003582,32,22,0.6872852233676976,1
63,10687,189,26,56,107,378,102,0,0.03384973582878123,35,24,0.6855184233076265,1
64,10670,191,26,60,113,390,107,0,0.034924330616996506,39,28,0.7177646757241734,1
65,10647,198,32,58,112,400,120,0,0.03581982627384257,43,31,0.7207626133457335,1
66,10639,190,37,62,112,401,127,0,0.03590937583952718,46,34,0.7389697891762661,1
67,10622,191,40,65,117,413,132,0,0.03698397062774245,48,35,0.7290147885857113,1
68,10618,181,42,66,119,408,141,0,0.03653622279931942,52,37,0.7114016535281676,1
69,10600,190,39,69,118,416,151,0,0.037252619324796274,56,39,0.6963042313872523,1
70,10582,194,37,70,124,425,160,0,0.038058565415957736,61,43,0.7048024913948533,1
71,10565,191,47,70,125,433,169,0,0.03877496194143459,64,46,0.718637712857366,1
72,10550,186,46,77,131,440,177,0,0.039401808901226826,69,48,0.6955513693667584,1
73,10533,181,52,77,140,450,184,0,0.04029730455807289,73,52,0.7122312012053142,1
74,10519,183,47,84,139,453,195,0,0.04056595325512671,78,56,0.7178566850403794,1
75,10505,188,46,82,141,457,205,0,0.04092415151786514,82,59,0.7194244604316546,1
76,10493,181,50,87,142,460,214,0,0.04119280021491896,86,60,0.6975933031042901,1
77,10480,185,42,91,140,458,229,0,0.04101370108354974,92,65,0.7064449516356918,1
78,10468,182,41,96,140,459,240,0,0.041103250649234355,96,68,0.7082595562962191,1
79,10454,177,43,98,141,459,254,0,0.041103250649234355,101,71,0.7029007029007028,1
80,10438,174,48,102,145,469,260,0,0.041998746306080414,105,73,0.6951718883915817,1
81,10422,170,44,105,155,474,271,0,0.042446494134503444,108,73,0.6758633459864827,1
82,10410,175,40,107,153,475,282,0,0.042536043700188056,111,75,0.6756148094766237,1
83,10396,171,45,106,157,479,292,0,0.04289424196292648,116,78,0.6723558313938454,1
84,10382,174,46,107,155,482,303,0,0.0431628906599803,120,78,0.6499458378468461,1
85,10363,181,45,103,160,489,315,0,0.04378973761977254,124,77,0.6209176679300056,1
86,10348,179,42,100,167,488,331,0,0.043700188054087936,129,82,0.6356096426633595,1
87,10331,187,37,102,164,490,346,0,0.04387928718545715,134,86,0.6417431534960079,1
88,10319,185,35,103,161,484,364,0,0.04334198979134951,140,88,0.628526533819013,1
89,10306,186,32,109,151,478,383,0,0.04280469239724188,142,86,0.6055911555524259,1
90,10298,174,33,113,154,474,395,0,0.042446494134503444,148,86,0.5810418214985474,1
91,10287,170,36,113,157,476,404,0,0.04262559326587266,151,88,0.5827428647109464,1
92,10271,178,33,110,152,473,423,0,0.04235694456881884,154,86,0.5584052983572496,1
93,10260,175,33,110,149,467,440,0,0.041819647174711205,160,89,0.5562152365477158,1
94,10247,170,35,107,147,459,461,0,0.041103250649234355,164,93,0.5670385952076094,1
95,10231,169,41,100,144,454,482,0,0.04065550282081132,169,93,0.5502632980297024,1
96,10219,164,45,98,144,451,497,0,0.0403868541237575,172,89,0.5174117783849776,1
97,10211,154,46,99,147,446,510,0,0.03993910629533447,180,92,0.5110827176267986,1
98,10198,157,38,105,148,448,521,0,0.04011820542670368,184,92,0.4999728275637194,1
99,10186,146,42,103,155,446,535,0,0.03993910629533447,189,96,0.5079096344108778,1
100,10177,140,42,100,153,435,555,0,0.038954061072803796,194,99,0.510282975104376,1
101,10166,139,38,100,156,433,568,0,0.03877496194143459,199,99,0.4974624390734134,1
102,10152,140,39,102,155,436,579,0,0.0390436106384884,208,106,0.5095908850536032,1
103,10133,146,34,106,160,446,588,0,0.03993910629533447,210,107,0.5094995476405886,1
104,10118,154,31,107,154,446,603,0,0.03993910629533447,215,109,0.5069531649690713,1
105,10103,157,29,107,155,448,616,0,0.04011820542670368,221,111,0.5022397176598344,1
106,10098,152,29,104,150,435,634,0,0.038954061072803796,224,112,0.4999776795678765,1
107,10083,154,35,100,151,440,644,0,0.039401808901226826,227,111,0.4889652438218581,1
108,10069,158,34,91,150,433,665,0,0.03877496194143459,232,111,0.4784276539804319,1
109,10048,168,31,93,151,443,676,0,0.039670457598280646,234,108,0.46151873851544806,1
110,10034,171,23,98,147,439,694,0,0.03931225933554222,239,108,0.45186393874733277,1
111,10021,163,30,92,146,431,715,0,0.03859586281006537,240,105,0.4374817715928503,1
112,10017,145,32,96,154,427,723,0,0.038237664547326945,245,105,0.4285539365740174,1
113,9999,148,35,94,154,431,737,0,0.03859586281006537,246,101,0.41055241656843217,1
114,9983,157,34,94,154,439,745,0,0.03931225933554222,251,103,0.4103422174415362,1
115,9973,159,31,92,153,435,759,0,0.038954061072803796,256,106,0.4140463263153783,1
116,9962,153,32,91,154,430,775,0,0.038506313244380766,259,106,0.40925060808462993,1
117,9952,151,34,84,151,420,795,0,0.0376108175875347,263,102,0.3878179536899738,1
118,9935,158,29,89,149,425,807,0,0.038058565415957736,271,105,0.38743957787535516,1
119,9917,166,33,81,143,423,827,0,0.03787946628458852,277,109,0.3934875997256417,1
120,9903,163,36,84,140,423,841,0,0.03787946628458852,279,105,0.3763305974696248,1
121,9891,155,39,82,142,418,858,0,0.03743171845616549,285,103,0.3613908283919863,1
122,9877,153,37,82,149,421,869,0,0.037700367153219304,289,104,0.3598491401681603,1
123,9864,157,37,80,146,420,883,0,0.0376108175875347,293,105,0.35834954438415073,1
124,9850,157,34,80,144,415,902,0,0.03716306975911167,297,102,0.3434227803777651,1
125,9839,155,33,79,139,406,922,0,0.03635712366795021,304,104,0.34209401006545836,1
126,9822,153,32,87,144,416,929,0,0.037252619324796274,306,103,0.33659030750629065,1
127,9805,149,35,86,147,417,945,0,0.03734216889048088,311,104,0.33439439246326486,1
128,9785,154,37,86,152,429,953,0,0.03841676367869616,316,103,0.3259390525616278,1
129,9772,153,39,87,152,431,964,0,0.03859586281006537,319,105,0.3291432870442933,1
130,9752,161,35,89,160,445,970,0,0.03984955672964986,321,102,0.31774711068191025,1
131,9731,176,34,85,152,447,989,0,0.04002865586101907,325,103,0.31691332574382325,1
132,9717,175,37,82,148,442,1008,0,0.03958090803259604,328,100,0.3048687540014024,1
133,9701,181,38,81,147,447,1019,0,0.04002865586101907,329,97,0.29482386553600193,1
134,9685,184,32,83,152,451,1031,0,0.0403868541237575,332,96,0.2891479172314087,1
135,9667,192,32,80,152,456,1044,0,0.040834601952180534,335,93,0.27760365362227996,1
136,9656,191,32,78,155,456,1055,0,0.040834601952180534,339,91,0.26842865992153625,1
137,9643,190,34,76,153,453,1071,0,0.04056595325512671,342,85,0.2485307447150668,1
138,9632,187,33,75,155,450,1085,0,0.04029730455807289,346,87,0.25143781971619317,1
